"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Kitzmiller Design Solutions","(330) 590-5266","https://www.yellowpages.com/akron-oh/mip/kitzmiller-design-solutions-561347396","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://kitzmillerdesignsolutions.com","","571 E Turkeyfoot Lake Rd # D3","Akron","OH","44319","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Akron,%20Ohio"
"2. ","BHW Landscape Construction","(330) 592-1863","https://www.yellowpages.com/akron-oh/mip/bhw-landscape-construction-22490790","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.bhwlandscapeconstruction.com","","","Akron","OH","44319","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Akron,%20Ohio"
"3. ","Willaman Landscape & Concrete Design","(330) 966-1339","https://www.yellowpages.com/uniontown-oh/mip/willaman-landscape-concrete-design-461724809","Landscape Contractors,Landscape Designers & Consultants,Deck Builders","http://www.willamandesigns.com","","","Uniontown","OH","44685","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Akron,%20Ohio"
"4. ","Nick's Landscaping of Ohio","(330) 289-2223","https://www.yellowpages.com/norton-oh/mip/nicks-landscaping-of-ohio-583580","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.nickslandscaping.net","","2246 Wadsworth Road","Norton","OH","44203","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Akron,%20Ohio"
"5. ","Natural Falls Construction - Hudson","(330) 968-8958","https://www.yellowpages.com/copley-oh/mip/natural-falls-construction-hudson-561427889","Landscape Designers & Consultants,Deck Builders,Construction Engineers","https://naturalfallsconstructionoh.com","","1168 N Plainview Dr","Copley","OH","44321","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Akron,%20Ohio"
"6. ","Joe Criss Landscaping","(330) 923-0680","https://www.yellowpages.com/cuyahoga-falls-oh/mip/joe-criss-landscaping-5405879","Landscape Contractors,Landscape Designers & Consultants,Deck Builders","","","361 Lincoln Ave","Cuyahoga Falls","OH","44221","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Akron,%20Ohio"
"7. ","Lucas Paul Landscaping & Construction Inc","(330) 800-9069","https://www.yellowpages.com/new-franklin-oh/mip/lucas-paul-landscaping-construction-inc-541832975?lid=1002091759444","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.pllandscape.net","","702 Zeletta Dr","New Franklin","OH","44319","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Akron,%20Ohio"
"8. ","East Coast Landscpe, LLC","(843) 718-4582","https://www.yellowpages.com/new-franklin-oh/mip/east-coast-landscpe-llc-456824714","Landscape Designers & Consultants,Landscaping & Lawn Services,Deck Builders","","","4766 Bickford Ave","New Franklin","OH","44319","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Akron,%20Ohio"
"9. ","Lucas Landscaping & Nursey Inc","(330) 825-3135","https://www.yellowpages.com/barberton-oh/mip/lucas-landscaping-nursey-inc-3225394","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.lucasscape.com","","3758 Johnson Rd","Barberton","OH","44203","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Akron,%20Ohio"
"10. ","Creative Innervisions Inc","(330) 753-8544","https://www.yellowpages.com/coventry-township-oh/mip/creative-innervisions-inc-4559811","Landscape Contractors,Deck Builders,Construction Management","http://www.polegaragebuilders.com","","1167 Hyfield Ave","Coventry Township","OH","44319","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Akron,%20Ohio"
"11. ","Fox Brothers Construction","(330) 825-8266","https://www.yellowpages.com/norton-oh/mip/fox-brothers-construction-528938591","Landscape Designers & Consultants,Deck Builders,Home Builders","http://www.constructiononline.com","","PO Box 1168","Norton","OH","44203","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Akron,%20Ohio"
"12. ","Deck Doctor And Mulch Sculptor","(330) 221-3147","https://www.yellowpages.com/stow-oh/mip/deck-doctor-and-mulch-sculptor-551803972","Landscape Contractors,Mulches","","","3777 Valley Forge Dr","Stow","OH","44224","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Akron,%20Ohio"
"13. ","Capability Landscape","(330) 658-4601","https://www.yellowpages.com/norton-oh/mip/capability-landscape-1884272","Deck Builders,Patio Covers & Enclosures,Patio Builders","","","4175 Eastern Rd","Norton","OH","44203","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Akron,%20Ohio"
"14. ","Naylor Nutrilawn & Landscape Inc","(330) 650-4251","https://www.yellowpages.com/macedonia-oh/mip/naylor-nutrilawn-landscape-inc-21451172","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.nnlawn.com","","576 Highland Rd E Ste F","Macedonia","OH","44056","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Akron,%20Ohio"
