"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Alex's Lawn Service","(817) 489-4880","https://www.yellowpages.com/arlington-tx/mip/alexs-lawn-service-458962970","Landscape Contractors,Landscaping & Lawn Services,Deck Builders","","","8103 Tin Cup Dr","Arlington","TX","76001","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Arlington,%20Texas"
"2. ","Advanced Fence and Iron","(214) 499-7296","https://www.yellowpages.com/arlington-tx/mip/advanced-fence-and-iron-465218635","Landscape Designers & Consultants,Deck Builders,Construction Estimates","","","","Arlington","TX","76002","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Arlington,%20Texas"
"3. ","Outback Landscape","(972) 262-8700","https://www.yellowpages.com/grand-prairie-tx/mip/outback-landscape-464858179","Landscape Contractors,Deck Builders,Patio Builders","","","","Grand Prairie","TX","75051","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Arlington,%20Texas"
"4. ","Fort Worth's Yard Man","(682) 203-7895","https://www.yellowpages.com/burleson-tx/mip/fort-worths-yard-man-522879571","Landscape Contractors,Deck Cleaning & Treatment,General Contractors","","","4915 E Fm 1187","Burleson","TX","76028","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Arlington,%20Texas"
"5. ","Arlington Tree and Landscaping Service","(817) 522-3364","https://www.yellowpages.com/arlington-tx/mip/arlington-tree-and-landscaping-service-505321707","Landscape Contractors,Landscaping & Lawn Services,Tree Service","http://www.arlington.treeremovalservices.org","","414 Oakwood Lane","Arlington","TX","76012","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Arlington,%20Texas"
"6. ","Custom Lawn Management & Landscape","(214) 650-3642","https://www.yellowpages.com/arlington-tx/mip/custom-lawn-management-landscape-480214475","Landscape Contractors","","","2413 E Mitchell St","Arlington","TX","76010","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Arlington,%20Texas"
"7. ","By The Yard Mulch","(817) 239-1224","https://www.yellowpages.com/arlington-tx/mip/by-the-yard-mulch-468508438","Landscape Contractors,Lawn & Garden Equipment & Supplies,Mulches","http://www.bytheyardmulch.com","","","Arlington","TX","76001","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Arlington,%20Texas"
"8. ","Ron Phillips Landscaping","(817) 265-2027","https://www.yellowpages.com/arlington-tx/mip/ron-phillips-landscaping-16345047?lid=1000853177678","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.ronphillipslandscaping.com","","812 E Park Row Dr Ste 1","Arlington","TX","76010","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Arlington,%20Texas"
"9. ","Smith's Lawn & Landscaping","(214) 556-7729","https://www.yellowpages.com/arlington-tx/mip/smiths-lawn-landscaping-496095275?lid=1000439522869","Landscape Contractors,Landscaping & Lawn Services","","","","Arlington","TX","76002","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Arlington,%20Texas"
"10. ","Parker & Parker Handyman & Lawn Service","(817) 523-9434","https://www.yellowpages.com/arlington-tx/mip/parker-parker-handyman-lawn-service-503984503?lid=1000629168250","Landscape Contractors,Landscaping & Lawn Services,Building Contractors","","","PO Box 181676","Arlington","TX","76096","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Arlington,%20Texas"
"11. ","PRO Tech","(817) 602-8026","https://www.yellowpages.com/arlington-tx/mip/pro-tech-476713246","Landscape Contractors,Landscape Designers & Consultants","","","PO Box 926","Arlington","TX","76004","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Arlington,%20Texas"
"12. ","cleaning and more","(817) 637-1872","https://www.yellowpages.com/arlington-tx/mip/cleaning-and-more-495681246","Landscaping & Lawn Services,Power Washing,House Cleaning","http://www.cleaningthemetroplex.com","","1422 cardinal st","arlington","TX","76010","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Arlington,%20Texas"
"13. ","Sydney Construction and Landscaping","(682) 248-2053","https://www.yellowpages.com/arlington-tx/mip/sydney-construction-and-landscaping-534979031","Landscape Contractors","","","1117 Forrest Dr","Arlington","TX","76012","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Arlington,%20Texas"
"14. ","Apex Landscape & Pest Control","(817) 261-6349","https://www.yellowpages.com/arlington-tx/mip/apex-landscape-pest-control-11179578","Landscape Contractors,Landscape Designers & Consultants","http://apextexas.net","","1817 Dogwood Dr","Arlington","TX","76012","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Arlington,%20Texas"
