"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","S & S Dev Co Inc","(205) 208-7516","https://www.yellowpages.com/birmingham-al/mip/s-s-dev-co-inc-22511468?lid=355582733","Landscape Contractors,Landscape Designers & Consultants,Deck Builders","","","","Birmingham","AL","35242","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Birmingham,%20Alabama"
"2. ","K & D Fence Service","(205) 547-2268","https://www.yellowpages.com/birmingham-al/mip/k-d-fence-service-497097497","Landscape Designers & Consultants,Deck Builders,Fence-Sales, Service & Contractors","","","2508 Willowood Cir","Birmingham","AL","35215","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Birmingham,%20Alabama"
"3. ","Technoturf, LLC","(205) 640-3740","https://www.yellowpages.com/nationwide/mip/technoturf-llc-465216286","Landscape Contractors,Landscaping & Lawn Services,Deck Builders","http://www.technoturf.com","","","","","","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Birmingham,%20Alabama"
"4. ","Southlawn","(205) 913-3082","https://www.yellowpages.com/nationwide/mip/southlawn-459604970","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","","","","","","","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Birmingham,%20Alabama"
"5. ","J.E.B. Company, Inc.","(205) 902-3619","https://www.yellowpages.com/nationwide/mip/j-e-b-company-inc-481021225","Landscape Contractors,Deck Builders,General Contractors","","","","","","","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Birmingham,%20Alabama"
"6. ","Father Nature Landscapes","(205) 956-3030","https://www.yellowpages.com/irondale-al/mip/father-nature-landscapes-470279677","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.fathernaturelandscapes.com","","4671 Appaloosa Dr","Irondale","AL","35210","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Birmingham,%20Alabama"
"7. ","Detail Services, Inc.","(205) 856-5257","https://www.yellowpages.com/center-point-al/mip/detail-services-inc-522993970","Landscape Contractors,Deck Builders,Deck Cleaning & Treatment","http://www.detailservices.net","","24 23rd Ter NW","Center Point","AL","35215","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Birmingham,%20Alabama"
"8. ","Eagle Fence Co","(256) 810-3192","https://www.yellowpages.com/moulton-al/mip/eagle-fence-co-6212776?lid=1002038033926","Landscape Designers & Consultants,Landscaping & Lawn Services,Deck Builders","","","","","","","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Birmingham,%20Alabama"
"9. ","Precision Tree Service","(205) 283-9190","https://www.yellowpages.com/birmingham-al/mip/precision-tree-service-468618255?lid=1000613058452","Landscape Contractors,Landscaping & Lawn Services,Building Contractors","http://www.precisiontreeservicebirmingham.com","","","","","","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Birmingham,%20Alabama"
"10. ","Economy Stump Removal","(205) 631-5383","https://www.yellowpages.com/birmingham-al/mip/economy-stump-removal-467541738?lid=1001329779853","Landscape Contractors,Landscaping & Lawn Services,Stump Removal & Grinding","http://www.economystumpremoval.com","","","Birmingham","AL","35244","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Birmingham,%20Alabama"
