"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","D.A.A.C. Landscaping","(716) 913-2260","https://www.yellowpages.com/nationwide/mip/d-a-a-c-landscaping-497484731","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","https://daaclandscaping.com","","","","","","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Buffalo,%20New%20York"
"2. ","DMB Construction & Maintenance","(716) 603-5720","https://www.yellowpages.com/tonawanda-ny/mip/dmb-construction-maintenance-451906234","Landscape Designers & Consultants,Deck Builders,General Contractors","http://www.dmbcst.com","","345 Pilgrim Rd","Tonawanda","NY","14150","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Buffalo,%20New%20York"
"3. ","Corey Szczesny Home Improvements","(716) 445-4079","https://www.yellowpages.com/east-aurora-ny/mip/corey-szczesny-home-improvements-19340659","Landscape Contractors,Deck Builders,Home Improvements","http://cshomeimprovements.com","","779 Main St","East Aurora","NY","14052","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Buffalo,%20New%20York"
"4. ","Tony's Tree and Landscaping Inc.","(716) 683-8733","https://www.yellowpages.com/buffalo-ny/mip/tonys-tree-and-landscaping-inc-522752733","Landscaping & Lawn Services,Tree Service,Stump Removal & Grinding","http://www.tonystree.com","","621 Aero Dr","Buffalo","NY","14225","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Buffalo,%20New%20York"
"5. ","PB's Greenthumb Landscaping","(716) 863-9886","https://www.yellowpages.com/buffalo-ny/mip/pbs-greenthumb-landscaping-462536895","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.pbsgreenthumb.com","","","Buffalo","NY","14221","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Buffalo,%20New%20York"
"6. ","Grabber & Sons Inc","(716) 633-1920","https://www.yellowpages.com/buffalo-ny/mip/grabber-sons-inc-1745221","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.grabberlandscape.com","","3242 Harlem Rd","Buffalo","NY","14225","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Buffalo,%20New%20York"
"7. ","Ridge Park Landscaping","(716) 894-0099","https://www.yellowpages.com/buffalo-ny/mip/ridge-park-landscaping-6434350","Landscape Contractors,Landscape Designers & Consultants","","","112 Ridge Park Ave","Buffalo","NY","14211","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Buffalo,%20New%20York"
"8. ","Gozdan Family Landscape & Lawn Care","(716) 725-0634","https://www.yellowpages.com/buffalo-ny/mip/gozdan-family-landscape-lawn-care-468434650","Landscaping & Lawn Services,Snow Removal Service","","","","Buffalo","NY","14212","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Buffalo,%20New%20York"
"9. ","AMA landscape and snow plowing","(716) 491-8335","https://www.yellowpages.com/buffalo-ny/mip/ama-landscape-and-snow-plowing-481846738","Landscape Designers & Consultants,Landscaping & Lawn Services,Snow Removal Service","http://amapropertymaintenance.com","","","Buffalo","NY","14223","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Buffalo,%20New%20York"
"10. ","Affordable Lawn Mowing & Snow Plowing","(716) 685-0997","https://www.yellowpages.com/buffalo-ny/mip/affordable-lawn-mowing-snow-plowing-453973736?lid=142673769","Landscaping & Lawn Services,Lawn Maintenance,Snow Removal Service","","","","Buffalo","NY","14227","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Buffalo,%20New%20York"
