"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","A&R Roofing&Construction","(609) 316-7663","https://www.yellowpages.com/ringgold-ga/mip/a-r-roofing-construction-495996579","Landscape Contractors,Deck Builders,Vinyl Windows & Doors","","","595 Roach Hollow Rd","Ringgold","GA","30736","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chattanooga,%20Tennessee"
"2. ","Lumberjacks Tree Service","(423) 834-6096","https://www.yellowpages.com/chattanooga-tn/mip/lumberjacks-tree-service-481014930","Landscape Contractors,Landscaping & Lawn Services,Tree Service","","","5049 Eller Rd","Chattanooga","TN","37416","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chattanooga,%20Tennessee"
"3. ","Coddington Enterprise","(423) 847-9964","https://www.yellowpages.com/chattanooga-tn/mip/coddington-enterprise-14502006?lid=1002055998857","Landscaping & Lawn Services,Irrigation Engineers,Erosion Control","http://www.coddingtonenterprise.com","","1210 Latta St","Chattanooga","TN","37406","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chattanooga,%20Tennessee"
"4. ","Hardcore Construction of Tennessee","(423) 331-2001","https://www.yellowpages.com/chattanooga-tn/mip/hardcore-construction-of-tennessee-531012511","Deck Builders,Kitchen Planning & Remodeling Service,Basement Contractors","","","605 N Moore Rd","Chattanooga","TN","37411","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chattanooga,%20Tennessee"
"5. ","SpringTurf","(423) 430-8873","https://www.yellowpages.com/chattanooga-tn/mip/springturf-525745743","Landscaping & Lawn Services","http://www.springturf.com","","2288 Gunbarrel Road Ste. 154 #","Chattanooga","TN","37421","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chattanooga,%20Tennessee"
"6. ","Xpert Lawn Engineering","(423) 645-0759","https://www.yellowpages.com/chattanooga-tn/mip/xpert-lawn-engineering-470802919","Landscaping & Lawn Services,Deck Builders,Patio Builders","","","8912 Drake Parkway Rd","Chattanooga","TN","37416","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chattanooga,%20Tennessee"
"7. ","RT Construction Co, LLC","(423) 954-7925","https://www.yellowpages.com/chattanooga-tn/mip/rt-construction-co-llc-549660935?lid=1001616826440","Deck Builders,Gutters & Downspouts,Roofing Services Consultants","http://www.rtconstruction.net","","6606 Julie Ln","Chattanooga","TN","37421","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chattanooga,%20Tennessee"
"8. ","A Perfect Lawn","(423) 320-2601","https://www.yellowpages.com/chattanooga-tn/mip/a-perfect-lawn-8595866?lid=1001558821697","Landscape Contractors,Landscaping & Lawn Services,Lawn Maintenance","","","810 Poindexter Ave","Chattanooga","TN","37412","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chattanooga,%20Tennessee"
"9. ","A D Engineering Services","(423) 266-3501","https://www.yellowpages.com/chattanooga-tn/mip/a-d-engineering-services-4978399?lid=440264607","Landscape Designers & Consultants,Landscaping & Lawn Services,Professional Engineers","http://www.york.com","","651 E 4th St","Chattanooga","TN","37403","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chattanooga,%20Tennessee"
"10. ","Bradley Hardscapes","(423) 401-2439","https://www.yellowpages.com/chattanooga-tn/mip/bradley-hardscapes-563310455","Landscaping & Lawn Services","https://www.bradleyhardscapes.com","","400 E 11th St","Chattanooga","TN","37403","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chattanooga,%20Tennessee"
"11. ","Lawn Care","(786) 309-5296","https://www.yellowpages.com/chattanooga-tn/mip/lawn-care-466670939","Landscape Contractors,Landscaping & Lawn Services","https://www.trugreen.com/local-lawn-care/tennessee/chattanooga","","PO Box 4772","Chattanooga","TN","37405","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chattanooga,%20Tennessee"
