"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Morley Construction","(619) 299-2211","https://www.yellowpages.com/san-diego-ca/mip/morley-construction-4747884","Landscape Contractors,Deck Builders,General Contractors","http://morleybuilders.com","","2251 San Diego Ave Ste B251","San Diego","CA","92110","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"2. ","California Coast Builders, Inc.","(858) 750-2777","https://www.yellowpages.com/san-diego-ca/mip/california-coast-builders-inc-465219147","Landscape Contractors,Landscaping & Lawn Services,Deck Builders","http://www.californiacoastbuilders.com","","2204 Garnet Ave Ste 204","San Diego","CA","92109","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"3. ","PacifiCoastal Design & Construction","(858) 405-7880","https://www.yellowpages.com/san-diego-ca/mip/pacificoastal-design-construction-10937920","Landscape Contractors,Landscape Designers & Consultants,Deck Builders","http://www.pacificoastaldesign.com","","1343 Pacific Beach Dr","San Diego","CA","92109","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"4. ","Team C Construction","(619) 579-6572","https://www.yellowpages.com/el-cajon-ca/mip/team-c-construction-8143257","Landscape Contractors,Deck Builders,General Contractors","http://www.teamcconstruction.com","","1272 Greenfield Dr","El Cajon","CA","92021","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"5. ","Velazquez Patio Construction","(619) 245-4365","https://www.yellowpages.com/chula-vista-ca/mip/velazquez-patio-construction-22950974?lid=1000034185814","Deck Builders,Construction Consultants,Patio Builders","http://velazquezpatioconstruction.com","","118 K St","Chula Vista","CA","91911","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"6. ","ALBERT GARDENING SERVICE","(619) 279-6129","https://www.yellowpages.com/chula-vista-ca/mip/albert-gardening-service-454000417","Landscaping & Lawn Services","","","","Chula Vista","CA","91910","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"7. ","Pro Care Landscape","(619) 421-9091","https://www.yellowpages.com/chula-vista-ca/mip/pro-care-landscape-30580231","Landscape Contractors","http://www.procarelandscape.com","","1164 Paseo Sarina","Chula Vista","CA","91910","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"8. ","Earth One Landscape","(858) 262-1745","https://www.yellowpages.com/chula-vista-ca/mip/earth-one-landscape-456055072","Landscape Contractors","http://earthonelandscape.com","","","Chula Vista","CA","91910","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"9. ","Best Landscaping","(619) 335-7500","https://www.yellowpages.com/chula-vista-ca/mip/best-landscaping-18791243","Landscape Contractors,Landscape Designers & Consultants","http://www.bestlandscapingsandiego.com","","","Chula Vista","CA","91909","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"10. ","Escobar's Landscaping","(619) 216-8712","https://www.yellowpages.com/chula-vista-ca/mip/escobars-landscaping-481201065","Landscape Contractors","","","274 Twin Oaks Ave Apt 2c","Chula Vista","CA","91910","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"11. ","Merchants Landscapes Service","(619) 824-0064","https://www.yellowpages.com/chula-vista-ca/mip/merchants-landscapes-service-456076812","Landscape Contractors,Landscape Designers & Consultants","","","311 Sea Vale St","Chula Vista","CA","91910","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"12. ","THE LAWN GUYS","(619) 995-0124","https://www.yellowpages.com/chula-vista-ca/mip/the-lawn-guys-505151906","Landscaping & Lawn Services,Lawn Maintenance,Sprinklers-Garden & Lawn, Installation & Service","","","75 Via Veneto","chula vista","CA","91910","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"13. ","Avina Lawn Service","(619) 941-1386","https://www.yellowpages.com/chula-vista-ca/mip/avina-lawn-service-22352443","Landscape Contractors,Landscaping & Lawn Services","","","619 Elm Ave","Chula Vista","CA","91910","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"14. ","Thompson Landscape","(619) 426-1317","https://www.yellowpages.com/chula-vista-ca/mip/thompson-landscape-30530936","Landscape Contractors","","","778 Garrett Ave","Chula Vista","CA","91910","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"15. ","Green Heaven Landscape","(619) 292-4000","https://www.yellowpages.com/chula-vista-ca/mip/green-heaven-landscape-520436452","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","","","600 Hilltop Dr","Chula Vista","CA","91910","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"16. ","Down To Earth Landscape","(619) 427-2214","https://www.yellowpages.com/chula-vista-ca/mip/down-to-earth-landscape-19608119","Landscape Contractors,Landscape Designers & Consultants","","","752 2nd Ave","Chula Vista","CA","91910","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"17. ","Lewis Landscape","(619) 726-7530","https://www.yellowpages.com/chula-vista-ca/mip/lewis-landscape-216322","Landscape Contractors","http://lewislandscape.net","","Serving San Diego County","Chula Vista","CA","91910","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"18. ","Kens Landscape","(619) 425-0762","https://www.yellowpages.com/chula-vista-ca/mip/kens-landscape-18135398","Landscape Contractors,Lawn Maintenance","http://www.kenslandscape.com","","642 Carla Ave","Chula Vista","CA","91910","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"19. ","Scape FX Landscape","(619) 392-3912","https://www.yellowpages.com/chula-vista-ca/mip/scape-fx-landscape-484165473","Landscape Contractors","","","656 Elsie Way","Chula Vista","CA","91910","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"20. ","Chula Vista Lawn","(619) 253-6263","https://www.yellowpages.com/chula-vista-ca/mip/chula-vista-lawn-503696426","Landscape Contractors","http://www.chulavistalawn.com","","3185 Lynndale Pl","Chula Vista","CA","91910","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"21. ","Phoenix Landcare Inc","(619) 420-8580","https://www.yellowpages.com/chula-vista-ca/mip/phoenix-landcare-inc-23380088","Landscape Contractors","","","1009 Mission Ct","Chula Vista","CA","91911","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"22. ","All Purpose Service","(619) 992-1529","https://www.yellowpages.com/chula-vista-ca/mip/all-purpose-service-549353403","Landscape Designers & Consultants,Landscaping & Lawn Services,Sod & Sodding Service","","","1015 Mission Ct","Chula Vista","CA","91911","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"23. ","True shine landscape","(619) 852-5873","https://www.yellowpages.com/chula-vista-ca/mip/true-shine-landscape-525710958","Landscaping & Lawn Services","","","1206 helix Ave","Chula Vista","CA","91911","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"24. ","New Image Landscape","(619) 273-9330","https://www.yellowpages.com/chula-vista-ca/mip/new-image-landscape-507365819","Landscape Contractors","https://newimagelandscape.com","","817 Dorothy St","Chula Vista","CA","91911","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"25. ","Mireles Stump Grinding","(619) 816-6463","https://www.yellowpages.com/chula-vista-ca/mip/mireles-stump-grinding-526313293","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","","","870 La Senda Way","chula vista","CA","91910","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"26. ","A & G Gomez Landscaping","(619) 548-0150","https://www.yellowpages.com/chula-vista-ca/mip/a-g-gomez-landscaping-461458498","Landscape Contractors","","","56 Quintard St Unit 28","Chula Vista","CA","91911","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"27. ","The Grounds Guys Of Chula Vista","(619) 357-4403","https://www.yellowpages.com/chula-vista-ca/mip/the-grounds-guys-of-chula-vista-527473214","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.groundsguys.com/chula-vista","","1173 Ocelot Ave","Chula Vista","CA","91911","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"28. ","Pacific Coast Landscape Maintenance","(619) 271-3955","https://www.yellowpages.com/chula-vista-ca/mip/pacific-coast-landscape-maintenance-473362560","Landscape Contractors,Landscape Designers & Consultants","","","220 Tremont St","Chula Vista","CA","91911","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"29. ","The Grounds Guys of Chula Vista","(619) 357-4403","https://www.yellowpages.com/chula-vista-ca/mip/the-grounds-guys-of-chula-vista-521539212","Landscape Contractors,Landscaping & Lawn Services","http://www.groundsguys.com/chula-vista","","170 Mace St","Chula Vista","CA","91911","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
"30. ","Poc Studio","(619) 318-6439","https://www.yellowpages.com/chula-vista-ca/mip/poc-studio-539086215","Landscape Contractors","","","170 Mace St Ste D08","Chula Vista","CA","91911","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Chula%20Vista,%20California"
