"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Strong Fence Landscaping & Decks","(706) 761-1776","https://www.yellowpages.com/columbus-ga/mip/strong-fence-landscaping-decks-470440756","Landscape Contractors,Deck Builders,Fence Repair","","","5051 3rd Ave","Columbus","GA","31904","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Columbus,%20Georgia"
"2. ","CRA Enterprises, LLC","(706) 329-1075","https://www.yellowpages.com/columbus-ga/mip/cra-enterprises-llc-461561577","Landscape Contractors,Landscaping & Lawn Services,Deck Cleaning & Treatment","http://www.crastumpgrinding.com","","3456 Hiawatha Dr","Columbus","GA","31907","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Columbus,%20Georgia"
"3. ","Creative Concrete & Landscape","(706) 681-1684","https://www.yellowpages.com/columbus-ga/mip/creative-concrete-landscape-464669573","Landscape Contractors","","","794 1st Ave","Columbus","GA","31901","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Columbus,%20Georgia"
"4. ","Gill Cargill Landscapes","(706) 565-6191","https://www.yellowpages.com/columbus-ga/mip/gill-cargill-landscapes-21759457","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.cargilllandscapes.com","","7587 River Crest Dr","Columbus","GA","31904","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Columbus,%20Georgia"
"5. ","Earthworks Landscape LLC","(706) 323-5904","https://www.yellowpages.com/columbus-ga/mip/earthworks-landscape-llc-7685540?lid=1000754354925","Landscape Contractors,Landscaping & Lawn Services,Stone Natural","http://www.earthworksgeorgia.com","","10210 Whitesville Rd","Columbus","GA","31904","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Columbus,%20Georgia"
"6. ","Cutting Edge Lawn Care","(706) 887-8267","https://www.yellowpages.com/columbus-ga/mip/cutting-edge-lawn-care-481508934?lid=1001287777503","Landscape Contractors,Landscaping & Lawn Services,Sod & Sodding Service","http://www.columbuslawncare.net","","","Columbus","GA","31909","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Columbus,%20Georgia"
"7. ","Jones Lawn & Sprinkler Service","(706) 940-3855","https://www.yellowpages.com/columbus-ga/mip/jones-lawn-sprinkler-service-14567167?lid=1001383752829","Landscaping & Lawn Services,Nursery & Growers Equipment & Supplies,Sprinklers-Garden & Lawn, Installation & Service","","","743 Wilder Dr","Columbus","GA","31907","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Columbus,%20Georgia"
"8. ","Nvision Landscape Maintenance","(762) 207-8413","https://www.yellowpages.com/columbus-ga/mip/nvision-landscape-maintenance-472604808","Landscaping & Lawn Services","","","","Columbus","GA","31909","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Columbus,%20Georgia"
"9. ","Seasonal Concepts Landscaping & Nursery","(706) 561-2566","https://www.yellowpages.com/columbus-ga/mip/seasonal-concepts-landscaping-nursery-3414610","Landscape Contractors,Landscaping & Lawn Services,Nurseries-Plants & Trees","http://www.seasonalconceptscolumbus.com","","6220 Milgen Rd","Columbus","GA","31907","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Columbus,%20Georgia"
"10. ","J & S Landscaping","(706) 405-5238","https://www.yellowpages.com/columbus-ga/mip/j-s-landscaping-465118784","Landscape Designers & Consultants,Landscaping & Lawn Services,Gardeners","","","HARNESS Dr","Columbus","GA","31906","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Columbus,%20Georgia"
"11. ","WEEZY LAWN SERVICE","(706) 718-7683","https://www.yellowpages.com/columbus-ga/mip/weezy-lawn-service-451296045","Landscaping & Lawn Services","","","6023 Crystal Dr","Columbus","GA","31907","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Columbus,%20Georgia"
"12. ","Eufaula Sod Farms LLC","(706) 940-2976","https://www.yellowpages.com/columbus-ga/mip/eufaula-sod-farms-llc-455300414?lid=1001235412270","Landscaping & Lawn Services,Lawn Maintenance,Lawn & Garden Equipment & Supplies","","","1332 17th St","Columbus","GA","31901","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Columbus,%20Georgia"
"13. ","Ikon Outdoor Services","(706) 604-0615","https://www.yellowpages.com/columbus-ga/mip/ikon-outdoor-services-480102092","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","","","7901 Cleo Dr","Columbus","GA","31909","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Columbus,%20Georgia"
"14. ","Flat Rock Sand & Gravel","(762) 583-0926","https://www.yellowpages.com/columbus-ga/mip/flat-rock-sand-gravel-5636370?lid=1002076925215","Landscape Contractors,Landscaping & Lawn Services,Gardeners","http://www.flatrocksand.com","","5901 Warm Springs Rd","Columbus","GA","31909","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Columbus,%20Georgia"
"15. ","Lawns Are Us","(706) 392-9623","https://www.yellowpages.com/columbus-ga/mip/lawns-are-us-19568423?lid=1000437172486","Landscape Contractors,Landscape Designers & Consultants,Lawn Maintenance","","","5012 Stone Park Dr","Columbus","GA","31909","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Columbus,%20Georgia"
"16. ","Plant Works","(706) 442-2846","https://www.yellowpages.com/columbus-ga/mip/plant-works-23228661?lid=157998755","Landscape Contractors,Landscaping & Lawn Services,Plants-Interior Design & Maintenance","http://www.columbusincolor.com","","6210 W Hamilton Park Dr","Columbus","GA","31909","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Columbus,%20Georgia"
"17. ","GW Exterminating Company Inc","(706) 653-7400","https://www.yellowpages.com/columbus-ga/mip/gw-exterminating-company-inc-466835548?lid=1001383775610","Landscaping & Lawn Services,Pest Control Equipment & Supplies,Pest Control Services","http://gwexterminating.com","","3908 Woodruff Rd","Columbus","GA","31904","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Columbus,%20Georgia"
"18. ","Lawn Doctor","(706) 322-5570","https://www.yellowpages.com/columbus-ga/mip/lawn-doctor-534643524?lid=1001390285810","Landscaping & Lawn Services,Spraying Equipment,Pest Control Services","http://www.lawndoctor.com","","2980 Smith Rd","Columbus","GA","31907","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Columbus,%20Georgia"
"19. ","Smith Lawn Care","(706) 984-8727","https://www.yellowpages.com/columbus-ga/mip/smith-lawn-care-544582300","Landscape Contractors,Landscaping & Lawn Services","","","746 3rd Ave","Columbus","GA","31901","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Columbus,%20Georgia"
"20. ","Gullatte Associates Inc","(706) 322-3620","https://www.yellowpages.com/columbus-ga/mip/gullatte-associates-inc-3323150","Landscape Designers & Consultants,Landscaping Equipment & Supplies","http://www.gullatte.com","","1019 Broadway","Columbus","GA","31901","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Columbus,%20Georgia"
"21. ","Bicity Lawn & Landscape","(706) 289-5555","https://www.yellowpages.com/columbus-ga/mip/bicity-lawn-landscape-12394069","Landscaping & Lawn Services,Lawn Maintenance","","","","Columbus","GA","31901","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Columbus,%20Georgia"
