"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Top Contractors","(260) 413-3272","https://www.yellowpages.com/fort-wayne-in/mip/top-contractors-25535481","Landscape Contractors,Deck Builders,General Contractors","http://topcontractorsllc.com","","10603 Alderwood Ln","Fort Wayne","IN","46845","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"2. ","Star Homes","(260) 755-5999","https://www.yellowpages.com/fort-wayne-in/mip/star-homes-460094542","Landscape Designers & Consultants,Deck Builders,Home Builders","http://www.starhomesinc.com","","5901 Wheelock Rd","Fort Wayne","IN","46835","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"3. ","Triscape Inc","(260) 478-2234","https://www.yellowpages.com/nationwide/mip/triscape-inc-549447109","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.triscapeinc.com","","","","","","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"4. ","SuperGreen","(260) 444-9020","https://www.yellowpages.com/fort-wayne-in/mip/supergreen-468543433","Landscaping & Lawn Services,Fertilizing Services,Pest Control Services","http://supergreenlawnsvc.com","","3315 Raymond St","Fort Wayne","IN","46803","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"5. ","S&H Landscaping","(260) 438-6640","https://www.yellowpages.com/fort-wayne-in/mip/s-h-landscaping-533678693","Landscaping & Lawn Services","","","2608 Hillegas Rd","Fort Wayne","IN","46808","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"6. ","Carr's Lawn and Landscape","(260) 422-7252","https://www.yellowpages.com/fort-wayne-in/mip/carrs-lawn-and-landscape-8483675","Landscape Contractors,Landscaping & Lawn Services,Fertilizing Services","http://www.carrslawnandlandscape.com","","2302 Pennsylvania St","Fort Wayne","IN","46803","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"7. ","Pain in the Grass Lawn Care","(260) 410-5809","https://www.yellowpages.com/fort-wayne-in/mip/pain-in-the-grass-lawn-care-464684836","Landscaping & Lawn Services,Lawn Mowers,Lawn Maintenance","","","11918 Dark Hollow Ct","Fort Wayne","IN","46818","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"8. ","Friar Enterprises","(260) 747-7014","https://www.yellowpages.com/fort-wayne-in/mip/friar-enterprises-460654030","Landscaping & Lawn Services,Sprinklers-Garden & Lawn, Installation & Service,Dump Truck Service","http://friarenterprises.com","","4025 Lower Huntington Rd","Fort Wayne","IN","46809","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"9. ","Veterans Lawn Care","(260) 639-6060","https://www.yellowpages.com/fort-wayne-in/mip/veterans-lawn-care-25557363","Landscaping & Lawn Services,Snow Removal Service,Fertilizing Services","http://www.veteranpropertymaintenance.com","","2520 Wysstead Dr","Fort Wayne","IN","46819","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"10. ","Patton Landscape Co Inc","(260) 489-7225","https://www.yellowpages.com/fort-wayne-in/mip/patton-landscape-co-inc-459398947","Landscape Contractors,Landscape Designers & Consultants","http://www.pattonlandscape.com","","14127 Whiskey Creek Dr","Fort Wayne","IN","46814","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
