"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Parker Landscape, Inc.","(559) 323-4453","https://www.yellowpages.com/nationwide/mip/parker-landscape-inc-17990535","Landscape Contractors,Landscape Designers & Consultants,Deck Builders","http://www.parkerlandscape.com","","","","","","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Fresno,%20California"
"2. ","Parker Landscaping","(559) 323-4453","https://www.yellowpages.com/nationwide/mip/parker-landscaping-502871154","Landscape Contractors,Deck Builders,Patio Covers & Enclosures","http://parkerlandscape.com","","","","","","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Fresno,%20California"
"3. ","G.J. Gardner Homes Clovis/North East Fresno","(559) 325-7017","https://www.yellowpages.com/clovis-ca/mip/g-j-gardner-homes-clovis-north-east-fresno-21952382","Landscape Contractors,Deck Builders,General Contractors","http://www.gjgardner.com","","1455 Shaw Ave","Clovis","CA","93611","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Fresno,%20California"
"4. ","RFMC Construction Inc","(559) 862-4038","https://www.yellowpages.com/fresno-ca/mip/rfmc-construction-inc-21959357?lid=1002079876905","Deck Builders,Home Repair & Maintenance,Screen Enclosures","http://www.rfmcinc.com","","5935 E Clinton Ave","Fresno","CA","93727","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Fresno,%20California"
"5. ","Adolph's A-1 Tree Service A Partnership","(559) 222-0815","https://www.yellowpages.com/fresno-ca/mip/adolphs-a-1-tree-service-a-partnership-21955737?lid=1001755717874","Landscape Contractors,Landscaping & Lawn Services,Tree Service","https://www.adolphstreeservice.com","","6325 W Olive Ave","Fresno","CA","93723","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Fresno,%20California"
"6. ","Wade's Expert Sprinkler Repair and Installation Service","(559) 470-4522","https://www.yellowpages.com/fresno-ca/mip/wades-expert-sprinkler-repair-and-installation-service-462606572","Landscaping & Lawn Services,Water Conservation,Irrigation Systems & Equipment","","","5212 N Valentine Ave Apt 104","Fresno","CA","93711","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Fresno,%20California"
"7. ","Aguilar Yard Service","(559) 313-8051","https://www.yellowpages.com/fresno-ca/mip/aguilar-yard-service-22830063","Landscape Designers & Consultants","","","2311 N Wapoma Ave","Fresno","CA","93722","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Fresno,%20California"
"8. ","Steelescapes Landscape Services","(559) 261-2200","https://www.yellowpages.com/fresno-ca/mip/steelescapes-landscape-services-1884463","Landscape Contractors,Landscape Designers & Consultants,Sprinklers-Garden & Lawn","http://www.steelescapes.com","","4363 N Valentine Ave","Fresno","CA","93722","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Fresno,%20California"
"9. ","Spider Guy","(559) 266-3066","https://www.yellowpages.com/fresno-ca/mip/spider-guy-12052997","Landscaping & Lawn Services,Pest Control Services,Lawn Maintenance","","","","Fresno","CA","93723","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Fresno,%20California"
"10. ","California Tree And Landscape","(559) 478-2602","https://www.yellowpages.com/fresno-ca/mip/california-tree-and-landscape-461704652?lid=1001905298017","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","","","2427 S Orange Ave","Fresno","CA","93725","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Fresno,%20California"
