"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Construct","(305) 335-6085","https://www.yellowpages.com/miami-fl/mip/construct-464166192","Landscape Contractors,Deck Builders,General Contractors","http://www.constructsllc.com","","350 S Miami Ave Apt 2113","Miami","FL","33130","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"2. ","SB Lawn Solution","(305) 303-9886","https://www.yellowpages.com/hialeah-fl/mip/sb-lawn-solution-547059530","Landscaping & Lawn Services","","","690 west 53 street","Hialeah","FL","33012","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"3. ","Extreme Landscaping & Jntrl","(786) 541-6783","https://www.yellowpages.com/hialeah-fl/mip/extreme-landscaping-jntrl-21428019","Landscape Contractors,Landscape Designers & Consultants","","","6360 W 10th Ave","Hialeah","FL","33012","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"4. ","Krypton Pest Control","(786) 864-0824","https://www.yellowpages.com/hialeah-fl/mip/krypton-pest-control-527959778?lid=1002004617275","Landscaping & Lawn Services,Inspection Service,Lawn Maintenance","http://www.kryptonpestcontrol.com","","2215 W 78th St","Hialeah","FL","33016","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"5. ","D&D Landscape.","(305) 748-7237","https://www.yellowpages.com/hialeah-fl/mip/d-d-landscape-20040616","Landscaping & Lawn Services,Tree Service,Lawn Maintenance","","","511 E 38th St","Hialeah","FL","33013","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"6. ","Raydellandscaping","(305) 345-4564","https://www.yellowpages.com/hialeah-fl/mip/raydellandscaping-482177259","Landscaping & Lawn Services,Tree Service,Garbage Disposals","","","560 E 36th St","hialeah","FL","33013","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"7. ","South East Lawn Service","(305) 826-0152","https://www.yellowpages.com/hialeah-fl/mip/south-east-lawn-service-11154612","Landscape Contractors,Landscaping & Lawn Services","","","295 W 51st St","Hialeah","FL","33012","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"8. ","Dia Corp","(305) 836-9200","https://www.yellowpages.com/hialeah-fl/mip/dia-corp-454344051","Landscape Contractors,Landscape Designers & Consultants","","","590 E 25th St Ste 503","Hialeah","FL","33013","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"9. ","All in One Group","(305) 807-0782","https://www.yellowpages.com/hialeah-fl/mip/all-in-one-group-16212988","Landscape Contractors,Landscape Designers & Consultants","https://www.bigallinone.com/contact","","182 E 57th St","Hialeah","FL","33013","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"10. ","CDM Landscaping Corp","(305) 798-2646","https://www.yellowpages.com/hialeah-fl/mip/cdm-landscaping-corp-29400242","Landscape Contractors","https://www.landscapeservice.us/company-cdm-landscaping-corp-in-hialeah-fl-255","","340 W 53rd Ter","Hialeah","FL","33012","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"11. ","Domingo Sosa Landscaping","(786) 506-3111","https://www.yellowpages.com/hialeah-fl/mip/domingo-sosa-landscaping-28966622","Landscape Contractors","","","525 E 20th St","Hialeah","FL","33013","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"12. ","Royal Palm Landscaping Inc","(786) 258-1788","https://www.yellowpages.com/hialeah-fl/mip/royal-palm-landscaping-inc-525077631","Landscaping & Lawn Services,Tree Service,Gardeners","http://www.royalpalmlandscaping.com","","670 W 53rd St","Hialeah","FL","33012","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"13. ","Miami Landscaping Group Inc","(305) 362-8193","https://www.yellowpages.com/hialeah-fl/mip/miami-landscaping-group-inc-23165581","Landscape Contractors","","","365 W 60th St","Hialeah","FL","33012","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"14. ","Budget Landscaping","(786) 873-9177","https://www.yellowpages.com/hialeah-fl/mip/budget-landscaping-469721962","Landscaping & Lawn Services","","","4316 W 10th Ave","Hialeah","FL","33012","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"15. ","YAIDARLIN BATISTA ROQUE","(305) 590-1355","https://www.yellowpages.com/hialeah-fl/mip/yaidarlin-batista-roque-555089030","Landscape Designers & Consultants","","","66 W 14th St #4","Hialeah","FL","33010","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"16. ","Mystic Garden Landscaping & lawn Services","(786) 663-1373","https://www.yellowpages.com/hialeah-fl/mip/mystic-garden-landscaping-lawn-services-23043727","Landscape Designers & Consultants,Landscaping & Lawn Services,Lawn Maintenance","","","PO Box 22713","Hialeah","FL","33002","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"17. ","Yoelsy Landscaping Inc","(786) 402-4873","https://www.yellowpages.com/hialeah-fl/mip/yoelsy-landscaping-inc-482808677","Landscape Contractors","","","5821 NW 117th St","Hialeah","FL","33012","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"18. ","J B Landscaping","(305) 883-5430","https://www.yellowpages.com/hialeah-fl/mip/j-b-landscaping-29180605","Landscape Contractors","","","435 Hialeah Dr","Hialeah","FL","33010","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"19. ","Hector Osorto Landscaping","(786) 515-5078","https://www.yellowpages.com/hialeah-fl/mip/hector-osorto-landscaping-499772970","Landscape Designers & Consultants","","","621 SE 3rd Pl","Hialeah","FL","33010","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"20. ","Hch Lawn Sprinkle","(305) 823-8999","https://www.yellowpages.com/hialeah-fl/mip/hch-lawn-sprinkle-457293792","Landscape Contractors","","","7850 W 10th Ave","Hialeah","FL","33014","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"21. ","Designscapes123 Inc","(305) 244-0122","https://www.yellowpages.com/hialeah-fl/mip/designscapes123-inc-544445073","Landscape Designers & Consultants","http://designscapes123.com","","1853 W 63rd St","Hialeah","FL","33012","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"22. ","A Terrascape Design Concepts","(305) 570-5981","https://www.yellowpages.com/hialeah-fl/mip/a-terrascape-design-concepts-29404057","Landscape Contractors","","","1853 W 63rd St","Hialeah","FL","33012","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"23. ","Hialeah Landscaping Pros","(786) 422-5770","https://www.yellowpages.com/hialeah-fl/mip/hialeah-landscaping-pros-517520353","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://hialeahlandscapingpros.com","","4474 W 66th Pl Ste C","Hialeah","FL","33016","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"24. ","Premium Landscaping Corp","(786) 860-5964","https://www.yellowpages.com/hialeah-fl/mip/premium-landscaping-corp-521111439","Landscape Contractors","","","2193 W 73rd St","Hialeah","FL","33016","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"25. ","Quality Gardeners","(305) 827-9942","https://www.yellowpages.com/hialeah-fl/mip/quality-gardeners-9141765","Landscape Contractors,Landscape Designers & Consultants","","","8060 W 21st Ave","Hialeah","FL","33016","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"26. ","Quandt Ayer and Associates","(305) 825-3511","https://www.yellowpages.com/hialeah-fl/mip/quandt-ayer-and-associates-472295771","Landscape Contractors,General Contractors","","","8013 W 21st Ct","Hialeah","FL","33016","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"27. ","SOD FOR YOU","(786) 342-8946","https://www.yellowpages.com/hialeah-fl/mip/sod-for-you-504691733","Landscape Designers & Consultants,Landscaping & Lawn Services,Sod & Sodding Service","","","7283 W 24th Ave Apt 151","Hialeah","FL","33016","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"28. ","Super Landscapes & Maintenance Inc","(305) 362-3355","https://www.yellowpages.com/hialeah-fl/mip/super-landscapes-maintenance-inc-505031855","Landscaping & Lawn Services","","","2372 W 79th St","Hialeah","FL","33016","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"29. ","Mcconnell Services","(786) 686-2826","https://www.yellowpages.com/hialeah-fl/mip/mcconnell-services-550499293","Landscape Designers & Consultants","","","2495 W 80th St","Hialeah","FL","33016","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
"30. ","JLS Security Plus","(786) 423-4474","https://www.yellowpages.com/hialeah-fl/mip/jls-security-plus-450796602","Landscaping & Lawn Services","","","4260 NW 172nd Terrace Cir","Hialeah","FL","33015","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Hialeah,%20Florida"
