"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Kahala Construction","(808) 737-7757","https://www.yellowpages.com/nationwide/mip/kahala-construction-463097031","Landscape Contractors,Deck Builders,Building Contractors","","","","","","","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"2. ","Intraspect Construction Service","(808) 262-2767","https://www.yellowpages.com/kailua-hi/mip/intraspect-construction-service-461942228","Landscape Contractors,Deck Builders,General Contractors","http://dumoreconstruction.com","","901 Aalapapa Dr","Kailua","HI","96734","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"3. ","Kula's Landscaping","(808) 737-8322","https://www.yellowpages.com/honolulu-hi/mip/kulas-landscaping-11557206","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://api.citygridmedia.com/content/places/v2/click?q=urVBa6moXC5S9VPyC16BYBn_NxLXMVobS_8vbcyI69_gxb4CfBJy9OKohTker_VRQUs_rkabzY8Aw-E7wg8PzxGIRE6Qeb1zffG2kRjt9wW32cq9uCECkL8wpv5bmgpnXHEb6jlXRjoVDXvEa4L1EkR3zvl7wudwJKmE4u2l2q6N7SYTEVXJRUOWJM9egXwoGRfx8VFn5yEsIj2USBUTe_LFpyRdu5FUJYk-pwj8zG7fcjWraswqI8DIaM1GXppqRriQs-L9js2s_lRkQ6Mms5UO31ZalkA3xPndKGS3SeBBv-5aoh7AnJVnkfOywtB_ZNPWjw2Cxx3if2GyvOwTBrh8e6WXmC6IJOFKroWhaGdfgFA6TnQBs59a4PCIuzGiwpVyDMAtUwbWC3urwRUjBFDJ8UQPpZAd","","3014 Gulston St","Honolulu","HI","96816","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"4. ","Personal Touch Landscaping","(808) 623-8481","https://www.yellowpages.com/honolulu-hi/mip/personal-touch-landscaping-18422094","Landscaping & Lawn Services","http://personaltouchlandscape.com","","1253 Ala Aolani St","Honolulu","HI","96819","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"5. ","Gonzalez Maintenance","(808) 636-7184","https://www.yellowpages.com/honolulu-hi/mip/gonzalez-maintenance-480009008","Landscaping & Lawn Services","","","","honolulu","HI","96819","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"6. ","Performance Landscapes","(808) 282-5496","https://www.yellowpages.com/honolulu-hi/mip/performance-landscapes-497444081","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.performancels.com","","1082 Sand Island Pkwy","Honolulu","HI","96819","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"7. ","Ar-Wil Yard Service","(808) 781-2615","https://www.yellowpages.com/honolulu-hi/mip/ar-wil-yard-service-471828063","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","","","1717 Ahuula St","Honolulu","HI","96819","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"8. ","Sherwood's Tree Service","(808) 537-9705","https://www.yellowpages.com/honolulu-hi/mip/sherwoods-tree-service-475355001?lid=1001907262032","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.sherwoodtrees.com","","350 Ward Ave Ste 106","Honolulu","HI","96814","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"9. ","Trees Of Hawaii Inc","(808) 842-0474","https://www.yellowpages.com/honolulu-hi/mip/trees-of-hawaii-inc-20302357?lid=1001908428794","Landscaping & Lawn Services,Tree Service,Arborists","http://www.treesofhawaii.com","","","Honolulu","HI","96817","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"10. ","E J Yard Services","(808) 384-1714","https://www.yellowpages.com/honolulu-hi/mip/e-j-yard-services-503097618?lid=1001769523637","Landscape Designers & Consultants,Gardeners","","","","Honolulu","HI","96819","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"11. ","Okahara and Associates Inc","(808) 524-1224","https://www.yellowpages.com/honolulu-hi/mip/okahara-and-associates-inc-475359407?lid=1001730055191","Landscape Designers & Consultants,Landscaping & Lawn Services,Professional Engineers","http://www.okahara.com","","677 Ala Moana Blvd Ste 703","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"12. ","Brownlie & Lee","(808) 528-4363","https://www.yellowpages.com/honolulu-hi/mip/brownlie-lee-432706","Landscape Designers & Consultants,Lighting Consultants & Designers,Irrigation Consultants","http://blhawaii.com","","201 Merchant St Ste 1930","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"13. ","Miyabara Associates","(808) 531-1306","https://www.yellowpages.com/honolulu-hi/mip/miyabara-associates-5366862","Landscape Designers & Consultants,Landscaping Equipment & Supplies","http://miyabara.com","","810 Richards St Ste 808","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"14. ","E A H Inc","(808) 523-8826","https://www.yellowpages.com/honolulu-hi/mip/e-a-h-inc-541661365","Landscape Designers & Consultants","http://hakainc.com","","841 Bishop St Ste 1900","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"15. ","Helber Hastert & Fee Planners","(808) 545-2055","https://www.yellowpages.com/honolulu-hi/mip/helber-hastert-fee-planners-459661930","Landscape Designers & Consultants,Landscaping Equipment & Supplies","https://www.hhf.com/contact","","733 Bishop St Ste 2590","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"16. ","Loriann Gordon Landscape Architect","(808) 282-0106","https://www.yellowpages.com/honolulu-hi/mip/loriann-gordon-landscape-architect-516932853","Landscape Contractors,Landscape Designers & Consultants,Landscaping Equipment & Supplies","http://www.lgordonlandarch.com","","49 S Hotel St Ste 210","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"17. ","Puanani Landscape/Maintenance","(808) 678-2700","https://www.yellowpages.com/honolulu-hi/mip/puanani-landscape-maintenance-19710224","Landscape Contractors,Landscape Designers & Consultants","","","PO Box 875","Honolulu","HI","96808","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"18. ","Green Hawaii Landscaping","(808) 680-7755","https://www.yellowpages.com/honolulu-hi/mip/green-hawaii-landscaping-463218544","Landscape Contractors,Landscaping & Lawn Services,Gardeners","","","Po Box 452","Honolulu","HI","96809","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"19. ","North Shore Pool & Yard Service","(808) 783-6712","https://www.yellowpages.com/honolulu-hi/mip/north-shore-pool-yard-service-504319746","Landscape Contractors","https://www.northshorepoolandyardservice.com/contact/4503412","","Po Box 302","Honolulu","HI","96809","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"20. ","Elite Island Scapes LLC","(808) 799-2353","https://www.yellowpages.com/honolulu-hi/mip/elite-island-scapes-llc-526833544","Landscaping & Lawn Services","https://eliteislandscapes.com","","PO Box 3383","Honolulu","HI","96801","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"21. ","Triple D Painting Co Inc","(808) 386-7404","https://www.yellowpages.com/honolulu-hi/mip/triple-d-painting-co-inc-513775080","Deck Builders","http://tripledpainting.com","","Statewide","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"22. ","A Action Landscape- Tree & Maintenance Services","(808) 389-9855","https://www.yellowpages.com/honolulu-hi/mip/a-action-landscape-tree-maintenance-services-452429375","Landscape Contractors,Landscape Designers & Consultants","","","92 N Pauahi St","Honolulu","HI","96817","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"23. ","Smalt & Co Inc","(808) 537-1932","https://www.yellowpages.com/honolulu-hi/mip/smalt-co-inc-459564135","Landscape Contractors,Landscape Designers & Consultants","","","918 Smith St","Honolulu","HI","96817","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"24. ","Agsalda Builders Inc","(808) 630-5241","https://www.yellowpages.com/honolulu-hi/mip/agsalda-builders-inc-535035965","Landscape Contractors,Landscape Designers & Consultants","http://www.royalpalmgroup.net","","407 Iolani Ave","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"25. ","Agy","(808) 447-9849","https://www.yellowpages.com/honolulu-hi/mip/agy-484071977","Landscape Designers & Consultants","https://health.hawaii.gov","","1100 Ward Ave Ste 1020","Honolulu","HI","96814","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"26. ","All Island Landscaping & Maintenance","(808) 593-4003","https://www.yellowpages.com/honolulu-hi/mip/all-island-landscaping-maintenance-546581105","Landscape Contractors","","","858 Queen St","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"27. ","Hapa Landscaping","(808) 732-4272","https://www.yellowpages.com/honolulu-hi/mip/hapa-landscaping-537404897","Landscape Contractors","http://www.hapalandscaping.com","","885 Queen St Ste B","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"28. ","Holomua Site Services Inc.","(808) 426-7659","https://www.yellowpages.com/honolulu-hi/mip/holomua-site-services-inc-522384129","Landscaping & Lawn Services","http://holomuasiteservices.com","","Po Box 22051","Honolulu","HI","96823","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"29. ","Ho'onani Landscaping","(808) 596-2582","https://www.yellowpages.com/honolulu-hi/mip/hoonani-landscaping-461968585","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","","","975 Kapiolani Blvd Ste 2","Honolulu","HI","96814","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
"30. ","Glads Landscaping & Tree","(808) 550-0408","https://www.yellowpages.com/honolulu-hi/mip/glads-landscaping-tree-466034235","Landscape Contractors,Landscape Designers & Consultants,Building Contractors","","","1932 Puowaina Dr","Honolulu","HI","96813","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Honolulu,%20Hawaii"
