"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Ajay's Nursery Inc","(317) 662-3436","https://www.yellowpages.com/indianapolis-in/mip/ajays-nursery-inc-4252699?lid=1000453936971","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.ajaysnursery.com","","2250 N Mitthoeffer Rd","Indianapolis","IN","46229","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Indianapolis,%20Indiana"
"2. ","Fentress Builders","(317) 541-3600","https://www.yellowpages.com/indianapolis-in/mip/fentress-builders-472973839","Landscape Contractors,Deck Builders,General Contractors","http://www.fentressbuilders.com","","6006 E 38th St","Indianapolis","IN","46226","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Indianapolis,%20Indiana"
"3. ","Hawkins Rebuilds Homes","(317) 917-0500","https://www.yellowpages.com/indianapolis-in/mip/hawkins-rebuilds-homes-540996202","Landscape Contractors,Deck Builders,Deck Cleaning & Treatment","http://www.hawkinsrebuildshomes.com","","2457 E Washington St","Indianapolis","IN","46201","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Indianapolis,%20Indiana"
"4. ","Indiana Professional Contactors","(317) 222-6005","https://www.yellowpages.com/indianapolis-in/mip/indiana-professional-contactors-527372654","Landscape Contractors,Deck Builders,General Contractors","","","2031 Silver Lane Dr","Indianapolis","IN","46203","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Indianapolis,%20Indiana"
"5. ","Pro Care Horticultural Services","(317) 872-4800","https://www.yellowpages.com/carmel-in/mip/pro-care-horticultural-services-5512967?lid=1000437170723","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.procarehorticulturalservices.com","","9801 Commerce Dr","Carmel","IN","46032","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Indianapolis,%20Indiana"
"6. ","Mud Slingers Pool & Patio","(317) 643-5512","https://www.yellowpages.com/indianapolis-in/mip/mud-slingers-pool-patio-452237415?lid=195431175","Landscape Contractors,Landscaping & Lawn Services,Building Contractors-Commercial & Industrial","http://www.mudslingersinc.com/?utm_source=yp&utm_medium=referral&utm_campaign=PLL_Swimming20Pool20Dealers","","5575 Elmwood Ave Ste D","Indianapolis","IN","46203","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Indianapolis,%20Indiana"
"7. ","Indiana Tree Service","(317) 844-0500","https://www.yellowpages.com/indianapolis-in/mip/indiana-tree-service-6197806?lid=1001798161314","Landscape Contractors,Landscaping & Lawn Services,Tree Service","http://www.indianatreeservice.com","","8640 E Mcgregor Rd","Indianapolis","IN","46259","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Indianapolis,%20Indiana"
"8. ","Arbor Masters Tree & Landscaping","(317) 223-5878","https://www.yellowpages.com/indianapolis-in/mip/arbor-masters-tree-landscaping-464676055","Landscape Designers & Consultants,Landscaping & Lawn Services,Mulches","","","","Indianapolis","IN","46201","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Indianapolis,%20Indiana"
"9. ","Ken's Home Improvements","(317) 626-7342","https://www.yellowpages.com/indianapolis-in/mip/kens-home-improvements-475624586","Deck Builders,Windows,Siding Contractors","http://www.kenshomeimprovements.com","","5633 Haverford Ave","Indianapolis","IN","46220","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Indianapolis,%20Indiana"
"10. ","Natures Edge","(317) 298-2075","https://www.yellowpages.com/indianapolis-in/mip/natures-edge-22686355","Landscape Contractors,Landscape Designers & Consultants","","","4314 Guion Rd","Indianapolis","IN","46254","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Indianapolis,%20Indiana"
