"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","All Decked Out","(212) 807-7458","https://www.yellowpages.com/new-york-ny/mip/all-decked-out-7587608","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.alldeckedoutnyc.com","","200 W 16th St Apt 7J","New York","NY","10011","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Jersey%20City,%20New%20Jersey"
"2. ","New York Roofscapes, Inc","(212) 653-0662","https://www.yellowpages.com/new-york-ny/mip/new-york-roofscapes-inc-523018921","Landscape Designers & Consultants,Deck Builders,General Contractors","http://www.nyroofscapes.com","","1330 Avenue Of The Americas Fl 23","New York","NY","10019","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Jersey%20City,%20New%20Jersey"
"3. ","A - D & J Construction Group","(201) 759-5235","https://www.yellowpages.com/kearny-nj/mip/a-d-j-construction-group-22937415","Landscape Contractors,Home Improvements,Bathroom Remodeling","","","334 Belgrove Dr","Kearny","NJ","07032","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Jersey%20City,%20New%20Jersey"
"4. ","DS Home Improvement","(201) 443-2518","https://www.yellowpages.com/bayonne-nj/mip/ds-home-improvement-456194873","Landscape Contractors,Landscaping & Lawn Services,Deck Builders","http://www.lowes.com","","122 W 19th St","Bayonne","NJ","07002","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Jersey%20City,%20New%20Jersey"
"5. ","Garden Deck & Landscape","(212) 557-6600","https://www.yellowpages.com/new-york-ny/mip/garden-deck-landscape-2536554","Landscape Contractors,Landscaping Equipment & Supplies","","","125 Park Ave","New York","NY","10017","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Jersey%20City,%20New%20Jersey"
"6. ","Elevations Landscape Design","(718) 715-0755","https://www.yellowpages.com/brooklyn-ny/mip/elevations-landscape-design-525416323","Landscape Contractors,Landscape Designers & Consultants,Deck Builders","http://www.elevationsnyc.com","","65 N 15th St","Brooklyn","NY","11222","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Jersey%20City,%20New%20Jersey"
"7. ","Greer Services","(973) 840-7743","https://www.yellowpages.com/jersey-city-nj/mip/greer-services-550517215","Landscape Designers & Consultants","","","872 Bergen Ave","Jersey City","NJ","07306","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Jersey%20City,%20New%20Jersey"
"8. ","Gherardi Landscaping","(914) 588-6031","https://www.yellowpages.com/jersey-city-nj/mip/gherardi-landscaping-527677574","Landscape Contractors","https://www.gherardilandscaping.com","","75 Liberty Ave","Jersey City","NJ","07306","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Jersey%20City,%20New%20Jersey"
"9. ","The Plant House Inc","(201) 434-5444","https://www.yellowpages.com/jersey-city-nj/mip/the-plant-house-inc-523855765","Landscape Contractors,Landscape Designers & Consultants","","","248 Randolph Ave","Jersey City","NJ","07304","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Jersey%20City,%20New%20Jersey"
"10. ","Baldwin Solutions","(862) 325-5361","https://www.yellowpages.com/jersey-city-nj/mip/baldwin-solutions-550353912","Landscape Designers & Consultants","","","534 Tonnelle Ave #737","Jersey City","NJ","07307","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Jersey%20City,%20New%20Jersey"
"11. ","Tree Service Jersey City","(201) 204-9660","https://www.yellowpages.com/jersey-city-nj/mip/tree-service-jersey-city-22146961","Landscaping & Lawn Services,Tree Service,Stump Removal & Grinding","http://www.jcmcems.org","","207 Montgomery st","Jersey City","NJ","07302","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Jersey%20City,%20New%20Jersey"
"12. ","SK Landscaping","(201) 388-6979","https://www.yellowpages.com/jersey-city-nj/mip/sk-landscaping-508320883","Landscape Contractors,Landscaping & Lawn Services,Property Maintenance","","","","Jersey City","NJ","07307","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Jersey%20City,%20New%20Jersey"
