"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","AA Allied Construction","(213) 290-1965","https://www.yellowpages.com/los-angeles-ca/mip/aa-allied-construction-11792643?lid=1001936053456","Landscape Designers & Consultants,Deck Builders,Drywall Contractors","http://aaalliedconstr.com","","1212 S Longwood Ave","Los Angeles","CA","90019","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"2. ","Prime Builders","(323) 857-1558","https://www.yellowpages.com/los-angeles-ca/mip/prime-builders-2510167","Landscape Contractors,Deck Builders,Building Contractors","","","1532 S Burnside Ave","Los Angeles","CA","90019","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"3. ","NRG Solar","(818) 340-7027","https://www.yellowpages.com/los-angeles-ca/mip/nrg-solar-511870515","Landscape Contractors,Deck Builders,Solar Energy Equipment & Systems-Dealers","http://www.nrgcleanpower.com","","1813 E Washington Blvd","Los Angeles","CA","90021","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"4. ","Corner Construction","(310) 280-9600","https://www.yellowpages.com/los-angeles-ca/mip/corner-construction-453553269","Landscape Contractors,Deck Builders,Building Contractors","","","8800 Venice Blvd","Los Angeles","CA","90034","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"5. ","AZ Contracting","(858) 254-3512","https://www.yellowpages.com/los-angeles-ca/mip/az-contracting-4697672","Landscape Contractors,Deck Builders,General Contractors","http://www.a-zcontracting.com","","2100 Sawtelle Blvd Ste 103","Los Angeles","CA","90025","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"6. ","Building Consensus","(323) 965-7448","https://www.yellowpages.com/nationwide/mip/building-consensus-523864139","Landscape Contractors,Deck Builders,General Contractors","http://www.buildingconsensus.com","","","","","","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"7. ","Martins Construction","(818) 518-6002","https://www.yellowpages.com/los-angeles-ca/mip/martins-construction-139207?lid=1000924929608","Deck Builders,Garages-Building & Repairing,Residential Designers","http://www.martinsconstruction.net","","5365 San Vicente Blvd","Los Angeles","CA","90019","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"8. ","The Urban Lumberjack","(323) 664-9473","https://www.yellowpages.com/los-angeles-ca/mip/the-urban-lumberjack-451636917","Landscape Designers & Consultants,Landscaping & Lawn Services,Home Repair & Maintenance","http://theurbanlumberjack.com","","","Los Angeles","CA","90042","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"9. ","Garden Designs & Landscapes","(310) 295-9958","https://www.yellowpages.com/los-angeles-ca/mip/garden-designs-landscapes-450779547","Landscape Designers & Consultants","http://www.gardendesignandlandscapes.com","","3612 Barham Blvd","Los Angeles","CA","90068","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"10. ","Manzell Landscaping, Gardening & Hauling","(213) 926-1905","https://www.yellowpages.com/los-angeles-ca/mip/manzell-landscaping-gardening-hauling-451065594","Landscape Contractors,Landscaping & Lawn Services,Rubbish Removal","","","","Los Angeles","CA","90043","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"11. ","Gonzalez & Sons Gardening & Landscaping Service","(323) 428-2781","https://www.yellowpages.com/los-angeles-ca/mip/gonzalez-sons-gardening-landscaping-service-461706981?lid=1000063497564","Landscape Contractors,Landscaping & Lawn Services,Sprinklers-Garden & Lawn","","","1532 S Curson Ave","Los Angeles","CA","90019","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"12. ","Camarena Landscapes, Inc.","(888) 733-4381","https://www.yellowpages.com/los-angeles-ca/mip/camarena-landscapes-inc-475295238","Landscape Designers & Consultants,Landscaping & Lawn Services,Cement","http://www.camarenalandscapes.com","","601 S Los Angeles St","Los Angeles","CA","90014","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"13. ","TRANSAS LANDSCAPING","(323) 388-8645","https://www.yellowpages.com/los-angeles-ca/mip/transas-landscaping-257013","Landscaping & Lawn Services","","","1901 S Broadway","Los Angeles","CA","90007","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"14. ","L.A. Decks","(818) 288-6814","https://www.yellowpages.com/los-angeles-ca/mip/l-a-decks-21693145","Deck Builders,Deck Cleaning & Treatment,Fence Repair","http://la-decks.com","","5042 Wilshire Blvd","Los Angeles","CA","90036","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"15. ","GreenTree Landscaping, Inc.","(323) 468-9740","https://www.yellowpages.com/los-angeles-ca/mip/greentree-landscaping-inc-462022348","Landscape Contractors,Landscape Designers & Consultants","http://greentreela.com","","849 N Highland Ave","Los Angeles","CA","90038","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"16. ","CBL Landscapes","(310) 866-0980","https://www.yellowpages.com/los-angeles-ca/mip/cbl-landscapes-472805494","Landscape Designers & Consultants","http://www.cbl-landscapes.com","","901 S Sherbourne Dr.","Los Angeles","CA","90035","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"17. ","Salinas Landscaping & Tree Preservation Inc.","(310) 204-1730","https://www.yellowpages.com/los-angeles-ca/mip/salinas-landscaping-tree-preservation-inc-1304707?lid=1002009237148","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.salinaslandscape.com","","","Los Angeles","CA","90034","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"18. ","Chop Chop Landscaping in Los Angeles","(213) 401-2441","https://www.yellowpages.com/los-angeles-ca/mip/chop-chop-landscaping-in-los-angeles-531333822","Landscape Contractors,Garden Centers,Tree Service","","","1201 E 5th St","Los Angeles","CA","90013","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"19. ","Exotic Bonsai","(323) 660-4990","https://www.yellowpages.com/los-angeles-ca/mip/exotic-bonsai-31057171","Landscape Designers & Consultants","","","511 N Westmoreland Ave","Los Angeles","CA","90004","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"20. ","Rodas Janitorial & Landscaping","(310) 696-6362","https://www.yellowpages.com/los-angeles-ca/mip/rodas-janitorial-landscaping-456069353","Landscaping & Lawn Services,Carpet & Rug Cleaners","","","4060 S Normandie Ave","Los Angeles","CA","90037","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"21. ","Flores Landscaping","(323) 666-3510","https://www.yellowpages.com/los-angeles-ca/mip/flores-landscaping-472479618","Landscape Contractors,Landscaping & Lawn Services,Plants","http://floresartscape.com","","3959 Eagle Rock Blvd","Los Angeles","CA","90065","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"22. ","J K H International Inc","(310) 714-3914","https://www.yellowpages.com/los-angeles-ca/mip/j-k-h-international-inc-467453720","Landscape Contractors,Landscape Designers & Consultants","","","1936 W 93rd St","Los Angeles","CA","90047","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"23. ","Statice Landscape & Design Inc","(310) 836-3201","https://www.yellowpages.com/los-angeles-ca/mip/statice-landscape-design-inc-4732275","Landscape Contractors,Landscape Designers & Consultants","","","10511 Lauriston Ave","Los Angeles","CA","90064","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"24. ","Contreras Landscape","(310) 925-8225","https://www.yellowpages.com/los-angeles-ca/mip/contreras-landscape-250419","Landscape Contractors,Landscaping & Lawn Services,Lawn Maintenance","","","","Los Angeles","CA","90034","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"25. ","RainforestLA, Inc.","(323) 828-4178","https://www.yellowpages.com/los-angeles-ca/mip/rainforestla-inc-468881395","Landscaping & Lawn Services","http://www.rainforestla.com","","","Los Angeles","CA","90036","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"26. ","Green Waste Services","(213) 399-4934","https://www.yellowpages.com/los-angeles-ca/mip/green-waste-services-458499820","Landscaping & Lawn Services,Industrial Cleaning,Garbage & Rubbish Removal Contractors Equipment","","","","Los Angeles","CA","90039","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"27. ","Rototiller Guy","(213) 924-0590","https://www.yellowpages.com/los-angeles-ca/mip/rototiller-guy-459253633","Landscape Contractors","http://www.rototillerguy.com","","2100 Beverly Blvd","Los Angeles","CA","90057","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
"28. ","Jesus Acevedo Tree Servie & Landscaping","(323) 864-1469","https://www.yellowpages.com/los-angeles-ca/mip/jesus-acevedo-tree-servie-landscaping-521179008","Landscape Contractors","","","578 S Hillview Ave","Los Angeles","CA","90022","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Los%20Angeles,%20California"
