"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Visual Artist Lawn and Landscape Design","(502) 432-6817","https://www.yellowpages.com/louisville-ky/mip/visual-artist-lawn-and-landscape-design-561222833","Landscape Designers & Consultants,Deck Builders,Patio Builders","https://www.visualartistlawnandlandscape.com","","10611 Seatonville Rd","Louisville","KY","40291","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Louisville,%20Kentucky"
"2. ","AA Roofing LLC","(812) 671-9980","https://www.yellowpages.com/clarksville-in/mip/aa-roofing-llc-562287615?lid=1002076920057","Landscape Contractors,Deck Builders,Roofing Contractors","http://www.aaroofingin.com","","825 Eastern Blvd Ste 4","Clarksville","IN","47129","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Louisville,%20Kentucky"
"3. ","C & C Home Improvements","(502) 974-1258","https://www.yellowpages.com/nationwide/mip/c-c-home-improvements-22905137","Landscape Contractors,Landscaping & Lawn Services,Deck Builders","","","","","","","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Louisville,%20Kentucky"
"4. ","D M Bagshaw Co Inc","(812) 945-3900","https://www.yellowpages.com/new-albany-in/mip/d-m-bagshaw-co-inc-2824590","Landscape Designers & Consultants,Deck Builders,Fence-Sales, Service & Contractors","","","85 Galt St","New Albany","IN","47150","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Louisville,%20Kentucky"
"5. ","Oneil Fence Deck & Landscaping","(812) 207-6694","https://www.yellowpages.com/sellersburg-in/mip/oneil-fence-deck-landscaping-530183242","Landscape Designers & Consultants,Deck Builders,Professional Organizations","","","9402 Highway 60","Sellersburg","IN","47172","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Louisville,%20Kentucky"
"6. ","P & D Landscape & Deck Lighting","(502) 445-9405","https://www.yellowpages.com/louisville-ky/mip/p-d-landscape-deck-lighting-8121541","Landscaping Equipment & Supplies","","","128 Don Allen Rd","Louisville","KY","40207","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Louisville,%20Kentucky"
"7. ","Phelps Tree Service","(502) 239-1323","https://www.yellowpages.com/louisville-ky/mip/phelps-tree-service-977169?lid=1002103332470","Landscape Contractors,Landscaping & Lawn Services,Construction & Building Equipment","","","6806 Old Briscoe Ln","Louisville","KY","40228","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Louisville,%20Kentucky"
"8. ","Martin's Landscape and Nursery","(502) 802-4775","https://www.yellowpages.com/louisville-ky/mip/martins-landscape-and-nursery-502971356","Landscaping & Lawn Services","","","6813 Outer Loop","Louisville","KY","40228","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Louisville,%20Kentucky"
"9. ","Dave's Tree Surgeons","(502) 907-1309","https://www.yellowpages.com/louisville-ky/mip/daves-tree-surgeons-21096765?lid=1002053530989","Landscape Contractors,Landscaping & Lawn Services,Stump Removal & Grinding","http://www.davestreesurgeons.com","","908 S English Station Rd","Louisville","KY","40299","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Louisville,%20Kentucky"
"10. ","Landscape Lighting Company","(502) 245-0720","https://www.yellowpages.com/louisville-ky/mip/landscape-lighting-company-11505882?lid=1000226868325","Landscape Designers & Consultants,Landscaping & Lawn Services,Lawn & Garden Equipment & Supplies","http://www.landscapelighting.net","","13050 Middletown Industrial Blvd","Louisville","KY","40223","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Louisville,%20Kentucky"
"11. ","Tony's Lawn Service LLC","(502) 449-2768","https://www.yellowpages.com/louisville-ky/mip/tonys-lawn-service-llc-21784964?lid=1001564449066","Landscape Contractors,Landscaping & Lawn Services,Snow Removal Service","http://www.tonyslawnservice1.com","","","Louisville","KY","40216","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Louisville,%20Kentucky"
"12. ","Korfhage Clinton Landscaping Design & Maintenance","(502) 694-4200","https://www.yellowpages.com/louisville-ky/mip/korfhage-clinton-landscaping-design-maintenance-8081845?lid=1002064020978","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.korfhage.com","","1823 Heaton Rd","Louisville","KY","40216","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Louisville,%20Kentucky"
"13. ","Wayne's Lawn Services","(502) 242-7360","https://www.yellowpages.com/louisville-ky/mip/waynes-lawn-services-3089579?lid=1001850017618","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.wayneslawnservice.com","","3930 Bardstown Rd","Louisville","KY","40218","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Louisville,%20Kentucky"
