"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Germantown Landscape Co","(901) 755-0073","https://www.yellowpages.com/nationwide/mip/germantown-landscape-co-10628623","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","https://www.germantownlandscape.net","","","","","","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"2. ","Tri State Construction & Landscaping","(901) 921-5759","https://www.yellowpages.com/nationwide/mip/tri-state-construction-landscaping-560122686","Landscape Designers & Consultants,Deck Builders,Home Builders","","","","","","","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"3. ","Steve Jones Tree Service","(901) 266-1000","https://www.yellowpages.com/memphis-tn/mip/steve-jones-tree-service-6305361","Landscape Contractors,Landscape Designers & Consultants,Tree Service","http://sjonestreeservice.com","","3503 Christy Ln","Memphis","TN","38135","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"4. ","CALES LAWN SERVICE","(901) 412-1856","https://www.yellowpages.com/memphis-tn/mip/cales-lawn-service-468695587","Landscaping & Lawn Services,Lawn Maintenance","http://www.caleslawn.com","","","Memphis","TN","38133","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"5. ","Roper Lawn and Landscape","(901) 290-8165","https://www.yellowpages.com/memphis-tn/mip/roper-lawn-and-landscape-495863966","Landscaping & Lawn Services,Lawn Maintenance","http://www.roperlawncarememphis.com","","","Memphis","TN","38016","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"6. ","Robinson Tree Service Inc","(901) 363-3539","https://www.yellowpages.com/memphis-tn/mip/robinson-tree-service-inc-465193831?lid=1000875172872","Landscape Contractors,Landscaping & Lawn Services,Tree Service Equipment & Supplies","http://www.robinsontree.net","","2807 Farrisview Rd","Memphis","TN","38118","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"7. ","Hubble's Lawn & Landscape","(901) 461-3444","https://www.yellowpages.com/memphis-tn/mip/hubbles-lawn-landscape-462467539","Landscape Contractors,Landscaping & Lawn Services,Sod & Sodding Service","http://lisalawnandlandscape.com","","4921 Hickory Hill Rd","Memphis","TN","38141","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"8. ","Memphis Eco-Gardening, LLC","(901) 604-7855","https://www.yellowpages.com/memphis-tn/mip/memphis-eco-gardening-llc-461922680","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.memphisecogardening.com","","","Memphis","TN","38111","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"9. ","Herbi-Systems, Inc.","(901) 382-5296","https://www.yellowpages.com/memphis-tn/mip/herbi-systems-inc-503132662?lid=1001431389206","Landscaping & Lawn Services,Lawn Maintenance,Weed Control Service","http://herbi-systems.com","","2240 Covington Pike","Memphis","TN","38128","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"10. ","Mow & Blow Lawn Service LLC","(901) 410-3629","https://www.yellowpages.com/memphis-tn/mip/mow-blow-lawn-service-llc-481039877","Landscaping & Lawn Services","http://www.mowandblowlawnservice.com","","2959 Elmore Park Rd Ste 2","Memphis","TN","38134","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"11. ","Fleetwood Landscaping And Design","(901) 259-5342","https://www.yellowpages.com/memphis-tn/mip/fleetwood-landscaping-and-design-1643872","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","","","3406 Democrat Rd","Memphis","TN","38118","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"12. ","Daily Distributors On Demand Landscaping","(901) 230-9591","https://www.yellowpages.com/memphis-tn/mip/daily-distributors-on-demand-landscaping-532913424","Landscape Contractors,Landscaping & Lawn Services,Lawn Maintenance","","","4151 Pine Hollow Dr Apt 10","Memphis","TN","38116","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"13. ","Covenant Landscape Services","(901) 384-8074","https://www.yellowpages.com/memphis-tn/mip/covenant-landscape-services-522095693","Landscape Contractors,Landscape Designers & Consultants,Irrigation Systems & Equipment","","","5804 Ferguson Rd","Memphis","TN","38134","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"14. ","Hufnagl Landscape","(901) 383-2187","https://www.yellowpages.com/memphis-tn/mip/hufnagl-landscape-26037467","Landscape Contractors","","","1086 Harpeth Dr","Memphis","TN","38134","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"15. ","Victory Lawn Care Services","(901) 870-3720","https://www.yellowpages.com/memphis-tn/mip/victory-lawn-care-services-533647437","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","https://www.facebook.com/victorylawns","","","Memphis","TN","38119","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"16. ","DCH Landscaping","(731) 571-7309","https://www.yellowpages.com/memphis-tn/mip/dch-landscaping-468105884","Landscaping & Lawn Services,Lawn Maintenance","","","","Memphis","TN","38133","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"17. ","McCullough GreenScaping","(901) 826-1214","https://www.yellowpages.com/memphis-tn/mip/mccullough-greenscaping-475611555","Landscaping & Lawn Services,Tree Service","","","","Memphis","TN","38133","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"18. ","Groundmasters LLC","(901) 399-8433","https://www.yellowpages.com/memphis-tn/mip/groundmasters-llc-541629690?lid=1001854243181","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://groundmastersmemphis.com/","","3778 Contractors Pl","Memphis","TN","38115","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"19. ","Outdoor Lighting Concepts LLC","(901) 767-6773","https://www.yellowpages.com/memphis-tn/mip/outdoor-lighting-concepts-llc-21861979?lid=423809409","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.wedolandscapelighting.com","","1316 Kirby Pkwy","Memphis","TN","38120","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"20. ","Pettit's Lawnscapes LLC","(901) 458-8830","https://www.yellowpages.com/memphis-tn/mip/pettits-lawnscapes-llc-21189728?lid=1001332985903","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.pettitslawnscapes.com","","165 Scott St","Memphis","TN","38112","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"21. ","Gurley's Azalea Garden","(901) 794-7370","https://www.yellowpages.com/memphis-tn/mip/gurleys-azalea-garden-8277641?lid=1000642879848","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.gurleysmemphis.com","","5567 Winchester RD","Memphis","TN","38115","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"22. ","Hays Landscape Andy Architect","(901) 800-2434","https://www.yellowpages.com/memphis-tn/mip/hays-landscape-andy-architect-544564549","Landscape Contractors,Landscape Designers & Consultants,Landscaping Equipment & Supplies","","","22 N Front St","Memphis","TN","38103","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"23. ","Ritchie Smith Associates","(901) 525-1198","https://www.yellowpages.com/memphis-tn/mip/ritchie-smith-associates-5385671","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://rsaladesign.com","","65 Union Ave","Memphis","TN","38103","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"24. ","Jackson, John","(901) 526-8386","https://www.yellowpages.com/memphis-tn/mip/jackson-john-464546697","Landscape Designers & Consultants","","","43 Union Ave","Memphis","TN","38103","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"25. ","Memphis Mowing & Landscaping","(901) 849-5296","https://www.yellowpages.com/memphis-tn/mip/memphis-mowing-landscaping-475041568","Landscaping & Lawn Services,Gutters & Downspouts Cleaning,Lawn Mowers","","","100 Peabody Pl Ste 150","Memphis","TN","38103","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"26. ","Deberry Maintenance Company","(901) 281-1773","https://www.yellowpages.com/memphis-tn/mip/deberry-maintenance-company-497801930","Landscape Contractors,Landscaping & Lawn Services,Tree Service","","","863 E Eh Crump Blvd","Memphis","TN","38126","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"27. ","H and H Management Group","(901) 347-3799","https://www.yellowpages.com/memphis-tn/mip/h-and-h-management-group-510320469","Landscape Contractors,Landscape Designers & Consultants","","","1191 Vance Ave","Memphis","TN","38104","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"28. ","New Millennium","(901) 249-3175","https://www.yellowpages.com/memphis-tn/mip/new-millennium-542357421","Landscaping & Lawn Services","","","1400 Madison Ave","Memphis","TN","38104","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"29. ","Heavenly Cleaning","(901) 587-6200","https://www.yellowpages.com/memphis-tn/mip/heavenly-cleaning-562353222","Landscape Contractors,Cleaning Contractors","","","369 E McLemore Ave Apt #2","Memphis","TN","38106","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
"30. ","Yardsmith Landscaping","(901) 736-6030","https://www.yellowpages.com/memphis-tn/mip/yardsmith-landscaping-512785145","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","","","1104 Louisville ave","Memphis","TN","38107","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Memphis,%20Tennessee"
