"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Landscape by Mel","(480) 593-8685","https://www.yellowpages.com/nationwide/mip/landscape-by-mel-567497919","Landscape Designers & Consultants,Deck Builders,Patio Builders","https://www.landscapebymelllc.com","","","","","","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Mesa,%20Arizona"
"2. ","Miramar Pavers N Turf","(602) 369-4877","https://www.yellowpages.com/scottsdale-az/mip/miramar-pavers-n-turf-537050239","Landscape Contractors,Deck Builders,Paving Contractors","http://miramarpaversnturf.com","","2210 N 87th Way","Scottsdale","AZ","85257","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Mesa,%20Arizona"
"3. ","San Tan Landscape Management","(480) 753-0712","https://www.yellowpages.com/gilbert-az/mip/san-tan-landscape-management-3770629","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://santanlandscape.com","","16413 S Greenfield Rd","Gilbert","AZ","85295","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Mesa,%20Arizona"
"4. ","Edgewater Design Company, LLC","(480) 389-7114","https://www.yellowpages.com/gilbert-az/mip/edgewater-design-company-llc-540902380","Landscape Contractors,Landscape Designers & Consultants,Deck Builders","http://edgewaterdesign.co","","4960 S Gilbert Rd Suite 187","Gilbert","AZ","85249","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Mesa,%20Arizona"
"5. ","Arizona Pergola Company","(480) 568-5870","https://www.yellowpages.com/chandler-az/mip/arizona-pergola-company-531020700","Landscape Designers & Consultants,Deck Builders,Patio Builders","http://www.arizonapergola.com","","4960 S Gilbert Rd Ste 1-121","Chandler","AZ","85249","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Mesa,%20Arizona"
"6. ","Arizona Custom Pools Inc.","(602) 430-0715","https://www.yellowpages.com/mesa-az/mip/arizona-custom-pools-inc-481197083","Deck Builders,Swimming Pool Dealers,Spas & Hot Tubs-Repair & Service","","","2753 E Broadway Rd # 101-214","Mesa","AZ","85204","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Mesa,%20Arizona"
"7. ","3's AMIGOS LANDSCAPING","(480) 206-6396","https://www.yellowpages.com/mesa-az/mip/3s-amigos-landscaping-465428989","Landscaping & Lawn Services,Plants,Tree Service","","","","Mesa","AZ","85204","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Mesa,%20Arizona"
"8. ","Top Leaf Tree Service","(480) 999-5335","https://www.yellowpages.com/mesa-az/mip/top-leaf-tree-service-503885389","Landscape Designers & Consultants,Tree Service,Stump Removal & Grinding","http://topleafaz.com","","3740 E Southern Ave Ste 210","Mesa","AZ","85206","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Mesa,%20Arizona"
"9. ","BC Reliable Landscaping LLC","(623) 418-2663","https://www.yellowpages.com/mesa-az/mip/bc-reliable-landscaping-llc-480111028","Landscape Contractors,Landscaping & Lawn Services,Tree Service","http://www.bcreliablelandscaping.vpweb.com","","","Mesa","AZ","85201","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Mesa,%20Arizona"
"10. ","Bartlett Tree Experts","(623) 223-8076","https://www.yellowpages.com/mesa-az/mip/bartlett-tree-experts-468352340?lid=1002078522389","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","https://www.bartlett.com/locations/Phoenix-AZ.cfm?utm_source=yp&utm_medium=cpc&utm_campaign=IYP_MLP","","2614 W Baseline Rd","Mesa","AZ","85202","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Mesa,%20Arizona"
