"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Sanders Construction","(209) 524-4871","https://www.yellowpages.com/modesto-ca/mip/sanders-construction-18187819","Landscape Contractors,Deck Builders,General Contractors","","","1031 15th St Ste 3","Modesto","CA","95354","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"2. ","Central Valley Trees and Landscape Services Inc.","(209) 537-5701","https://www.yellowpages.com/modesto-ca/mip/central-valley-trees-and-landscape-services-inc-467985783","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","","","PO Box 576703","Modesto","CA","95357","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"3. ","clark's tree works","(209) 570-8515","https://www.yellowpages.com/modesto-ca/mip/clarks-tree-works-521755846?lid=1002085126970","Landscape Contractors,Landscaping & Lawn Services,Street Cleaning","http://www.clarkstreeworks.com","","3321 Lord Ave","Modesto","CA","95350","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"4. ","Knock-Out Landscape Services","(209) 416-8747","https://www.yellowpages.com/modesto-ca/mip/knock-out-landscape-services-467075541","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","","","","Modesto","CA","95355","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"5. ","T & G Tree Service","(209) 681-0059","https://www.yellowpages.com/modesto-ca/mip/t-g-tree-service-11516705?lid=1002100284676","Landscape Contractors,Landscaping & Lawn Services,Arborists","","","1208 E Morris Ave","Modesto","CA","95350","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"6. ","Dynamite Exterminators Inc.","(209) 353-4682","https://www.yellowpages.com/modesto-ca/mip/dynamite-exterminators-inc-11975641?lid=1001797484535","Landscaping & Lawn Services,Pest Control Equipment & Supplies,Pest Control Services","http://www.dynamiteexterminators.com","","","Modesto","CA","95354","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"7. ","Lawn Job Landscaping","(209) 480-7929","https://www.yellowpages.com/modesto-ca/mip/lawn-job-landscaping-461711340","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","","","","Modesto","CA","95352","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"8. ","K & B Lawn Service","(209) 872-8931","https://www.yellowpages.com/modesto-ca/mip/k-b-lawn-service-480706081","Landscaping & Lawn Services,Sod & Sodding Service,Tree Service","","","1922 Chelsea Ave","Modesto","CA","95350","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"9. ","Clark Pest Control","(209) 207-0050","https://www.yellowpages.com/modesto-ca/mip/clark-pest-control-10751486?lid=1002091491017","Landscaping & Lawn Services,Bird Barriers, Repellents & Controls,Weed Control Service","http://www.clarkpest.com","","480 E Service Rd","Modesto","CA","95358","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"10. ","Las Palmas Landscape & Maintenance","(209) 548-0252","https://www.yellowpages.com/modesto-ca/mip/las-palmas-landscape-maintenance-9415898","Landscape Contractors,Landscape Designers & Consultants","","","2412 Roble Ave","Modesto","CA","95354","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"11. ","Terry Davis Construction","(209) 968-5964","https://www.yellowpages.com/modesto-ca/mip/terry-davis-construction-30324380","Deck Builders,Patio Builders,Siding Contractors","","","2417 Langford Ave","Modesto","CA","95350","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"12. ","Clover's Landscape","(209) 985-5885","https://www.yellowpages.com/modesto-ca/mip/clovers-landscape-548162423","Landscape Designers & Consultants,Gardeners","","","2401 E Orangeburg Ave","Modesto","CA","95355","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"13. ","Roy's Gardening Services","(209) 604-5645","https://www.yellowpages.com/modesto-ca/mip/roys-gardening-services-542338171","Landscaping & Lawn Services","","","Po Box 579935","Modesto","CA","95357","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"14. ","Grover Landscape Services Inc.","(209) 390-0893","https://www.yellowpages.com/modesto-ca/mip/grover-landscape-services-inc-461729030?lid=175332393","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.groverlandscapeservices.com","","6224 Stoddard Rd","Modesto","CA","95356","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"15. ","Del Rio Landscaping","(209) 551-9881","https://www.yellowpages.com/modesto-ca/mip/del-rio-landscaping-461698296","Landscape Contractors,Landscaping & Lawn Services,Gardeners","http://www.delriolandscaping.com","","4718 McGee Ave","Modesto","CA","95357","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"16. ","SC Construction","(209) 324-5062","https://www.yellowpages.com/modesto-ca/mip/sc-construction-478494581?lid=1001949330693","Deck Builders,Home Repair & Maintenance,General Contractors","http://scconstruction.biz/","","1518 9th St","Modesto","CA","95354","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"17. ","Lawn Enforcement Modesto","(209) 622-1446","https://www.yellowpages.com/modesto-ca/mip/lawn-enforcement-modesto-523272609","Landscape Contractors,Landscaping & Lawn Services,Gardeners","http://lawnenforcementmodesto.com","","115 Magnolia Ave","Modesto","CA","95354","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"18. ","Andrew's Landscaping","(209) 577-6692","https://www.yellowpages.com/modesto-ca/mip/andrews-landscaping-466207799","Landscape Contractors","","","1231 8th St","Modesto","CA","95354","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"19. ","Babylon Gardens Landscaping","(209) 248-7621","https://www.yellowpages.com/modesto-ca/mip/babylon-gardens-landscaping-544298508","Landscape Contractors,Landscape Designers & Consultants","","","140 Mchenry Ave Ste 9","Modesto","CA","95354","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"20. ","Baudelio's Landscaping","(209) 622-6339","https://www.yellowpages.com/modesto-ca/mip/baudelios-landscaping-16618128","Landscaping & Lawn Services,Lawn Maintenance","","","719 3rd St","Modesto","CA","95351","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"21. ","Santiago's Landscaping Service","(209) 312-9162","https://www.yellowpages.com/modesto-ca/mip/santiagos-landscaping-service-496349829","Landscape Contractors,Landscape Designers & Consultants","","","117 Bodem St","Modesto","CA","95350","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"22. ","Fabian's Landscaping","(209) 402-3897","https://www.yellowpages.com/modesto-ca/mip/fabians-landscaping-14590395","Landscape Contractors,Landscape Designers & Consultants","","","1021 Mono Dr","Modesto","CA","95354","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"23. ","Smith Ron L Landscp Architect","(209) 524-7949","https://www.yellowpages.com/modesto-ca/mip/smith-ron-l-landscp-architect-458893161","Landscape Contractors","","","312 N Santa Ana Ave","Modesto","CA","95354","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"24. ","Oscar’s landscaping & maintenance","(209) 543-4384","https://www.yellowpages.com/modesto-ca/mip/oscars-landscaping-maintenance-541832995","Landscaping & Lawn Services","","","520 Leon Ave","Modesto","CA","95351","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"25. ","Organic Landscape Maintenance","(209) 576-8697","https://www.yellowpages.com/modesto-ca/mip/organic-landscape-maintenance-30559909","Landscape Contractors,Landscape Designers & Consultants","","","522 Hunter Ave","Modesto","CA","95350","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"26. ","Vito's Landscaping Service","(209) 554-7372","https://www.yellowpages.com/modesto-ca/mip/vitos-landscaping-service-460097007","Landscape Contractors","","","401 Mancini Way","Modesto","CA","95351","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"27. ","HZ Landscaping","(209) 512-1878","https://www.yellowpages.com/modesto-ca/mip/hz-landscaping-566956963","Landscape Contractors","https://hzlandscapingca.com","","448 Coffee Rd","Modesto","CA","95355","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"28. ","Valleycrest Ind","(209) 575-9680","https://www.yellowpages.com/modesto-ca/mip/valleycrest-ind-13546815","Landscape Contractors,Landscape Designers & Consultants","","","920 Sunset Ave","Modesto","CA","95351","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
"29. ","Apple Tree Lawncare","(209) 416-1858","https://www.yellowpages.com/modesto-ca/mip/apple-tree-lawncare-461594148","Landscaping & Lawn Services,Sprinklers-Garden & Lawn,Tree Service","http://www.appletreelawncare.webs.com","","912 El Vecino Ave Apt 2","Modesto","CA","95350","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Modesto,%20California"
