"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","J & B Construction","(973) 483-1840","https://www.yellowpages.com/newark-nj/mip/j-b-construction-532743712","Landscape Contractors,Deck Builders,General Contractors","http://www.jandbconstruction.com","","296 N 7th St","Newark","NJ","07107","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Newark,%20New%20Jersey"
"2. ","A - D & J Construction Group","(201) 759-5235","https://www.yellowpages.com/kearny-nj/mip/a-d-j-construction-group-22937415","Landscape Contractors,Home Improvements,Bathroom Remodeling","","","334 Belgrove Dr","Kearny","NJ","07032","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Newark,%20New%20Jersey"
"3. ","American Home Remodeling","(973) 374-6700","https://www.yellowpages.com/irvington-nj/mip/american-home-remodeling-4990342","Landscape Contractors,Deck Builders,Deck Cleaning & Treatment","http://www.americanhomeremodeling.com","","89-91 Coit St","Irvington","NJ","07111","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Newark,%20New%20Jersey"
"4. ","Maldonado Group","(973) 759-1222","https://www.yellowpages.com/belleville-nj/mip/maldonado-group-10852145","Landscape Contractors,Deck Builders,General Contractors","","","130 Heckel St","Belleville","NJ","07109","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Newark,%20New%20Jersey"
"5. ","JJ Mena Brothers","(973) 580-4682","https://www.yellowpages.com/bloomfield-nj/mip/jj-mena-brothers-481133068","Landscape Contractors,Landscaping & Lawn Services,Deck Builders","http://jjmenabrothers.com","","50 Ella St","Bloomfield","NJ","07003","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Newark,%20New%20Jersey"
"6. ","DS Home Improvement","(201) 443-2518","https://www.yellowpages.com/bayonne-nj/mip/ds-home-improvement-456194873","Landscape Contractors,Landscaping & Lawn Services,Deck Builders","http://www.lowes.com","","122 W 19th St","Bayonne","NJ","07002","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Newark,%20New%20Jersey"
"7. ","All Decked Out","(212) 807-7458","https://www.yellowpages.com/new-york-ny/mip/all-decked-out-7587608","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.alldeckedoutnyc.com","","200 W 16th St Apt 7J","New York","NY","10011","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Newark,%20New%20Jersey"
"8. ","New York Roofscapes, Inc","(212) 653-0662","https://www.yellowpages.com/new-york-ny/mip/new-york-roofscapes-inc-523018921","Landscape Designers & Consultants,Deck Builders,General Contractors","http://www.nyroofscapes.com","","1330 Avenue Of The Americas Fl 23","New York","NY","10019","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Newark,%20New%20Jersey"
"9. ","we-r-outdoors.com","(718) 791-5235","https://www.yellowpages.com/brooklyn-ny/mip/we-r-outdoors-com-474991299","Landscape Contractors,Landscape Designers & Consultants,Deck Builders","","","100 Marine ave apt 4f","brooklyn","NY","11209","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Newark,%20New%20Jersey"
"10. ","Elevations Landscape Design","(718) 715-0755","https://www.yellowpages.com/brooklyn-ny/mip/elevations-landscape-design-525416323","Landscape Contractors,Landscape Designers & Consultants,Deck Builders","http://www.elevationsnyc.com","","65 N 15th St","Brooklyn","NY","11222","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Newark,%20New%20Jersey"
