"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Clark Building Group, Inc.","(757) 855-3450","https://www.yellowpages.com/norfolk-va/mip/clark-building-group-inc-525940902","Landscape Designers & Consultants,Deck Builders,Home Builders","","","824 W 21st St","Norfolk","VA","23517","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Norfolk,%20Virginia"
"2. ","Affordable Decks","(757) 549-4744","https://www.yellowpages.com/chesapeake-va/mip/affordable-decks-26632892","Landscape Contractors,Deck Builders,Home Improvements","http://www.affordabledecks.net","","936 Butts Station Rd","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Norfolk,%20Virginia"
"3. ","Solid Structures Decks & Fences","(757) 462-9185","https://www.yellowpages.com/virginia-beach-va/mip/solid-structures-decks-fences-520095415","Landscape Contractors,Deck Builders,General Contractors","http://bestbigdeck.com","","4220 Smokey Lake Dr","Virginia Beach","VA","23462","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Norfolk,%20Virginia"
"4. ","Terry-Peterson Residential Co","(757) 460-1770","https://www.yellowpages.com/virginia-beach-va/mip/terry-peterson-residential-co-2972859","Landscape Contractors,Deck Builders,General Contractors","http://www.terrypeterson.com","","4640 Shore Dr","Virginia Beach","VA","23455","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Norfolk,%20Virginia"
"5. ","Dr. Dan's Landscaping & Architectural Design","(757) 496-8100","https://www.yellowpages.com/virginia-beach-va/mip/dr-dans-landscaping-architectural-design-522830630","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.drdanslandscaping.com","","2524 Squadron Ct","Virginia Beach","VA","23453","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Norfolk,%20Virginia"
"6. ","Virginia Landscapes","(757) 826-8779","https://www.yellowpages.com/hampton-va/mip/virginia-landscapes-467701968","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","https://www.virginialandscapes.com","","701 Industry Dr","Hampton","VA","23661","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Norfolk,%20Virginia"
"7. ","Cascade Contracting Inc","(757) 368-0299","https://www.yellowpages.com/virginia-beach-va/mip/cascade-contracting-inc-1438269","Landscape Contractors,Deck Builders,General Contractors","http://cascadecontracting.com","","582 Lynnhaven Pkwy Ste 104","Virginia Beach","VA","23452","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Norfolk,%20Virginia"
"8. ","The Remodeling Company","(757) 867-6800","https://www.yellowpages.com/hampton-va/mip/the-remodeling-company-536945510","Landscape Contractors,Landscaping & Lawn Services,Deck Builders","http://www.theroofingcompany.com","","2106 Aluminum Ave","Hampton","VA","23661","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Norfolk,%20Virginia"
"9. ","Clark General Contracting Inc","(757) 722-4908","https://www.yellowpages.com/hampton-va/mip/clark-general-contracting-inc-458942154","Landscape Contractors,Deck Builders,Home Improvements","","","1001 Thomas St","Hampton","VA","23669","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Norfolk,%20Virginia"
"10. ","Five Star Deck & Fence","(757) 462-0086","https://www.yellowpages.com/norfolk-va/mip/five-star-deck-fence-459631729","Deck Builders,Patio Builders","","","1437 Virgilina Ave","Norfolk","VA","23503","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Norfolk,%20Virginia"
