"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Suma Landscaping","(510) 261-3585","https://www.yellowpages.com/oakland-ca/mip/suma-landscaping-13273210","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.sumalandscaping.com","","2857 Chapman St","Oakland","CA","94601","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oakland,%20California"
"2. ","Desmidt Builders","(510) 465-5004","https://www.yellowpages.com/oakland-ca/mip/desmidt-builders-12613020","Landscape Contractors,Deck Builders,Building Contractors","http://www.desmidtdesignbuild.com","","2311 Magnolia St","Oakland","CA","94607","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oakland,%20California"
"3. ","Superior Waterproofing","(510) 763-0131","https://www.yellowpages.com/oakland-ca/mip/superior-waterproofing-5792283","Landscape Contractors,Deck Builders,General Contractors","","","815 E 22nd St","Oakland","CA","94606","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oakland,%20California"
"4. ","Brothers landscaping","(510) 472-2436","https://www.yellowpages.com/nationwide/mip/brothers-landscaping-22996319","Landscape Contractors,Deck Builders,Sprinklers-Garden & Lawn, Installation & Service","","","","","","","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oakland,%20California"
"5. ","Live Oak Landscape","(510) 527-9445","https://www.yellowpages.com/berkeley-ca/mip/live-oak-landscape-9000200","Landscape Contractors,Landscaping & Lawn Services,Deck Builders","http://www.liveoaklandscaping.com","","1335 Peralta Ave","Berkeley","CA","94702","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oakland,%20California"
"6. ","McCutcheon Construction Inc","(510) 558-8030","https://www.yellowpages.com/berkeley-ca/mip/mccutcheon-construction-inc-675923","Landscape Contractors,Deck Builders,General Contractors","http://www.mcbuild.com","","1280 6th St","Berkeley","CA","94710","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oakland,%20California"
"7. ","Dannys Construction Co","(415) 772-1991","https://www.yellowpages.com/san-francisco-ca/mip/dannys-construction-co-459022196","Landscape Contractors,Deck Builders,Construction Management","http://www.dannysconstruction.com","","1 Avenue Of The Palms Ave Ste 156","San Francisco","CA","94130","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oakland,%20California"
"8. ","Columbine Landscaping","(510) 482-9059","https://www.yellowpages.com/oakland-ca/mip/columbine-landscaping-10067534?lid=1001784175373","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.columbinelandscaping.com","","","Oakland","CA","94619","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oakland,%20California"
"9. ","Tran Gardening Service","(510) 532-0160","https://www.yellowpages.com/oakland-ca/mip/tran-gardening-service-482070405","Landscape Designers & Consultants","","","1556 E 31st St","Oakland","CA","94602","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oakland,%20California"
"10. ","Dr D Landscaping & Gardening","(510) 534-4173","https://www.yellowpages.com/oakland-ca/mip/dr-d-landscaping-gardening-465192586","Landscape Contractors","","","PO Box 27167","Oakland","CA","94602","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oakland,%20California"
