"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Lowerison Construction Inc","(760) 415-0319","https://www.yellowpages.com/vista-ca/mip/lowerison-construction-inc-532019958","Landscape Contractors,Deck Builders,General Contractors","","","119 Alta Mesa Dr","Vista","CA","92084","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"2. ","Hybrid Turf Corp California","(760) 407-5368","https://www.yellowpages.com/oceanside-ca/mip/hybrid-turf-corp-california-503159594","Landscape Contractors,Landscape Designers & Consultants,Golf Courses","http://www.hybrid-turf.com","","3420 Spindrift Ct","Oceanside","CA","92058","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"3. ","Cesareo Tree Service","(760) 283-7019","https://www.yellowpages.com/oceanside-ca/mip/cesareo-tree-service-506631825?lid=1002004592002","Landscape Contractors,Landscaping & Lawn Services,Arborists","","","763 Rivertree Dr","Oceanside","CA","92058","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"4. ","Shepherd Of The Valley Lutheran Church","(760) 433-9250","https://www.yellowpages.com/oceanside-ca/mip/shepherd-of-the-valley-lutheran-church-5297506","Landscape Contractors,Landscaping & Lawn Services","http://www.svlchurch.org","","4510 N River Rd","Oceanside","CA","92057","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"5. ","Green Go Landscape Co","(760) 445-1668","https://www.yellowpages.com/oceanside-ca/mip/green-go-landscape-co-459766071","Landscape Contractors","http://green-golandscape.com","","4625 Rocksprings Pl","Oceanside","CA","92056","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"6. ","Natures Art","(760) 722-4009","https://www.yellowpages.com/oceanside-ca/mip/natures-art-463692092","Landscape Designers & Consultants","","","603 Seagaze Dr","Oceanside","CA","92054","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"7. ","Kimo's Landscaping","(760) 729-5466","https://www.yellowpages.com/oceanside-ca/mip/kimos-landscaping-544899128","Landscape Contractors,Landscape Designers & Consultants,Landscaping Equipment & Supplies","","","815 Mission Ave","Oceanside","CA","92054","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"8. ","Olivio Landscape & Irrigation Co.","(442) 999-7348","https://www.yellowpages.com/oceanside-ca/mip/olivio-landscape-irrigation-co-507510323","Landscape Contractors","","","1429 Dubuque St","Oceanside","CA","92058","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"9. ","Earthco","(760) 967-0939","https://www.yellowpages.com/oceanside-ca/mip/earthco-4460452","Landscape Designers & Consultants","http://www.earthcompany.org/home","","1527 Mission Ave","Oceanside","CA","92058","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"10. ","Cruz Landscaping Maintenance","(760) 845-0204","https://www.yellowpages.com/oceanside-ca/mip/cruz-landscaping-maintenance-30417115","Landscape Contractors,Landscape Designers & Consultants","","","401 Holly St","Oceanside","CA","92058","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"11. ","Mobile Power Wash","(760) 849-1629","https://www.yellowpages.com/oceanside-ca/mip/mobile-power-wash-468821867","Deck Cleaning & Treatment","","","1120 Tait St","Oceanside","CA","92054","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"12. ","Carrillo's Quality Landscaping","(760) 622-2323","https://www.yellowpages.com/oceanside-ca/mip/carrillos-quality-landscaping-20819076","Landscape Contractors,Landscape Designers & Consultants","","","1606 Walton St","Oceanside","CA","92058","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"13. ","steve matsuda enterprise","(760) 807-7808","https://www.yellowpages.com/oceanside-ca/mip/steve-matsuda-enterprise-475526095","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","","","2604 Lomita St","Oceanside","CA","92054","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"14. ","S R Clarke Landscape Architecture & Development","(760) 716-3100","https://www.yellowpages.com/oceanside-ca/mip/s-r-clarke-landscape-architecture-development-498079875","Landscape Contractors,Landscape Designers & Consultants","","","1417 San Simeon St","Oceanside","CA","92058","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"15. ","Hill's Landscapes Inc","(760) 722-9306","https://www.yellowpages.com/oceanside-ca/mip/hills-landscapes-inc-22961969","Landscape Contractors","","","1709 Serrano St","Oceanside","CA","92054","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"16. ","Scott's Interior Landscaping","(760) 453-2152","https://www.yellowpages.com/oceanside-ca/mip/scotts-interior-landscaping-456919861","Landscape Contractors","http://www.scottsinteriorlandscaping.com","","1716 S Horne St","Oceanside","CA","92054","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"17. ","Michael Walter Construction Company","(760) 908-8925","https://www.yellowpages.com/oceanside-ca/mip/michael-walter-construction-company-533802387","Deck Builders,Altering & Remodeling Contractors,General Contractors","","","1943 S Tremont St","Oceanside","CA","92054","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"18. ","Artistic Maintenance Inc","(760) 757-6096","https://www.yellowpages.com/oceanside-ca/mip/artistic-maintenance-inc-4336744","Landscape Designers & Consultants","https://www.artisticmaintenance.com","","2505 Industry St","Oceanside","CA","92054","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"19. ","Breceda Landscape","(858) 349-6557","https://www.yellowpages.com/oceanside-ca/mip/breceda-landscape-468820453","Landscape Contractors","http://brecedalandscape.com","","2260 Fire Mountain Dr","Oceanside","CA","92054","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"20. ","D's Landscaping Inc","(858) 688-6891","https://www.yellowpages.com/oceanside-ca/mip/ds-landscaping-inc-30887396","Landscape Contractors","http://buenavistalandscaping.net","","2116 Broadway","Oceanside","CA","92054","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"21. ","Nilson Winter Construction Co","(760) 803-9018","https://www.yellowpages.com/oceanside-ca/mip/nilson-winter-construction-co-30520939","Deck Builders,Patio Builders","http://nilsonwinter.com","","418 Mainsail Rd","Oceanside","CA","92054","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"22. ","Hidemi Landscaping Inc","(760) 430-4300","https://www.yellowpages.com/oceanside-ca/mip/hidemi-landscaping-inc-467076435","Landscaping & Lawn Services","","","2171 S El Camino Real Ste 209a","Oceanside","CA","92054","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"23. ","Genesis Paving & Landscaping","(877) 773-7351","https://www.yellowpages.com/oceanside-ca/mip/genesis-paving-landscaping-23191115","Landscape Contractors,Landscaping & Lawn Services,Paving Contractors","http://www.genesisstoneworks.com","","2131 S El Camino Real Ste 104","Oceanside","CA","92054","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"24. ","Allen Landscape Inc","(760) 757-7818","https://www.yellowpages.com/oceanside-ca/mip/allen-landscape-inc-995730","Landscape Contractors,Landscape Designers & Consultants,Tree Service","http://www.allenlandscapes.com","","2141 S El Camino Real # G-H","Oceanside","CA","92054","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"25. ","GENESIS LANDCARE & IRRIGATION","(858) 877-8347","https://www.yellowpages.com/oceanside-ca/mip/genesis-landcare-irrigation-478437653","Landscape Contractors,Landscaping & Lawn Services,Nursery & Growers Equipment & Supplies","http://www.genesislandcare.com","","127 Flamingo Dr","Oceanside","CA","92054","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"26. ","Reyes Landscaping","(760) 967-0512","https://www.yellowpages.com/oceanside-ca/mip/reyes-landscaping-1683529","Landscaping & Lawn Services","","","158 Heritage St","Oceanside","CA","92058","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"27. ","Hauling & Landscaping","(760) 547-7997","https://www.yellowpages.com/oceanside-ca/mip/hauling-landscaping-480870946","Landscape Contractors,Landscape Designers & Consultants,Tree Service","","","204 S El Camino Real","Oceanside","CA","92058","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"28. ","PB's Greenthumb","(858) 829-0074","https://www.yellowpages.com/oceanside-ca/mip/pbs-greenthumb-564756992","Landscape Designers & Consultants","http://sandiegohardscapingcompany.com","","3719 Rosemary Way","Oceanside","CA","92057","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"29. ","Ca Landscaping","(442) 266-2356","https://www.yellowpages.com/oceanside-ca/mip/ca-landscaping-550087816","Landscape Contractors,Landscaping & Lawn Services,Lawn Maintenance","","","574 Lemonwood Ct","Oceanside","CA","92058","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
"30. ","California Landscape","(760) 754-9828","https://www.yellowpages.com/oceanside-ca/mip/california-landscape-30915577","Landscape Designers & Consultants","","","4435 Old River St","Oceanside","CA","92057","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Oceanside,%20California"
