"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Straight Line Landscape","(623) 582-1300","https://www.yellowpages.com/phoenix-az/mip/straight-line-landscape-558921421","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","https://straightlinelandscape.com/?utm_source=directories&utm_medium=referral&utm_campaign=local+search","","1915 W Adobe Dr Ste D","Phoenix","AZ","85027","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"2. ","Platinum Landscapes","(623) 230-3197","https://www.yellowpages.com/phoenix-az/mip/platinum-landscapes-544557424","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","","","42104 N Venture Dr","Phoenix","AZ","85086","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"3. ","Amazon Valley Landscape & Maintenance","(602) 687-5845","https://www.yellowpages.com/phoenix-az/mip/amazon-valley-landscape-maintenance-525085539","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","","","2 S 35th Ave Unit 6357","Phoenix","AZ","85005","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"4. ","Shaw Remodeling & Home Improv","(602) 910-1781","https://www.yellowpages.com/phoenix-az/mip/shaw-remodeling-home-improv-22485314","Landscape Contractors,Deck Builders,General Contractors","http://www.shawremodeling.com","","9101 W Mackenzie Dr","Phoenix","AZ","85037","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"5. ","Miramar Pavers N Turf","(602) 369-4877","https://www.yellowpages.com/scottsdale-az/mip/miramar-pavers-n-turf-537050239","Landscape Contractors,Deck Builders,Paving Contractors","http://miramarpaversnturf.com","","2210 N 87th Way","Scottsdale","AZ","85257","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"6. ","Goodman's Landscaping and Maintenance","(602) 861-1144","https://www.yellowpages.com/phoenix-az/mip/goodmans-landscaping-and-maintenance-8956518","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.goodmanslandscape.com/?num=4803510841","","2210 W Desert Cove Ave","Phoenix","AZ","85029","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"7. ","Patio Pros Landscape & Design","(480) 719-0577","https://www.yellowpages.com/phoenix-az/mip/patio-pros-landscape-design-533792407","Landscape Contractors,Landscape Designers & Consultants","http://www.patioprosaz.com","","Po box 22074","phoenix","AZ","85028","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"8. ","O&S Building and Remodeling","(480) 420-4439","https://www.yellowpages.com/phoenix-az/mip/o-s-building-and-remodeling-462501786","Deck Builders,Altering & Remodeling Contractors,Home Repair & Maintenance","http://www.oandsremodeling.com","","8327 N 29th Ave","Phoenix","AZ","85051","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"9. ","All Valley Landscaping","(602) 938-8100","https://www.yellowpages.com/phoenix-az/mip/all-valley-landscaping-470151856","Landscape Contractors,Landscape Designers & Consultants,Landscaping Equipment & Supplies","","","20235 N Cave Creek Rd Ste 104-301","Phoenix","AZ","85024","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"10. ","Cheno's Lawn Service LLC","(623) 986-2843","https://www.yellowpages.com/phoenix-az/mip/chenos-lawn-service-llc-462571786","Landscaping & Lawn Services","","","","Phoenix","AZ","85033","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"11. ","Sergio's Landscaping & Lawn Service","(602) 410-9627","https://www.yellowpages.com/phoenix-az/mip/sergios-landscaping-lawn-service-506115354?lid=1000968465031","Landscape Designers & Consultants,Landscaping & Lawn Services,Lawn Maintenance","","","14022 N 38th Dr","Phoenix","AZ","85053","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"12. ","Divine Design Landscaping","(602) 769-4564","https://www.yellowpages.com/phoenix-az/mip/divine-design-landscaping-470853851","Landscaping & Lawn Services,Weed Control Service,Gardeners","http://www.divinedesignlandscaping.webs.com","","4535 N 17th Ave","Phoenix","AZ","85015","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"13. ","Hawkeye Landscaping, Inc.","(623) 582-1122","https://www.yellowpages.com/phoenix-az/mip/hawkeye-landscaping-inc-4093513","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.hawkeyecustomlandscaping.com","","24401 N. 15th ave","Phoenix","AZ","85085","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"14. ","Phoenix Landscapers","(480) 428-3592","https://www.yellowpages.com/phoenix-az/mip/phoenix-landscapers-464653395","Landscape Designers & Consultants,Landscaping & Lawn Services,Tree Service","","","4601 E Willow Ave","Phoenix","AZ","85032","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"15. ","Manning Sprinkler Systems","(602) 842-4315","https://www.yellowpages.com/phoenix-az/mip/manning-sprinkler-systems-7557093?lid=1001788336178","Landscaping & Lawn Services,Building Contractors,Lighting Contractors","http://manningsprinklers.com","","2051 W Greenbriar Dr","Phoenix","AZ","85023","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"16. ","Ground Solutions","(480) 285-8557","https://www.yellowpages.com/phoenix-az/mip/ground-solutions-525367889","Landscaping & Lawn Services,Tree Service,Weed Control Service","http://www.groundsolutionswest.com","","","Phoenix","AZ","85050","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"17. ","Victor's Landscaping Inc.","(602) 439-5192","https://www.yellowpages.com/phoenix-az/mip/victors-landscaping-inc-22230170","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.victorslandscaping.com","","","Phoenix","AZ","85071","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"18. ","Brandon's Landscaping","(602) 475-1013","https://www.yellowpages.com/phoenix-az/mip/brandons-landscaping-523821617?lid=1001407331055","Landscape Contractors","","","2101 E Harvard St","Phoenix","AZ","85006","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"19. ","L & R Management Landscaping Company","(602) 881-7723","https://www.yellowpages.com/phoenix-az/mip/l-r-management-landscaping-company-487824450?lid=1001410870169","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","","","","Phoenix","AZ","85008","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"20. ","Global Syn-Turf, Inc.","(510) 200-9941","https://www.yellowpages.com/phoenix-az/mip/global-syn-turf-inc-504022089","Landscaping & Lawn Services,Landscaping Equipment & Supplies,Lawn & Garden Equipment & Supplies","http://www.globalsynturf.com","","1250 E Hadley St","Phoenix","AZ","85034","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"21. ","Phoenix Landscaping & Pool Services","(602) 429-9379","https://www.yellowpages.com/phoenix-az/mip/phoenix-landscaping-pool-services-10268640","Landscape Designers & Consultants,Landscaping & Lawn Services,Sprinklers-Garden & Lawn, Installation & Service","http://landscapingphoenixaz.net","","2942 N 24th St Ste 114","Phoenix","AZ","85016","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"22. ","AZ Miller landscape & Design LLC","(480) 255-3310","https://www.yellowpages.com/phoenix-az/mip/az-miller-landscape-design-llc-530405287","Landscape Contractors,Landscape Designers & Consultants","","","4442 E Hubbell St","Phoenix","AZ","85008","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"23. ","Creative Tree Care, LLC","(602) 538-3808","https://www.yellowpages.com/phoenix-az/mip/creative-tree-care-llc-453928414","Landscape Contractors,Landscaping & Lawn Services,Tree Service","http://www.creativetreecare.com","","8155 N Black Canyon Hwy","Phoenix","AZ","85069","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"24. ","Alejandro's Landscaping","(602) 763-6152","https://www.yellowpages.com/phoenix-az/mip/alejandros-landscaping-495520680","Landscape Contractors,Landscaping & Lawn Services,Lawn Maintenance","","","1822 N 74th Ave","Phoenix","AZ","85035","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"25. ","Sprinkler  World Of Ariz Inc","(602) 992-1882","https://www.yellowpages.com/phoenix-az/mip/sprinkler-world-of-ariz-inc-482732436","Landscape Contractors,Farm Equipment,Plumbing Fixtures, Parts & Supplies","http://www.sprinklerworld.com","","4727 E Bell Rd","Phoenix","AZ","85032","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"26. ","Sunshine Irrigation & Light","(623) 214-7848","https://www.yellowpages.com/phoenix-az/mip/sunshine-irrigation-light-478387310","Landscape Contractors","","","6358 W Louise Dr","Phoenix","AZ","85027","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"27. ","Landmasters Landscaping LLC","(602) 516-2970","https://www.yellowpages.com/phoenix-az/mip/landmasters-landscaping-llc-467148281","Landscape Contractors,Landscaping & Lawn Services,Tree Service","http://landmastersaz.com","","","Phoenix","AZ","85021","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"28. ","Stellar Landscaping Designs & Services LLC","(602) 451-3950","https://www.yellowpages.com/phoenix-az/mip/stellar-landscaping-designs-services-llc-505759681","Landscape Contractors","","","","Phoenix","AZ","85013","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"29. ","Green Thumb Landscaping & Pools, LLC","(623) 680-9372","https://www.yellowpages.com/phoenix-az/mip/green-thumb-landscaping-pools-llc-536585082","Landscaping & Lawn Services,Lawn Maintenance,Tree Service","http://www.greenlandscapingandpool.com","","","Phoenix","AZ","85012","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
"30. ","Mow & Clip Lawn Care","(602) 341-5296","https://www.yellowpages.com/phoenix-az/mip/mow-clip-lawn-care-468295745","Landscaping & Lawn Services,Tree Service,Power Washing","http://www.mowandcliplawncare.com","","","Phoenix","AZ","85020","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Phoenix,%20Arizona"
