"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Apogee Landscapes","(503) 312-1811","https://www.yellowpages.com/portland-or/mip/apogee-landscapes-489904466","Landscape Designers & Consultants,Deck Builders,Gardeners","http://www.apogeelandscapes.com","","3706 NE Holman St","Portland","OR","97211","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Portland,%20Oregon"
"2. ","Tellurian Gardens","(503) 839-3069","https://www.yellowpages.com/portland-or/mip/tellurian-gardens-459862384","Landscape Contractors,Landscape Designers & Consultants,Deck Builders","","","2221 SE Ochoco St","Portland","OR","97222","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Portland,%20Oregon"
"3. ","Kaya General Contractors","(503) 283-8161","https://www.yellowpages.com/portland-or/mip/kaya-general-contractors-17092120","Landscape Contractors,Deck Builders,General Contractors","http://www.kayaconstruction.com","","5736 N Greeley Ave","Portland","OR","97217","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Portland,%20Oregon"
"4. ","Legel Home Improvement","(503) 705-8708","https://www.yellowpages.com/portland-or/mip/legel-home-improvement-480862843","Landscape Contractors,Deck Builders,Home Improvements","http://www.hoffardhome.com","","4534 SE 17th Ave # 109","Portland","OR","97202","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Portland,%20Oregon"
"5. ","Cascade Contracting","(503) 244-7294","https://www.yellowpages.com/portland-or/mip/cascade-contracting-469568447","Landscape Contractors,Landscaping & Lawn Services,Deck Builders","http://www.cascadecontracting.com","","4611 SW Beaverton Hillsdale Hwy","Portland","OR","97221","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Portland,%20Oregon"
"6. ","Bamboo Grove","(503) 891-1615","https://www.yellowpages.com/portland-or/mip/bamboo-grove-521619952","Landscape Designers & Consultants,Deck Builders,Fence-Sales, Service & Contractors","http://www.bamboogrovellc.com","","5007 N Princeton St","Portland","OR","97203","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Portland,%20Oregon"
"7. ","Walsh Custom Landscape","(503) 793-7658","https://www.yellowpages.com/nationwide/mip/walsh-custom-landscape-548194422","Landscape Designers & Consultants,Deck Builders,Patio Builders","http://walshcustomlandscape.com","","","","","","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Portland,%20Oregon"
"8. ","Green Mountain Landscape","(503) 583-7753","https://www.yellowpages.com/nationwide/mip/green-mountain-landscape-556171507","Landscape Designers & Consultants,Deck Builders,Patio Builders","https://greenmountainlandscapingllc.com","","","","","","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Portland,%20Oregon"
"9. ","Augie Construction","(503) 285-3115","https://www.yellowpages.com/nationwide/mip/augie-construction-24814533","Landscape Contractors,Landscaping & Lawn Services,Deck Builders","","","","","","","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Portland,%20Oregon"
"10. ","Exstream Landscaping","(503) 654-1953","https://www.yellowpages.com/happy-valley-or/mip/exstream-landscaping-9003648","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.exstreamlandscaping.com","","11030 SE 92nd Ct","Happy Valley","OR","97086","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Portland,%20Oregon"
"11. ","Creekscape Design","(503) 572-5589","https://www.yellowpages.com/beaverton-or/mip/creekscape-design-514322280","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://creekscapedesign.com","","4305 SW 130th Ave","Beaverton","OR","97008","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Portland,%20Oregon"
"12. ","Valiant Construction Inc","(503) 515-9613","https://www.yellowpages.com/beaverton-or/mip/valiant-construction-inc-462203378","Landscape Contractors,Deck Builders,General Contractors","http://www.valiantconstruction.com","","6107 SW Murray Blvd","Beaverton","OR","97008","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Portland,%20Oregon"
"13. ","Oregon Designscapes LLC","(503) 303-8383","https://www.yellowpages.com/beaverton-or/mip/oregon-designscapes-llc-462582460","Landscape Contractors,Deck Builders,Stamped & Decorative Concrete","","","1500 NW Bethany Blvd Ste 200","Beaverton","OR","97006","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Portland,%20Oregon"
"14. ","Exstream Landscaping","(503) 974-7675","https://www.yellowpages.com/oregon-city-or/mip/exstream-landscaping-536392643?lid=1002042337570","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.exstreamlandscaping.com","","16621 S Harding Rd","Oregon City","OR","97045","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Portland,%20Oregon"
"15. ","Artistic Landscapes","(503) 892-6315","https://www.yellowpages.com/portland-or/mip/artistic-landscapes-24735911","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.artisticlandscapespdx.com","","","Portland","OR","97223","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Portland,%20Oregon"
"16. ","Roy Boys","(503) 713-5275","https://www.yellowpages.com/portland-or/mip/roy-boys-461923169?lid=1001856504634","Landscaping & Lawn Services,Outdoor Power Equipment-Sales & Repair,Hardware Stores","http://royboysinc.com","","10270 SW Hall Blvd","Portland","OR","97223","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Portland,%20Oregon"
