"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Bacon Construction Co Inc","(401) 431-1200","https://www.yellowpages.com/rumford-ri/mip/bacon-construction-co-inc-9054283","Landscape Contractors,Deck Builders,General Contractors","http://www.baconconstruction.com","","241 Narragansett Park Dr","Rumford","RI","02916","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"2. ","J & J Remodeling","(401) 601-7798","https://www.yellowpages.com/providence-ri/mip/j-j-remodeling-474531296","Landscaping & Lawn Services,Flooring Contractors,Painting Contractors","","","11 S Angell St # 382","Providence","RI","02906","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"3. ","L A Torrado Architects","(401) 781-0633","https://www.yellowpages.com/providence-ri/mip/l-a-torrado-architects-4203693","Landscape Designers & Consultants","http://www.torrado-architects.com","","35 Greenwich St","Providence","RI","02907","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"4. ","B&R Landscaping","(401) 261-9537","https://www.yellowpages.com/providence-ri/mip/b-r-landscaping-21461196","Landscape Contractors,Landscaping & Lawn Services,Landscaping Equipment & Supplies","http://bandrlandscaping.net","","5 Bradley St","Providence","RI","02908","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"5. ","Friedrich St Florian Archt","(401) 831-8400","https://www.yellowpages.com/providence-ri/mip/friedrich-st-florian-archt-3935047","Landscape Designers & Consultants","http://www.fstflorian.com","","146 Westminster St","Providence","RI","02903","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"6. ","Marano J & Sons Const Co","(401) 521-7033","https://www.yellowpages.com/providence-ri/mip/marano-j-sons-const-co-8128144","Landscape Contractors,Landscape Designers & Consultants,Concrete Contractors","","","","Providence","RI","02901","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"7. ","D & G","(401) 521-2915","https://www.yellowpages.com/providence-ri/mip/d-g-8940221","Landscape Contractors","","","100 Fountain St","Providence","RI","02903","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"8. ","Americo Mallozzi & Associates","(401) 421-7426","https://www.yellowpages.com/providence-ri/mip/americo-mallozzi-associates-336223","Landscape Designers & Consultants","","","220 Weybosset St","Providence","RI","02903","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"9. ","Barbara Sokoloff","(401) 455-0550","https://www.yellowpages.com/providence-ri/mip/barbara-sokoloff-5940903","Landscape Designers & Consultants","http://sokoplan.com","","101 Dyer St # A","Providence","RI","02903","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"10. ","Urban Design Group Inc","(401) 258-1142","https://www.yellowpages.com/providence-ri/mip/urban-design-group-inc-505908364","Landscape Designers & Consultants","http://urbandesigngroup.com","","PO Box 6902","Providence","RI","02940","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"11. ","Haynes De Boer Associates","(401) 274-1555","https://www.yellowpages.com/providence-ri/mip/haynes-de-boer-associates-7523983","Landscape Designers & Consultants","","","1 Park Row Ste 2B","Providence","RI","02903","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"12. ","Ricci Greene Assoc","(401) 865-6669","https://www.yellowpages.com/providence-ri/mip/ricci-greene-assoc-3395340","Landscape Designers & Consultants","http://riccigreene.com","","111 Chestnut St","Providence","RI","02903","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"13. ","DBVW Architects, Inc.","(401) 831-1240","https://www.yellowpages.com/providence-ri/mip/dbvw-architects-inc-542975291","Landscape Designers & Consultants","http://dbvw.com","","111 Chestnut St Ste 2","Providence","RI","02903","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"14. ","Brewster Thornton Group Archs","(401) 861-1600","https://www.yellowpages.com/providence-ri/mip/brewster-thornton-group-archs-3305605","Landscape Designers & Consultants","http://www.brewsterthornton.com","","150 Chestnut St Ste 4","Providence","RI","02903","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"15. ","The Robinson Green Beretta Corp","(401) 272-1730","https://www.yellowpages.com/providence-ri/mip/the-robinson-green-beretta-corp-7513802","Landscape Designers & Consultants,Civil Engineers","http://www.rgb.net","","50 Holden St Ste 300","Providence","RI","02908","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"16. ","State of Rhode Island","(401) 574-8934","https://www.yellowpages.com/providence-ri/mip/state-of-rhode-island-537913089","Landscape Designers & Consultants","http://www.crb.ri.gov","","1 Capitol Hl","Providence","RI","02908","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"17. ","Peter Van Erp Architect","(401) 351-4881","https://www.yellowpages.com/providence-ri/mip/peter-van-erp-architect-23456013","Landscape Designers & Consultants","http://vanerp.net","","148 Congdon St","Providence","RI","02906","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"18. ","Noor Ink","(401) 272-7818","https://www.yellowpages.com/providence-ri/mip/noor-ink-468064803","Landscape Designers & Consultants","https://kitearchitects.com","","1 Central St","Providence","RI","02907","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"19. ","Lerner Ladds & Barte","(401) 421-7715","https://www.yellowpages.com/providence-ri/mip/lerner-ladds-barte-22232129","Landscape Designers & Consultants","http://www.llbarchitects.com","","236 Hope St","Providence","RI","02906","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"20. ","Yoder + Tidwell LTD","(401) 751-2460","https://www.yellowpages.com/providence-ri/mip/yoder-tidwell-ltd-468546173","Landscape Designers & Consultants","http://www.yodertidwell.com","","333 Smith St","Providence","RI","02908","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"21. ","Stephen Turner Inc","(401) 273-1935","https://www.yellowpages.com/providence-ri/mip/stephen-turner-inc-465659214","Landscape Designers & Consultants","http://www.buildingcommissioning.com","","319 Hope St","Providence","RI","02906","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"22. ","Bay & Bay Architects Inc","(401) 274-2221","https://www.yellowpages.com/providence-ri/mip/bay-bay-architects-inc-497589564","Landscape Designers & Consultants","","","44 Alumni Ave","Providence","RI","02906","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"23. ","Steel Yard","(401) 273-7101","https://www.yellowpages.com/providence-ri/mip/steel-yard-489726418","Landscape Contractors","http://www.thesteelyard.org","","27 Sims Ave","Providence","RI","02909","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"24. ","Truth Box Inc","(401) 453-1300","https://www.yellowpages.com/providence-ri/mip/truth-box-inc-15092088","Landscape Designers & Consultants","http://www.truthbox.com","","460 Harris Ave Unit 104","Providence","RI","02909","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"25. ","David Presbrey Architects","(401) 751-4460","https://www.yellowpages.com/providence-ri/mip/david-presbrey-architects-491965905","Landscape Designers & Consultants","http://presbreyarchitects.com","","810 Eddy St","Providence","RI","02905","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"26. ","Rhode Island Landscaping and Design","(401) 496-9486","https://www.yellowpages.com/providence-ri/mip/rhode-island-landscaping-and-design-553514897","Landscape Contractors","https://landscapingofrhodeisland.com","","118 Willow Street","Providence","RI","02909","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"27. ","Glen Fontecchio Architects","(401) 861-0809","https://www.yellowpages.com/providence-ri/mip/glen-fontecchio-architects-494264626","Landscape Designers & Consultants","https://www.gfontecchio.com/contact","","19 Luzon Ave","Providence","RI","02906","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"28. ","Edward Wojcik Architects","(401) 861-7139","https://www.yellowpages.com/providence-ri/mip/edward-wojcik-architects-8731690","Landscape Designers & Consultants","https://www.edwojcikarchitect.com/contact","","1 Richmond Sq Ste 100K","Providence","RI","02906","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
