"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Reliable Lawns Inc","(775) 843-8045","https://www.yellowpages.com/reno-nv/mip/reliable-lawns-inc-21961208?lid=1000439660307","Landscape Contractors,Landscaping & Lawn Services,Irrigation Systems & Equipment","http://www.reliablelawn.com","","","Reno","NV","89511","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Reno,%20Nevada"
"2. ","Gail Willey Landscaping Inc","(775) 853-8733","https://www.yellowpages.com/reno-nv/mip/gail-willey-landscaping-inc-21962398","Landscape Contractors","http://www.gailwilley.com","","9825 S Virginia St","Reno","NV","89511","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Reno,%20Nevada"
"3. ","Little City Landscape","(775) 825-2300","https://www.yellowpages.com/reno-nv/mip/little-city-landscape-8039863","Landscape Contractors,Landscape Designers & Consultants","http://www.littlecitylandscapereno.com","","450 Linden St","Reno","NV","89502","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Reno,%20Nevada"
"4. ","Dr. Sprinkler Repair (Washoe County)","(775) 387-0519","https://www.yellowpages.com/reno-nv/mip/dr-sprinkler-repair-washoe-county-497650707","Landscaping & Lawn Services,Sprinklers-Garden & Lawn,Plumbers","http://sprinklernv.com","","","Reno","NV","89509","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Reno,%20Nevada"
"5. ","J & R Lawn Care Maintenance","(775) 673-3146","https://www.yellowpages.com/reno-nv/mip/j-r-lawn-care-maintenance-467180846","Landscaping & Lawn Services,Property Maintenance,Lawn Maintenance","http://jandrlawn.com","","","Reno","NV","89502","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Reno,%20Nevada"
"6. ","Fortino's Lanscaping","(775) 544-5972","https://www.yellowpages.com/reno-nv/mip/fortinos-lanscaping-21961128","Landscaping & Lawn Services","","","1901 Wedekind Rd Apt A","Reno","NV","89512","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Reno,%20Nevada"
"7. ","Mayan Lawn Llc","(775) 823-9394","https://www.yellowpages.com/reno-nv/mip/mayan-lawn-llc-18601142?lid=1001813214178","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://mayanlawn.com","","1190 Bible Way","Reno","NV","89502","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Reno,%20Nevada"
"8. ","Moana Nursery","(775) 825-0600","https://www.yellowpages.com/reno-nv/mip/moana-nursery-461717413?lid=1001383769328","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.moananursery.com","","1190 W Moana Ln","Reno","NV","89509","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Reno,%20Nevada"
"9. ","battle born lawn & landscaping","(775) 400-9866","https://www.yellowpages.com/reno-nv/mip/battle-born-lawn-landscaping-516672615","Landscaping & Lawn Services,Snow Removal Service,Lawn Maintenance","","","10064 Hornblende St","Reno","NV","89506","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Reno,%20Nevada"
"10. ","Hain Enterprises","(775) 851-4246","https://www.yellowpages.com/reno-nv/mip/hain-enterprises-463375435","Landscape Contractors","http://www.hainenterprises.com","","1545 Geiger Grade Rd","Reno","NV","89521","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Reno,%20Nevada"
