"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","CXI Constructions Contractors","(714) 453-4981","https://www.yellowpages.com/riverside-ca/mip/cxi-constructions-contractors-472905652?lid=299403784","Landscape Contractors,Landscaping & Lawn Services,Deck Builders","http://www.cxiconstruction.com/ConstructionExperts/index.asp","","1061 Center St","Riverside","CA","92507","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Riverside,%20California"
"2. ","K Hovnanian Co","(951) 734-8080","https://www.yellowpages.com/corona-ca/mip/k-hovnanian-co-8369311","Landscape Contractors,Deck Builders,General Contractors","http://khov.com","","1867 California Ave","Corona","CA","92881","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Riverside,%20California"
"3. ","Hw General Contracting","(951) 204-1725","https://www.yellowpages.com/corona-ca/mip/hw-general-contracting-466026586","Landscape Contractors,Deck Builders,General Contractors","http://hwgeneralcontracting.com","","1677 Fairway Dr","Corona","CA","92883","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Riverside,%20California"
"4. ","Bomel Construction","(909) 923-3319","https://www.yellowpages.com/ontario-ca/mip/bomel-construction-15058723","Landscape Contractors,Deck Builders,General Contractors","http://www.bomelconstruction.com","","939 E Francis St","Ontario","CA","91761","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Riverside,%20California"
"5. ","Ray's Lawn Tree & Landscaping Services","(951) 741-2859","https://www.yellowpages.com/riverside-ca/mip/rays-lawn-tree-landscaping-services-469739175","Landscape Contractors,Landscaping & Lawn Services,Tree Service","","","3523 Ottawa Ave","Riverside","CA","92507","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Riverside,%20California"
"6. ","Greenview Landscape","(951) 359-5516","https://www.yellowpages.com/riverside-ca/mip/greenview-landscape-481120473","Landscape Contractors,Landscaping & Lawn Services","http://www.greenviewlm.com","","","Riverside","CA","92504","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Riverside,%20California"
"7. ","Moon Valley Nurseries","(951) 215-5931","https://www.yellowpages.com/riverside-ca/mip/moon-valley-nurseries-495981111","Landscape Designers & Consultants,Nurseries-Plants & Trees,Plants","http://moonvalleynurseryca.com","","9501 Lincoln Ave","Riverside","CA","92503","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Riverside,%20California"
"8. ","Ray's Landscaping","(951) 741-2859","https://www.yellowpages.com/riverside-ca/mip/rays-landscaping-514407107?lid=1001230287699","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","","","2809 Pleasant St","Riverside","CA","92507","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Riverside,%20California"
"9. ","Alternative Edge Custom Curb Design","(951) 850-0036","https://www.yellowpages.com/riverside-ca/mip/alternative-edge-custom-curb-design-12543686","Landscape Contractors","http://www.alt-edge.com","","","Riverside","CA","92506","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Riverside,%20California"
"10. ","Tomas Landscaping & Tree Service","(951) 335-1891","https://www.yellowpages.com/riverside-ca/mip/tomas-landscaping-tree-service-478361449","Landscape Contractors","","","3555 Comer Ave","Riverside","CA","92507","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Riverside,%20California"
"11. ","Green Valley Landscaping & Yard Maintenance","(951) 536-2614","https://www.yellowpages.com/riverside-ca/mip/green-valley-landscaping-yard-maintenance-470139792?lid=1001328382632","Landscape Contractors,Landscaping & Lawn Services,Sprinklers-Garden & Lawn","","","7900 Limonite Ave","Riverside","CA","92509","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Riverside,%20California"
