"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Landscape Solutions","(585) 342-5296","https://www.yellowpages.com/rochester-ny/mip/landscape-solutions-10932815","Landscape Contractors,Landscape Designers & Consultants,Deck Builders","http://ablandscapesolutions.com","","619 Eaton Rd","Rochester","NY","14617","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Rochester,%20New%20York"
"2. ","Warner Building","(585) 232-1760","https://www.yellowpages.com/rochester-ny/mip/warner-building-462911255","Landscape Contractors,Landscaping & Lawn Services,Deck Builders","http://www.markiventerprises.com","","301 Exchange Blvd","Rochester","NY","14608","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Rochester,%20New%20York"
"3. ","S and D Landscape","(585) 474-3137","https://www.yellowpages.com/nationwide/mip/s-and-d-landscape-560638058","Deck Builders,Patio Covers & Enclosures,Patio Builders","","","","","","","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Rochester,%20New%20York"
"4. ","Quality Block Constr","(585) 425-0950","https://www.yellowpages.com/fairport-ny/mip/quality-block-constr-458628334","Landscape Contractors,Landscape Designers & Consultants,Deck Builders","","","144 Fairport Village Lndg","Fairport","NY","14450","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Rochester,%20New%20York"
"5. ","Irondequoit Lawn & Landscape","(585) 467-6960","https://www.yellowpages.com/rochester-ny/mip/irondequoit-lawn-landscape-5566632","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","https://www.irondequoitlandscape.com","","258 Saint Joseph St","Rochester","NY","14617","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Rochester,%20New%20York"
"6. ","EnviroTech","(585) 438-3684","https://www.yellowpages.com/rochester-ny/mip/envirotech-16074037","Landscaping & Lawn Services,Lead Paint Detection & Removal,Asbestos Detection & Removal Services","http://www.naturallythebest.com","","","Rochester","NY","14602","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Rochester,%20New%20York"
"7. ","Sod Buster Landscape Service","(585) 544-3384","https://www.yellowpages.com/rochester-ny/mip/sod-buster-landscape-service-15928063","Landscape Contractors,Landscape Designers & Consultants,Nurseries-Plants & Trees","https://www.sodbustersllc.com","","1926 Titus Ave","Rochester","NY","14622","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Rochester,%20New%20York"
"8. ","First Step Lawn","(585) 359-3002","https://www.yellowpages.com/rochester-ny/mip/first-step-lawn-14245","Landscape Contractors,Landscaping & Lawn Services,Fertilizers","http://www.firststeplawn.com","","","Rochester","NY","14623","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Rochester,%20New%20York"
"9. ","Holt Landscaping & Snowplowing","(585) 748-5951","https://www.yellowpages.com/rochester-ny/mip/holt-landscaping-snowplowing-507492913","Landscaping & Lawn Services,Snow Removal Service,Lawn Maintenance","http://holtlandscapingand.wix.com/holtbiz","","288 Troup St","Rochester","NY","14608","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Rochester,%20New%20York"
"10. ","First Choice Property Solutions Inc","(585) 546-4663","https://www.yellowpages.com/rochester-ny/mip/first-choice-property-solutions-inc-461125558","Landscaping & Lawn Services,Property Maintenance,Snow Removal Service","","","700 Hollenbeck St","Rochester","NY","14621","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Rochester,%20New%20York"
