"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Crystal Springs Landscape Co.","(408) 560-2433","https://www.yellowpages.com/san-jose-ca/mip/crystal-springs-landscape-co-2766888?lid=171749739","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.csland.net","","426 Perrymont Ave","San Jose","CA","95125","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=San%20Jose,%20California"
"2. ","Evergreen Landscape & Concrete","(669) 244-3896","https://www.yellowpages.com/san-jose-ca/mip/evergreen-landscape-concrete-21367021?lid=1001711965000","Landscape Contractors,Landscaping & Lawn Services,Deck Builders","http://www.evergreenconcretemasonry.com","","3015 Silverland Dr","San Jose","CA","95135","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=San%20Jose,%20California"
"3. ","Consteknik Builders","(408) 561-6965","https://www.yellowpages.com/san-jose-ca/mip/consteknik-builders-456371357","Landscape Contractors,Deck Builders,Building Contractors","","","San Jose","San Jose","CA","95120","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=San%20Jose,%20California"
"4. ","KN construction","(408) 437-1369","https://www.yellowpages.com/nationwide/mip/kn-construction-482170921","Landscape Contractors,Landscape Designers & Consultants,Deck Builders","http://www.knconstruction.com","","","","","","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=San%20Jose,%20California"
"5. ","Sunrise Landscaping & Decking","(408) 859-7725","https://www.yellowpages.com/campbell-ca/mip/sunrise-landscaping-decking-463267178","Landscape Contractors,Landscape Designers & Consultants,Patio Builders","http://sunriselandscapinganddecking.com","","100 Timber Cove Dr","Campbell","CA","95008","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=San%20Jose,%20California"
"6. ","Caldwell's  G & B Pest Control","(408) 977-0220","https://www.yellowpages.com/san-jose-ca/mip/caldwells-g-b-pest-control-21994116?lid=1002100942111","Landscape Contractors,Landscaping & Lawn Services,Upholsterers","","","1134 Rickenbacker St","San Jose","CA","95128","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=San%20Jose,%20California"
"7. ","Green Planet Landscaping & Painting","(408) 796-8947","https://www.yellowpages.com/san-jose-ca/mip/green-planet-landscaping-painting-478292167?lid=1000437163509","Landscaping & Lawn Services","","","1330 Carnelian Dr Apt 1","San Jose","CA","95122","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=San%20Jose,%20California"
"8. ","General Landscaping Svc","(408) 859-4769","https://www.yellowpages.com/san-jose-ca/mip/general-landscaping-svc-14438244","Landscape Contractors","http://gls.i8.com","","PO Box 7692","San Jose","CA","95150","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=San%20Jose,%20California"
"9. ","Payless Hardware, Rockery & Nursery","(408) 600-1946","https://www.yellowpages.com/san-jose-ca/mip/payless-hardware-rockery-nursery-467216031?lid=1002057916565","Landscaping & Lawn Services,Wood Products,Lumber","http://www.paylesshardwareandrockery.com","","2927 S King Rd","San Jose","CA","95122","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=San%20Jose,%20California"
"10. ","Bay Area Fence and Deck","(408) 365-3800","https://www.yellowpages.com/san-jose-ca/mip/bay-area-fence-and-deck-466914850","Deck Builders,Fence Repair,Fence-Sales, Service & Contractors","http://www.bayareafence.com","","50 Umbarger Rd","San Jose","CA","95111","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=San%20Jose,%20California"
"11. ","Bill's Tree Care And Landscape, Inc.","(408) 448-3956","https://www.yellowpages.com/san-jose-ca/mip/bills-tree-care-and-landscape-inc-6417346?lid=1000437161237","Landscape Contractors,Landscaping & Lawn Services,Gardeners","http://www.billstreecare.org","","12 San Jose Ave","San Jose","CA","95125","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=San%20Jose,%20California"
"12. ","Cascade Landscaping","(408) 210-5633","https://www.yellowpages.com/san-jose-ca/mip/cascade-landscaping-17509558","Landscaping & Lawn Services","http://cascadelandscaping.com","","2219 Barlow Ave","San Jose","CA","95122","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=San%20Jose,%20California"
"13. ","Juan Ortiz Landscape Gardening","(408) 561-1329","https://www.yellowpages.com/san-jose-ca/mip/juan-ortiz-landscape-gardening-475497455","Landscaping & Lawn Services,Sprinklers-Garden & Lawn,Lawn Maintenance","","","3057 Alviena Dr","San Jose","CA","95133","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=San%20Jose,%20California"
"14. ","Juan's Gardening","(408) 912-4100","https://www.yellowpages.com/san-jose-ca/mip/juans-gardening-503046917","Landscaping & Lawn Services","","","3218 Half Moon Ct","San Jose","CA","95111","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=San%20Jose,%20California"
"15. ","Prestige Landscaping","(408) 445-9608","https://www.yellowpages.com/san-jose-ca/mip/prestige-landscaping-473443226","Landscape Contractors","http://prestigescapes.com","","4704 Oyster Bay Dr","San Jose","CA","95136","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=San%20Jose,%20California"
"16. ","Dooling Landscape Service","(408) 221-3103","https://www.yellowpages.com/san-jose-ca/mip/dooling-landscape-service-23159437","Landscape Contractors","http://www.doolinglandscapeservice.com","","388 Avenida Manzanos","San Jose","CA","95123","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=San%20Jose,%20California"
"17. ","DEL SOL LANDSCAPING MAINTENANCE & DESIGN","(408) 425-3798","https://www.yellowpages.com/san-jose-ca/mip/del-sol-landscaping-maintenance-design-545298199","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","","","6971 Del Rio Dr","San Jose","CA","95119","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=San%20Jose,%20California"
"18. ","Shig Sasaki Landscaping","(408) 973-8389","https://www.yellowpages.com/san-jose-ca/mip/shig-sasaki-landscaping-22391676","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","","","","San Jose","CA","95129","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=San%20Jose,%20California"
"19. ","ATR Landscape","(408) 728-1487","https://www.yellowpages.com/san-jose-ca/mip/atr-landscape-21992515","Landscape Contractors,Landscaping & Lawn Services,Gardeners","http://www.atrlandscapecompany.com","","5805 Comanche Dr","San Jose","CA","95123","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=San%20Jose,%20California"
