"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Terry Beeler and Son General Contractor Inc","(661) 251-4630","https://www.yellowpages.com/santa-clarita-ca/mip/terry-beeler-and-son-general-contractor-inc-6810202","Landscape Contractors,Deck Builders,Building Contractors","http://www.beelerbuildsembetter.com","","33639 Sierra Vallejo Rd","Santa Clarita","CA","91390","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Santa%20Clarita,%20California"
"2. ","Radtke Construction","(818) 367-3667","https://www.yellowpages.com/sylmar-ca/mip/radtke-construction-8614878","Landscape Contractors,Deck Builders,General Contractors","https://www.radtkeconstruction.net","","12870 San Fernando Rd","Sylmar","CA","91342","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Santa%20Clarita,%20California"
"3. ","California's Handyman","(661) 268-4083","https://www.yellowpages.com/canyon-country-ca/mip/californias-handyman-480109488","Landscape Contractors,Deck Builders,Kitchen Planning & Remodeling Service","http://www.californiashandyman.com","","14770 Begonias Ln","Canyon Country","CA","91387","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Santa%20Clarita,%20California"
"4. ","R&K Tradesmen","(818) 349-1582","https://www.yellowpages.com/chatsworth-ca/mip/r-k-tradesmen-464815842","Landscape Contractors,Deck Builders,General Contractors","","","20719 Kingsbury St","Chatsworth","CA","91311","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Santa%20Clarita,%20California"
"5. ","Tip Top Builders Inc","(818) 765-7335","https://www.yellowpages.com/north-hollywood-ca/mip/tip-top-builders-inc-450926152","Landscape Contractors,Deck Builders,Building Contractors","http://www.tiptopremodeling.com","","7256 Bellaire Ave","North Hollywood","CA","91605","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Santa%20Clarita,%20California"
"6. ","My Space Remodeling Inc","(888) 897-4696","https://www.yellowpages.com/pacoima-ca/mip/my-space-remodeling-inc-470139817","Landscape Contractors,Deck Builders,Building Contractors","http://myspaceremodeling.com","","12990 Branford St Ste C","Pacoima","CA","91331","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Santa%20Clarita,%20California"
"7. ","N.R.G Solar","(818) 444-7096","https://www.yellowpages.com/west-hills-ca/mip/n-r-g-solar-511860657","Landscape Contractors,Solar Energy Equipment & Systems-Dealers,Electricians","http://www.nrgcleanpower.com","","6700 Fallbrook Ave","West Hills","CA","91307","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Santa%20Clarita,%20California"
"8. ","NRG Solar","(818) 444-7094","https://www.yellowpages.com/northridge-ca/mip/nrg-solar-511870543","Landscape Contractors,Deck Builders,Solar Energy Equipment & Systems-Manufacturers & Distributors","http://www.nrgcleanpower.com","","19240 Nordhoff St","Northridge","CA","91324","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Santa%20Clarita,%20California"
"9. ","AA Allied Construction","(213) 290-1965","https://www.yellowpages.com/los-angeles-ca/mip/aa-allied-construction-11792643?lid=1001936053456","Landscape Designers & Consultants,Deck Builders,Drywall Contractors","http://aaalliedconstr.com","","1212 S Longwood Ave","Los Angeles","CA","90019","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Santa%20Clarita,%20California"
"10. ","Vinyl Fence Depot","(661) 259-1900","https://www.yellowpages.com/santa-clarita-ca/mip/vinyl-fence-depot-472734525","Deck Builders,Patio Builders,Gates & Accessories","http://www.vinylfenceca.com","","26210 Bouquet Canyon Rd","Santa Clarita","CA","91350","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Santa%20Clarita,%20California"
"11. ","Green Pride Landscaping & Maintenance Co","(661) 250-0254","https://www.yellowpages.com/santa-clarita-ca/mip/green-pride-landscaping-maintenance-co-466015004","Landscape Contractors,Landscaping & Lawn Services","http://www.greenpridescv.com","","24355 Creekside Road, #800177","Santa Clarita","CA","91380","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Santa%20Clarita,%20California"
"12. ","Wellspring Landscaping Construction & Maintenance LIC979620","(661) 964-9684","https://www.yellowpages.com/santa-clarita-ca/mip/wellspring-landscaping-construction-maintenance-lic979620-505063699","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.citysearch.com/profile/627514604/santa_clarita_ca/wellsspring_landscaping.html","","15250 Baker Canyon Rd","Santa Clarita","CA","91390","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Santa%20Clarita,%20California"
"13. ","Clark Pest Control","(661) 568-6477","https://www.yellowpages.com/santa-clarita-ca/mip/clark-pest-control-21993348?lid=1002079464373","Landscaping & Lawn Services,Pest Control Equipment & Supplies,Bird Barriers, Repellents & Controls","http://www.clarkpest.com","","26764 Oak Ave","Santa Clarita","CA","91351","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Santa%20Clarita,%20California"
"14. ","A & M Landscape","(661) 753-9998","https://www.yellowpages.com/santa-clarita-ca/mip/a-m-landscape-9623837","Landscape Contractors,Landscape Designers & Consultants","","","24349 Valley St","Santa Clarita","CA","91321","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Santa%20Clarita,%20California"
"15. ","Frank Tuccillo General Construction","(661) 298-2279","https://www.yellowpages.com/santa-clarita-ca/mip/frank-tuccillo-general-construction-468226273","Landscape Contractors,Landscape Designers & Consultants","","","PO Box 801392","Santa Clarita","CA","91380","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Santa%20Clarita,%20California"
"16. ","Bethco Builder Inc","(661) 775-2900","https://www.yellowpages.com/santa-clarita-ca/mip/bethco-builder-inc-481197676","Deck Builders,Building Contractors,General Contractors","http://www.bethcobuilders.com","","26370 Ruether Ave","Santa Clarita","CA","91350","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Santa%20Clarita,%20California"
"17. ","Grow With Us-Landscape & Maintenance","(661) 297-4544","https://www.yellowpages.com/santa-clarita-ca/mip/grow-with-us-landscape-maintenance-10960216","Landscape Contractors,Landscape Designers & Consultants,Gardeners","","","22262 Canones Cir","Santa Clarita","CA","91350","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Santa%20Clarita,%20California"
"18. ","Jason Tomlinson Gen Contracting","(661) 713-5006","https://www.yellowpages.com/santa-clarita-ca/mip/jason-tomlinson-gen-contracting-484820517","Deck Builders,Patio Builders,Concrete Contractors","","","","Santa Clarita","CA","91350","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Santa%20Clarita,%20California"
