"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Home and Earth LLC","(612) 718-7091","https://www.yellowpages.com/saint-paul-mn/mip/home-and-earth-llc-512566080","Landscape Designers & Consultants,Deck Builders,Patio Builders","http://www.modelearthlandscapes.com","","1839 Western Ave N","Saint Paul","MN","55113","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Paul,%20Minnesota"
"2. ","LAC Enterprises","(651) 482-0205","https://www.yellowpages.com/saint-paul-mn/mip/lac-enterprises-463781236","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://windsorcompanies.com","","1175 Highway 36 E","Saint Paul","MN","55109","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Paul,%20Minnesota"
"3. ","Castle Building & Remodeling","(651) 699-4164","https://www.yellowpages.com/saint-paul-mn/mip/castle-building-remodeling-16958694","Landscape Contractors,Landscaping & Lawn Services,Deck Builders","http://www.castlebri.com","","362 Snelling Ave S","Saint Paul","MN","55105","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Paul,%20Minnesota"
"4. ","Home Tailors","(651) 646-6436","https://www.yellowpages.com/saint-paul-mn/mip/home-tailors-16596615","Landscape Contractors,Deck Builders,General Contractors","http://www.hometailors.com","","1625 Wynne Ave","Saint Paul","MN","55108","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Paul,%20Minnesota"
"5. ","The Construction Group, Inc.","(651) 731-5857","https://www.yellowpages.com/saint-paul-mn/mip/the-construction-group-inc-22517762","Landscape Contractors,Deck Builders,General Contractors","http://the-construction-group.com/#0lL41q","","33 Mcclelland St N","Saint Paul","MN","55119","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Paul,%20Minnesota"
"6. ","Andrus Homes","(651) 777-0111","https://www.yellowpages.com/saint-paul-mn/mip/andrus-homes-896752","Landscape Contractors,Landscaping & Lawn Services,Deck Builders","http://www.andrusbuilt.com","","2440 Charles St N Ste 210","Saint Paul","MN","55109","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Paul,%20Minnesota"
"7. ","JK Landscape Construction","(763) 225-7187","https://www.yellowpages.com/clearwater-mn/mip/jk-landscape-construction-21865887?lid=1000437174049","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.dexknows.com/rd?dku=","","","Clearwater","MN","55320","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Paul,%20Minnesota"
"8. ","Lawn & Snow Landscape Complete LLC","(612) 490-4500","https://www.yellowpages.com/minneapolis-mn/mip/lawn-snow-landscape-complete-llc-22029534","Landscape Contractors,Landscaping & Lawn Services,Deck Cleaning & Treatment","http://landscapecompletellc.com","","3257 Snelling Ave","Minneapolis","MN","55406","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Paul,%20Minnesota"
"9. ","Betz Construction","(651) 735-4330","https://www.yellowpages.com/lake-elmo-mn/mip/betz-construction-20605456","Landscape Contractors,Deck Builders,General Contractors","http://www.betzconstruction.com","","371 Julep Ave N","Lake Elmo","MN","55042","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Paul,%20Minnesota"
"10. ","Detailed by Design","(612) 225-1962","https://www.yellowpages.com/minneapolis-mn/mip/detailed-by-design-471221710","Landscape Contractors,Landscaping & Lawn Services,Deck Builders","https://detailedbydesign.com/the-detailed-blog/garaze-images-10-2","","5648 Humboldt Ave S","Minneapolis","MN","55419","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Paul,%20Minnesota"
"11. ","Outdoor Den","(651) 238-4844","https://www.yellowpages.com/shoreview-mn/mip/outdoor-den-501926103","Landscape Contractors,Landscape Designers & Consultants,Deck Builders","","","5017 Turtle Ln W","Shoreview","MN","55126","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Paul,%20Minnesota"
"12. ","Revered Construction","(763) 498-4663","https://www.yellowpages.com/minneapolis-mn/mip/revered-construction-468741493","Landscape Contractors,Deck Builders,Building Contractors","http://www.reveredconstruction.com","","333 Washington Ave N","Minneapolis","MN","55401","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Paul,%20Minnesota"
"13. ","Decks Direct","(952) 746-7561","https://www.yellowpages.com/minneapolis-mn/mip/decks-direct-470530494","Landscape Contractors,Deck Builders,Altering & Remodeling Contractors","http://www.decksdirect.com","","3440 Belt Line Blvd Ste 103","Minneapolis","MN","55416","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Paul,%20Minnesota"
"14. ","Phoenix Builders","(651) 491-6503","https://www.yellowpages.com/stillwater-mn/mip/phoenix-builders-475780220?lid=1000837786298","Landscape Contractors,Landscaping & Lawn Services,Deck Builders","http://www.phoenixbuildersofmn.com","","5865 Neal Ave N # 327","Stillwater","MN","55082","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Paul,%20Minnesota"
"15. ","Sunburst Decks & Landscapes","(651) 552-1114","https://www.yellowpages.com/inver-grove-heights-mn/mip/sunburst-decks-landscapes-25768413","Patio Builders","","","2846 104th Ct E","Inver Grove Heights","MN","55077","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Paul,%20Minnesota"
"16. ","Johnson Snow Removal Service, LLC.","(612) 361-2797","https://www.yellowpages.com/saint-paul-mn/mip/johnson-snow-removal-service-llc-555748493?lid=1002088452643","Landscaping & Lawn Services,Building Contractors,Home Repair & Maintenance","https://www.jsrslandscaping.com","","1267 Beech St","Saint Paul","MN","55106","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Paul,%20Minnesota"
"17. ","Jake's Lawn & Landscaping","(651) 210-4406","https://www.yellowpages.com/saint-paul-mn/mip/jakes-lawn-landscaping-480682953","Landscape Contractors","","","157 Bellwood Ave","Saint Paul","MN","55117","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Paul,%20Minnesota"
"18. ","A Cut Above Tree Service","(651) 237-5219","https://www.yellowpages.com/saint-paul-mn/mip/a-cut-above-tree-service-21761674?lid=1001710638187","Landscape Contractors,Landscaping & Lawn Services,Arborists","http://www.acutabovetreecareservice.com","","","Saint Paul","MN","55110","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Paul,%20Minnesota"
"19. ","K and J Small Engine/Power Equipment","(612) 224-6884","https://www.yellowpages.com/saint-paul-mn/mip/k-and-j-small-engine-power-equipment-503098839","Landscaping & Lawn Services,Saw Sharpening & Repair,Motorcycles & Motor Scooters-Repairing & Service","","","1490 Farrington St","Saint Paul","MN","55117","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Paul,%20Minnesota"
"20. ","Outdoor Specialties","(651) 454-4500","https://www.yellowpages.com/saint-paul-mn/mip/outdoor-specialties-2526473","Landscape Designers & Consultants,Tree Service","http://www.outdoorspecialtiesmn.com","","560 Lone Oak Rd","Saint Paul","MN","55121","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Paul,%20Minnesota"
"21. ","Gallagher Property Maintenance","(651) 690-4710","https://www.yellowpages.com/saint-paul-mn/mip/gallagher-property-maintenance-15519685","Landscaping & Lawn Services,Property Maintenance,Snow Removal Service","http://www.gallagherpropertymaintenance.com","","1729 Adrian St","Saint Paul","MN","55116","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Paul,%20Minnesota"
