"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Sanders Construction","(727) 492-6317","https://www.yellowpages.com/saint-petersburg-fl/mip/sanders-construction-464504262","Landscape Contractors,Deck Builders,General Contractors","http://sandersconstruction.net","","2585 Gomaz Way S","Saint Petersburg","FL","33712","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Petersburg,%20Florida"
"2. ","Tommy Todd Landscape & Design","(727) 527-4339","https://www.yellowpages.com/saint-petersburg-fl/mip/tommy-todd-landscape-design-5169437","Landscape Contractors,Landscape Designers & Consultants,Sprinklers-Garden & Lawn","http://www.tommytoddlandscape.com","","5017 Haines Rd N","Saint Petersburg","FL","33714","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Petersburg,%20Florida"
"3. ","Landscape By Design","(727) 458-0229","https://www.yellowpages.com/saint-petersburg-fl/mip/landscape-by-design-452287244?lid=1001345076749","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://landscapedesignbymark.com","","","Saint Petersburg","FL","33762","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Petersburg,%20Florida"
"4. ","Hawthorne LawnCare and Landscaping","(727) 286-1842","https://www.yellowpages.com/saint-petersburg-fl/mip/hawthorne-lawncare-and-landscaping-457055002","Landscape Contractors,Landscaping & Lawn Services,Lawn Maintenance","","","3931 52nd Ave N","Saint Petersburg","FL","33714","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Petersburg,%20Florida"
"5. ","A1 Complete Landscape","(727) 768-4262","https://www.yellowpages.com/saint-petersburg-fl/mip/a1-complete-landscape-453937274","Landscaping & Lawn Services,Lawn Maintenance","","","540 58th Ave S","Saint Petersburg","FL","33705","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Petersburg,%20Florida"
"6. ","Grasshoppers Tree Service","(727) 213-8774","https://www.yellowpages.com/saint-petersburg-fl/mip/grasshoppers-tree-service-15668251?lid=1002013119584","Landscape Contractors,Landscaping & Lawn Services,Stump Removal & Grinding","http://www.grasshopperstreeservice.com","","10595 Bay Pines Blvd","Saint Petersburg","FL","33708","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Petersburg,%20Florida"
"7. ","Dave & Jo's Tree Service & Stump Grinding","(727) 408-6698","https://www.yellowpages.com/saint-petersburg-fl/mip/dave-jos-tree-service-stump-grinding-19620772?lid=1002102906184","Landscape Contractors,Landscaping & Lawn Services,Stump Removal & Grinding","https://daveandjostreeserviceandstumpgrinding.business.site","","2548 48th Avenue North","Saint Petersburg","FL","33714","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Petersburg,%20Florida"
"8. ","Bay Area Image Inc.","(727) 773-7303","https://www.yellowpages.com/saint-petersburg-fl/mip/bay-area-image-inc-479858315","Landscaping & Lawn Services,Sprinklers-Garden & Lawn,Tree Service","http://bayareaimage.com","","3820 6th Ave N","Saint Petersburg","FL","33713","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Petersburg,%20Florida"
"9. ","Maynard's Cutting Crew","(727) 327-9654","https://www.yellowpages.com/saint-petersburg-fl/mip/maynards-cutting-crew-456490580","Landscaping & Lawn Services,Nurseries-Plants & Trees,Irrigation Systems & Equipment","","","4821 26th Ave S","Saint Petersburg","FL","33711","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Petersburg,%20Florida"
"10. ","IB AT UR SERVICE LAWNCARE & LANDSCAPING","(727) 643-8293","https://www.yellowpages.com/saint-petersburg-fl/mip/ib-at-ur-service-lawncare-landscaping-490653882","Landscape Contractors,Sod & Sodding Service,Irrigation Systems & Equipment","https://ibaturlawncare.com","","1575 52nd Ave N","Saint Petersburg","FL","33703","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Petersburg,%20Florida"
"11. ","Jr Pavers Inc.","(727) 433-2381","https://www.yellowpages.com/saint-petersburg-fl/mip/jr-pavers-inc-527265492","Landscape Contractors,Concrete & Pumice Bricks,Driveway Contractors","http://www.jrpavers.com","","4121 Sunrise Dr S","Saint Petersburg","FL","33705","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Petersburg,%20Florida"
"12. ","Total Property Maintenance of Tampa Bay","(727) 265-5125","https://www.yellowpages.com/saint-petersburg-fl/mip/total-property-maintenance-of-tampa-bay-527408177","Landscape Designers & Consultants,Water Pressure Cleaning,Window Cleaning","","","6187 56th Pl N","saint petersburg","FL","33709","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Petersburg,%20Florida"
"13. ","somer's tree service","(727) 288-8419","https://www.yellowpages.com/saint-petersburg-fl/mip/somers-tree-service-461847998","Landscaping & Lawn Services,Property Maintenance,Tree Service","","","","Saint Petersburg","FL","33702","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Petersburg,%20Florida"
"14. ","KC Bushwhackers -- Commercial and Residential Lawn Maintenance","(727) 687-4104","https://www.yellowpages.com/saint-petersburg-fl/mip/kc-bushwhackers-commercial-and-residential-lawn-maintenance-462618784","Landscaping & Lawn Services,Tree Service,Trash Hauling","http://kcbushwhackers.wordpress.com","","","Saint Petersburg","FL","33714","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Petersburg,%20Florida"
"15. ","Park Trim & Haul Tree Service","(727) 452-7136","https://www.yellowpages.com/saint-petersburg-fl/mip/park-trim-haul-tree-service-530108392","Landscape Designers & Consultants,Tree Service","","","","Saint Petersburg","FL","33712","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=St.%20Petersburg,%20Florida"
