"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Jam Metal Arts & Construction Welding","(209) 598-3201","https://www.yellowpages.com/french-camp-ca/mip/jam-metal-arts-construction-welding-497724728","Landscape Contractors,Landscape Designers & Consultants,Deck Builders","","","","French Camp","CA","95231","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Stockton,%20California"
"2. ","Design Development","(209) 712-8103","https://www.yellowpages.com/lodi-ca/mip/design-development-458356795","Landscape Contractors,Deck Builders,General Contractors","http://www.designdevelopment.us","","638 Glen Oak Dr","Lodi","CA","95242","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Stockton,%20California"
"3. ","John N Eddie's Tree Care","(209) 395-0481","https://www.yellowpages.com/stockton-ca/mip/john-n-eddies-tree-care-472331711?lid=1002104085593","Landscape Contractors,Landscaping & Lawn Services,Trash Hauling","http://www.treenmore.com","","833 S. Windsor Av","Stockton","CA","95205","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Stockton,%20California"
"4. ","Santini Landscaping & Purchase Green","(209) 942-0439","https://www.yellowpages.com/stockton-ca/mip/santini-landscaping-purchase-green-7704567","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.santinilandscape.net","","3727 Metro Dr","Stockton","CA","95215","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Stockton,%20California"
"5. ","Carlos Tree Service","(209) 271-6666","https://www.yellowpages.com/stockton-ca/mip/carlos-tree-service-505318258?lid=1001581018033","Landscape Contractors,Landscaping & Lawn Services,Tree Service","http://www.carlostreeservice.net","","1030 Victoria Ave","Stockton","CA","95203","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Stockton,%20California"
"6. ","Angel's Tree Service","(209) 684-9135","https://www.yellowpages.com/stockton-ca/mip/angels-tree-service-461720373?lid=202811669","Landscape Contractors,Landscaping & Lawn Services,Tree Service","","","","Stockton","CA","95210","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Stockton,%20California"
"7. ","allover san joaquin landscape couseling and planning firm","(209) 817-3247","https://www.yellowpages.com/stockton-ca/mip/allover-san-joaquin-landscape-couseling-and-planning-firm-531409136","Landscape Designers & Consultants","","","22 E Walnut St","Stockton","CA","95204","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Stockton,%20California"
"8. ","Landbreaker Landscaping","(209) 629-0617","https://www.yellowpages.com/stockton-ca/mip/landbreaker-landscaping-469968950","Landscape Contractors,Landscaping & Lawn Services,Sprinklers-Garden & Lawn, Installation & Service","http://www.landbreakerlandscaping.com","","","Stockton","CA","95205","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Stockton,%20California"
"9. ","AAA All Tree","(209) 463-5511","https://www.yellowpages.com/stockton-ca/mip/aaa-all-tree-463131944","Landscape Designers & Consultants","","","975 Solari Ave","Stockton","CA","95205","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Stockton,%20California"
"10. ","Tri Valley Garden's","(209) 465-1138","https://www.yellowpages.com/stockton-ca/mip/tri-valley-gardens-30415199","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","","","2069 W Acacia St","Stockton","CA","95203","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Stockton,%20California"
"11. ","Bauer Home Services","(209) 975-7366","https://www.yellowpages.com/stockton-ca/mip/bauer-home-services-472426181","Deck Builders,Home Repair & Maintenance,Bathroom Remodeling","http://www.bauerhomeservices.com","","2021 W Sonoma Ave","Stockton","CA","95204","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Stockton,%20California"
"12. ","Ladies of the Lawn yard care","(209) 942-3110","https://www.yellowpages.com/stockton-ca/mip/ladies-of-the-lawn-yard-care-461868021","Landscaping & Lawn Services,Weed Control Service,Gardeners","","","2126 E Weber Ave","Stockton","CA","95205","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Stockton,%20California"
"13. ","Monterey Landscape & Maintenance","(209) 939-0362","https://www.yellowpages.com/stockton-ca/mip/monterey-landscape-maintenance-30719364","Landscape Contractors","","","4719 Quail Lakes Dr Ste G-192","Stockton","CA","95207","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Stockton,%20California"
"14. ","Picture Perfect Landscape Design & Construction INC","(209) 390-0734","https://www.yellowpages.com/stockton-ca/mip/picture-perfect-landscape-design-construction-inc-503973469?lid=1000629169597","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.pictureperfectlandscape.net","","4512 Feather River Dr Ste G","Stockton","CA","95219","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Stockton,%20California"
"15. ","Romo Maintenance & Gardening","(209) 401-4405","https://www.yellowpages.com/stockton-ca/mip/romo-maintenance-gardening-463106644?lid=1002036437234","Landscape Contractors,Landscaping & Lawn Services,Lawn Maintenance","","","2238 Hackberry St","Stockton","CA","95205","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Stockton,%20California"
"16. ","Gamboni Jeffrey F","(209) 665-0479","https://www.yellowpages.com/stockton-ca/mip/gamboni-jeffrey-f-11790625?lid=188820455","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.jfgla.com","","3012 Pacific Ave","Stockton","CA","95204","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Stockton,%20California"
"17. ","Hearn Landscaping","(209) 321-7766","https://www.yellowpages.com/stockton-ca/mip/hearn-landscaping-17728701?lid=1001459155970","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","","","","Stockton","CA","95204","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Stockton,%20California"
"18. ","Area Wide Exterminators","(209) 941-3577","https://www.yellowpages.com/stockton-ca/mip/area-wide-exterminators-544201778?lid=205914762","Landscaping & Lawn Services,Weed Control Service,Pest Control Equipment & Supplies","http://www.areawidepest.com","","2239 Country Club Blvd","Stockton","CA","95204","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Stockton,%20California"
"19. ","AA and Bob Allen Inc.","(209) 931-3535","https://www.yellowpages.com/stockton-ca/mip/aa-and-bob-allen-inc-17374617?lid=1002071402939","Landscaping & Lawn Services,Topsoil,Building Contractors-Commercial & Industrial","https://www.allensvalleyloam.com","","2904 Beyer Ln","Stockton","CA","95215","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Stockton,%20California"
