"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","E & K Construction","(520) 664-4349","https://www.yellowpages.com/tucson-az/mip/e-k-construction-20594330","Landscape Contractors,Deck Builders,General Contractors","http://www.enkconstruction.com","","1090 S Floral Ridge Way","Tucson","AZ","85710","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"2. ","Man Of The Soil","(520) 544-7743","https://www.yellowpages.com/nationwide/mip/man-of-the-soil-761301","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://manofthesoil.com","","","","","","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"3. ","Saber Landscapes, Inc.","(520) 579-3630","https://www.yellowpages.com/tucson-az/mip/saber-landscapes-inc-21947779?lid=1000439699353","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://saberlandscapes.com","","3320 W Cortaro Farms Rd","Tucson","AZ","85742","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"4. ","Horticulture Unlimited","(520) 428-0098","https://www.yellowpages.com/tucson-az/mip/horticulture-unlimited-9271717?lid=1002030304885","Landscape Contractors,Landscaping & Lawn Services,Gardeners","http://www.horticultureunlimited.com","","3237 N Richey Blvd","Tucson","AZ","85716","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"5. ","Desert Designs Landscape","(520) 975-6404","https://www.yellowpages.com/tucson-az/mip/desert-designs-landscape-505074324","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","","","","Tucson","AZ","85738","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"6. ","Ruiz Desert Landscape","(520) 203-2802","https://www.yellowpages.com/tucson-az/mip/ruiz-desert-landscape-483383854","Landscape Contractors","","","3915 N Campbell Ave Trlr 4-92","Tucson","AZ","85719","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"7. ","Desert Valley Landscaping","(520) 762-1300","https://www.yellowpages.com/tucson-az/mip/desert-valley-landscaping-13187333","Landscape Contractors","http://www.dvllandscaping.com","","11150 S Nogales Hwy","Tucson","AZ","85756","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"8. ","Arid Plant Designs","(520) 349-5058","https://www.yellowpages.com/tucson-az/mip/arid-plant-designs-475618940","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://aridplantdesigns.com","","3300 W Cinnamon Dr","Tucson","AZ","85741","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"9. ","Andy's Irrigation","(520) 314-9949","https://www.yellowpages.com/tucson-az/mip/andys-irrigation-487867129?lid=1001940315072","Landscaping & Lawn Services,Nursery & Growers Equipment & Supplies,Lawn Maintenance","http://azirrigation.net","","39997 S Horse Run Dr","Tucson","AZ","85739","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"10. ","TUC Landscaping Company","(520) 230-2879","https://www.yellowpages.com/tucson-az/mip/tuc-landscaping-company-516505520","Landscape Contractors,Landscaping & Lawn Services,Landscaping Equipment & Supplies","","","340 W 35th St","Tucson","AZ","85713","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"11. ","Affordable Southwest Yard & Tree Service","(520) 903-7435","https://www.yellowpages.com/tucson-az/mip/affordable-southwest-yard-tree-service-2044791","Landscape Contractors,Landscaping & Lawn Services,Tree Service","http://www.treetrimmingtucsonaz.net","","7917 E Colette Cir Unit 64","Tucson","AZ","85710","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"12. ","Mc Bride Landscaping & Yard","(520) 721-1429","https://www.yellowpages.com/tucson-az/mip/mc-bride-landscaping-yard-468872898","Landscape Contractors","","","2545 S Kevin Dr","Tucson","AZ","85748","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"13. ","Cutler Landscaping","(520) 579-1800","https://www.yellowpages.com/tucson-az/mip/cutler-landscaping-3134354","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.cutlerlandscaping.com","","5461 W Cortaro Farms Rd","Tucson","AZ","85742","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"14. ","The Drip Doctor, LLC","(520) 850-2345","https://www.yellowpages.com/tucson-az/mip/the-drip-doctor-llc-482221539","Landscaping & Lawn Services,Irrigation Systems & Equipment,Irrigation Consultants","http://www.azdripdoctor.com","","","Tucson","AZ","85751","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"15. ","Omega Landscape Services LLC","(520) 373-7753","https://www.yellowpages.com/tucson-az/mip/omega-landscape-services-llc-504642094","Landscape Contractors","http://omegalandscapeservices.com","","","Tucson","AZ","85757","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"16. ","Tortolita Landscaping Incorporated","(520) 744-0058","https://www.yellowpages.com/tucson-az/mip/tortolita-landscaping-incorporated-12334385","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.tortolitalandscaping.com","","6913 N Camino Martin","Tucson","AZ","85741","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"17. ","D & D Materials LLC","(520) 789-6983","https://www.yellowpages.com/tucson-az/mip/d-d-materials-llc-458953806?lid=1001781855355","Landscape Contractors,Landscaping & Lawn Services,Patio Builders","http://www.danddmaterials.com","","7575 E Old Vail Rd","Tucson","AZ","85747","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"18. ","Arcadia Landscape","(520) 791-0889","https://www.yellowpages.com/tucson-az/mip/arcadia-landscape-14716300","Landscape Contractors,Landscaping & Lawn Services,Irrigation Systems & Equipment","http://www.arcadia-landscape.com","","2002 E 13th St","Tucson","AZ","85719","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"19. ","Santa Rita Landscaping LLC","(520) 623-0421","https://www.yellowpages.com/tucson-az/mip/santa-rita-landscaping-llc-455577515","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","","","755 W Grant Rd","Tucson","AZ","85705","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"20. ","Chris' Landscaping","(520) 461-2737","https://www.yellowpages.com/tucson-az/mip/chris-landscaping-21357878","Landscaping & Lawn Services","","","6860 E Kingston Dr","Tucson","AZ","85710","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"21. ","Made in the Shade Environmental","(520) 331-2092","https://www.yellowpages.com/tucson-az/mip/made-in-the-shade-environmental-494229960","Landscape Contractors","","","7345 E Cross Ridge Pl","Tucson","AZ","85710","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"22. ","Desert Shadows Landscape","(520) 289-2357","https://www.yellowpages.com/tucson-az/mip/desert-shadows-landscape-508981490","Landscape Designers & Consultants,Landscaping & Lawn Services","","","1719 W Root Ln","Tucson","AZ","85705","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"23. ","Sunset Nursery","(520) 888-6410","https://www.yellowpages.com/tucson-az/mip/sunset-nursery-5199456","Landscape Contractors,Landscape Designers & Consultants,Nurseries-Plants & Trees","","","5931 N Oracle Rd","Tucson","AZ","85704","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"24. ","Top Gun Excavating & Landscaping","(520) 906-0777","https://www.yellowpages.com/tucson-az/mip/top-gun-excavating-landscaping-532373286","Landscape Contractors,Excavation Contractors","http://www.topgunexcavatingandlandscaping.com","","Address On File With Bbb","Tucson","AZ","85742","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"25. ","Arizona Greentop Landscape","(520) 325-0579","https://www.yellowpages.com/tucson-az/mip/arizona-greentop-landscape-458023417","Landscape Contractors","","","4442 E Bellevue St","Tucson","AZ","85712","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"26. ","Landshapes Inc","(520) 226-4790","https://www.yellowpages.com/tucson-az/mip/landshapes-inc-17100576","Landscape Designers & Consultants","http://azlandshapes.com","","2732 E Helen St","Tucson","AZ","85716","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"27. ","Arizona Elite Home Services, LLC","(520) 207-9699","https://www.yellowpages.com/tucson-az/mip/arizona-elite-home-services-llc-503733937","Landscaping & Lawn Services,Dry Cleaners & Laundries,Painting Contractors","http://www.arizonaelitecleaners.com","","1873 W Sauvignon Dr","Tucson","AZ","85746","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
"28. ","J & J Landscaping","(520) 971-9359","https://www.yellowpages.com/tucson-az/mip/j-j-landscaping-468928320","Landscape Contractors,Landscape Designers & Consultants","","","3165 E 5th St","Tucson","AZ","85716","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Tucson,%20Arizona"
