"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Judlau Contracting Inc","(718) 543-1518","https://www.yellowpages.com/bronx-ny/mip/judlau-contracting-inc-912345","Landscape Contractors,Deck Builders,General Contractors","http://www.judlau.com","","3265 Johnson Ave","Bronx","NY","10463","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"2. ","Spot Less Maintenance","(201) 206-7029","https://www.yellowpages.com/englewood-nj/mip/spot-less-maintenance-502980759","Landscape Contractors,Landscaping & Lawn Services,Deck Builders","http://www.spotlessconstruction.com","","PO Box 621","Englewood","NJ","07631","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"3. ","American Pioneer Construction","(845) 656-0445","https://www.yellowpages.com/nationwide/mip/american-pioneer-construction-559932437","Landscape Designers & Consultants,Deck Builders,General Contractors","","","","","","","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"4. ","Company Name Emiliano Construction Corp","(917) 557-7909","https://www.yellowpages.com/new-york-ny/mip/company-name-emiliano-construction-corp-476070403","Landscape Contractors,Deck Builders,General Contractors","","","501 W 169th St","New York","NY","10032","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"5. ","RC Landscape Inc","(914) 630-2155","https://www.yellowpages.com/mamaroneck-ny/mip/rc-landscape-inc-470711280","Landscape Designers & Consultants,Deck Builders,Patio Builders","http://www.pcapparelli.com","","154 E Boston Post Rd","Mamaroneck","NY","10543","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"6. ","Mike Collins & Son","(201) 374-8431","https://www.yellowpages.com/paramus-nj/mip/mike-collins-son-480274622?lid=1002039534900","Landscape Contractors,Landscaping & Lawn Services,Deck Builders","http://www.collinsandson.com","","337 Haywood Dr","Paramus","NJ","07652","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"7. ","Larchmont Nurseries","(914) 834-5802","https://www.yellowpages.com/larchmont-ny/mip/larchmont-nurseries-462438292","Landscape Contractors,Deck Builders,General Contractors","http://www.larchmontnursery.com","","2315 Boston Post Rd","Larchmont","NY","10538","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"8. ","All Superior Construction","(908) 565-4535","https://www.yellowpages.com/maywood-nj/mip/all-superior-construction-522261987","Landscape Contractors,Deck Builders,General Contractors","","","604 Elm St","Maywood","NJ","07607","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"9. ","J.A. Perez Landscaping LLC.","(201) 749-2633","https://www.yellowpages.com/park-ridge-nj/mip/j-a-perez-landscaping-llc-511830342","Landscape Designers & Consultants,Deck Cleaning-Commercial & Industrial,Tree Service","","","56 W Park Ave","Park Ridge","NJ","07656","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"10. ","All Decked Out","(212) 807-7458","https://www.yellowpages.com/new-york-ny/mip/all-decked-out-7587608","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.alldeckedoutnyc.com","","200 W 16th St Apt 7J","New York","NY","10011","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"11. ","Visione Landscaping Inc","(914) 769-7586","https://www.yellowpages.com/hawthorne-ny/mip/visione-landscaping-inc-506785753?lid=1000997514537","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","","","343 Sherman Ave","Hawthorne","NY","10532","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"12. ","Custom Garden Landscaping Inc","(845) 735-6165","https://www.yellowpages.com/pearl-river-ny/mip/custom-garden-landscaping-inc-3108189","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.customgardenlandscaping.com","","283 N Middletown Rd","Pearl River","NY","10965","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"13. ","New York Roofscapes, Inc","(212) 653-0662","https://www.yellowpages.com/new-york-ny/mip/new-york-roofscapes-inc-523018921","Landscape Designers & Consultants,Deck Builders,General Contractors","http://www.nyroofscapes.com","","1330 Avenue Of The Americas Fl 23","New York","NY","10019","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"14. ","Briggs Landscape Design","(203) 321-5522","https://www.yellowpages.com/greenwich-ct/mip/briggs-landscape-design-479658048","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","","","67 N Water St","Greenwich","CT","06830","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"15. ","Calcedo Construction Corp","(914) 935-0000","https://www.yellowpages.com/port-chester-ny/mip/calcedo-construction-corp-4878126","Landscape Contractors,Deck Builders,General Contractors","http://www.calcedo.com","","10 Midland Ave Ste M-01","Port Chester","NY","10573","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"16. ","K Hovnanian K Hovnanian","(201) 746-0275","https://www.yellowpages.com/montvale-nj/mip/k-hovnanian-k-hovnanian-462349489","Landscape Contractors,Deck Builders,General Contractors","http://khov.com","","1 Chestnut Ridge Rd","Montvale","NJ","07645","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"17. ","Garden Deck & Landscape","(212) 557-6600","https://www.yellowpages.com/new-york-ny/mip/garden-deck-landscape-2536554","Landscape Contractors,Landscaping Equipment & Supplies","","","125 Park Ave","New York","NY","10017","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"18. ","P J Sullivan Construction","(201) 857-0600","https://www.yellowpages.com/midland-park-nj/mip/p-j-sullivan-construction-558292927","Landscape Contractors,Landscaping & Lawn Services,Deck Builders","http://www.pjsbuilds.com","","192 Greenwood Ave","Midland Park","NJ","07432","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"19. ","Ace Landscape Contractors","(718) 543-0912","https://www.yellowpages.com/yonkers-ny/mip/ace-landscape-contractors-7881994","Landscape Contractors,Landscaping & Lawn Services","","","330 Mclean Ave","Yonkers","NY","10705","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"20. ","M. Carbillano Landscaping, Inc","(914) 969-7729","https://www.yellowpages.com/yonkers-ny/mip/m-carbillano-landscaping-inc-10830943","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.mcarbillano.com","","274 Morsemere Ave","Yonkers","NY","10703","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"21. ","J&L Landscaping & Masonry","(914) 375-2317","https://www.yellowpages.com/yonkers-ny/mip/j-l-landscaping-masonry-468620874","Landscaping & Lawn Services,Masonry Contractors","","","","Yonkers","NY","10705","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"22. ","Timan Landscaping","(914) 476-2829","https://www.yellowpages.com/yonkers-ny/mip/timan-landscaping-473602932","Landscape Contractors,Landscape Designers & Consultants,Landscaping & Lawn Services","http://www.timanlandscaping.net","","111 Roundhill Dr","Yonkers","NY","10710","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"23. ","M S Landscaping Carting","(914) 410-3593","https://www.yellowpages.com/yonkers-ny/mip/m-s-landscaping-carting-952576","Landscape Contractors,Landscape Designers & Consultants","","","53 Cliff St","Yonkers","NY","10701","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"24. ","Gonzalez & Sons Landscaping Inc","(914) 295-2993","https://www.yellowpages.com/yonkers-ny/mip/gonzalez-sons-landscaping-inc-558903214","Landscape Contractors","http://gonzalezandsonslandscaping.com","","12 Porach St","Yonkers","NY","10701","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"25. ","Lee Weintraub Landscape Architecture","(914) 965-6540","https://www.yellowpages.com/yonkers-ny/mip/lee-weintraub-landscape-architecture-28771972","Landscape Designers & Consultants","","","59 Edgecliff Ter","Yonkers","NY","10705","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"26. ","A & J Landscaping","(914) 793-8502","https://www.yellowpages.com/yonkers-ny/mip/a-j-landscaping-560377057","Landscape Contractors","","","6 Ridge Dr","Yonkers","NY","10705","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"27. ","Go Green Irrigation","(914) 751-9213","https://www.yellowpages.com/yonkers-ny/mip/go-green-irrigation-533577039","Landscaping & Lawn Services,Snow Removal Service,Irrigation Systems & Equipment","","","155 Morningside Pl","Yonkers","NY","10703","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"28. ","RJ&J Landscaping & Construction Corp.","(914) 882-9986","https://www.yellowpages.com/yonkers-ny/mip/rj-j-landscaping-construction-corp-523013651","Landscaping & Lawn Services","http://www.jjrlandscaping.com","","51 Troy Ln","Yonkers","NY","10701","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"29. ","Miguels Landscaping & Tree Svc","(914) 965-9860","https://www.yellowpages.com/yonkers-ny/mip/miguels-landscaping-tree-svc-462733099","Landscape Designers & Consultants","","","46 Palmer Rd","Yonkers","NY","10701","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
"30. ","Minuto & Minuto Landscape","(914) 965-6498","https://www.yellowpages.com/yonkers-ny/mip/minuto-minuto-landscape-451885743","Landscape Contractors,Landscape Designers & Consultants","","","52 Saint Johns Ave","Yonkers","NY","10704","https://www.yellowpages.com/search?search_terms=Deck%20And%20Landscape%20Companies&geo_location_terms=Yonkers,%20New%20York"
