"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Stockdale Aire","(661) 399-0100","https://www.yellowpages.com/bakersfield-ca/mip/stockdale-aire-472876842?lid=1000835760611","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Cleaning & Purifying Equipment","http://www.stockdaleaire.com","","2730 Unicorn Rd Suite D","Bakersfield","CA","93308","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Bakersfield,%20California"
"2. ","Custom Aire","(661) 325-0876","https://www.yellowpages.com/bakersfield-ca/mip/custom-aire-7133049?lid=1001850019965","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","","","1210 Lake St","Bakersfield","CA","93305","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Bakersfield,%20California"
"3. ","All Climate Air Inc.","(661) 634-0123","https://www.yellowpages.com/bakersfield-ca/mip/all-climate-air-inc-548352972?lid=1001984929576","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","http://www.allclimateair.com","","514 E 19th St","Bakersfield","CA","93305","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Bakersfield,%20California"
"4. ","Gundlach's Plumbing Heating & Air Conditioning","(661) 369-8004","https://www.yellowpages.com/bakersfield-ca/mip/gundlachs-plumbing-heating-air-conditioning-552710124?lid=203443749","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Furnace Repair & Cleaning","http://www.gundlachsservice.com","","4415 Foster Ave","Bakersfield","CA","93308","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Bakersfield,%20California"
"5. ","United Refrigeration & Air Conditioning","(661) 520-5490","https://www.yellowpages.com/bakersfield-ca/mip/united-refrigeration-air-conditioning-461704680?lid=1001707176599","Air Conditioning Contractors & Systems,Refrigeration Equipment-Commercial & Industrial,Major Appliance Refinishing & Repair","http://uri.com","","230 21st St","Bakersfield","CA","93301","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Bakersfield,%20California"
"6. ","On Time Home Services","(661) 498-8386","https://www.yellowpages.com/bakersfield-ca/mip/on-time-home-services-546563004?lid=1002075815007","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","https://ontimehomepros.com","","6531 Well Tech Way","Bakersfield","CA","93308","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Bakersfield,%20California"
"7. ","McKenney's Air Conditioning Inc","(661) 327-4037","https://www.yellowpages.com/bakersfield-ca/mip/mckenneys-air-conditioning-inc-8884059?lid=1001336923476","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Equipment & Systems","http://www.mckenneysair.com","","2323 R St","Bakersfield","CA","93301","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Bakersfield,%20California"
"8. ","Holders Air Conditioning & Heating Inc.","(661) 864-1925","https://www.yellowpages.com/bakersfield-ca/mip/holders-air-conditioning-heating-inc-550245321?lid=1002004228039","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","http://www.holdersac.com","","1140 Black Gold Rd","Bakersfield","CA","93308","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Bakersfield,%20California"
"9. ","Alcorn Aire Inc","(661) 323-1992","https://www.yellowpages.com/bakersfield-ca/mip/alcorn-aire-inc-10379960?lid=1001459152804","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Controls, Control Systems & Regulators","http://www.alcornaire.com","","325 Robinson St","Bakersfield","CA","93305","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Bakersfield,%20California"
"10. ","Oasis Air Conditioning Inc","(661) 322-2665","https://www.yellowpages.com/bakersfield-ca/mip/oasis-air-conditioning-inc-470244688?lid=1001459154520","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Building Contractors","http://www.322cool.com","","1000 E Truxtun Ave","Bakersfield","CA","93305","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Bakersfield,%20California"
"11. ","Benchmark Air Conditioning","(661) 393-5882","https://www.yellowpages.com/bakersfield-ca/mip/benchmark-air-conditioning-4304211?lid=1001223953950","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Equipment & Systems","http://www.benchmarkairconditioning.com","","1920 Mineral Ct","Bakersfield","CA","93308","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Bakersfield,%20California"
"12. ","Palmer Heating and Air","(661) 889-0990","https://www.yellowpages.com/bakersfield-ca/mip/palmer-heating-and-air-507748552?lid=1001059926996","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","","","6716 Vancouver Dr","Bakersfield","CA","93309","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Bakersfield,%20California"
"13. ","Bakersfield Plumbing Co. Inc Since 1910","(661) 665-6336","https://www.yellowpages.com/bakersfield-ca/mip/bakersfield-plumbing-co-inc-since-1910-471992671?lid=231270698","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Gas Lines-Installation & Repairing","http://www.BakersfieldPlumbingCo.com","","4400 Ashe Rd","Bakersfield","CA","93313","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Bakersfield,%20California"
