"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Shane's Services","(757) 216-1370","https://www.yellowpages.com/chesapeake-va/mip/shanes-services-452321084?lid=1001651385075","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","http://www.shanesservices.com","","126 Bow Ct","Chesapeake","VA","23325","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Chesapeake,%20Virginia"
"2. ","Central Plumbing & Heating Inc","(757) 932-6509","https://www.yellowpages.com/chesapeake-va/mip/central-plumbing-heating-inc-467856509?lid=1002104192673","Air Conditioning Contractors & Systems,Professional Engineers,Construction Engineers","http://www.centralplumbingandheatinginc.com","","820 Greenbrier Cir","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Chesapeake,%20Virginia"
"3. ","The Air Conditioning Company","(757) 718-3195","https://www.yellowpages.com/chesapeake-va/mip/the-air-conditioning-company-469334986?lid=1000439520538","Air Conditioning Contractors & Systems,Heating Contractors & Specialties","","","1129 Cherrytree Ln","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Chesapeake,%20Virginia"
"4. ","Chesapeake Auto Repair Shop","(757) 819-4467","https://www.yellowpages.com/chesapeake-va/mip/chesapeake-auto-repair-shop-529628298?lid=1002096472449","Air Conditioning Contractors & Systems,Automobile Air Conditioning Equipment,Air Conditioning Service & Repair","https://www.chesapeakevaautorepairshop.com","","1224 Executive Blvd","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Chesapeake,%20Virginia"
"5. ","Ampmor Electric Corporation","(757) 644-3322","https://www.yellowpages.com/chesapeake-va/mip/ampmor-electric-corporation-2989202?lid=1001933561247","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Cleaning Contractors","http://ampmor.com","","1024 Executive Blvd","Chesapeake","VA","23320","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Chesapeake,%20Virginia"
"6. ","Service Experts Heating & Air Conditioning","(866) 559-9505","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-483318853?lid=1002063727571","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Duct Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Chesapeake,%20Virginia"
"7. ","Service Experts Heating & Air Conditioning","(866) 559-9505","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-536110672?lid=1002063727645","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Boiler Repair & Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Chesapeake,%20Virginia"
"8. ","Michael & Son Services (NVBMZ)","(757) 207-3143","https://www.yellowpages.com/alexandria-va/mip/michael-son-services-nvbmz-476447382?lid=1002104188412","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Chesapeake,%20Virginia"
"9. ","R.S.Andrews","(757) 932-0956","https://www.yellowpages.com/portsmouth-va/mip/r-s-andrews-19347018?lid=1001476357845","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Water Heaters","","","620 Lincoln St","Portsmouth","VA","23704","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Chesapeake,%20Virginia"
"10. ","Advantage Heating & Cooling Inc","(757) 800-1882","https://www.yellowpages.com/virginia-beach-va/mip/advantage-heating-cooling-inc-470422105?lid=1001981059838","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Fireplace Equipment","https://www.advantageheating.net","","5253 Challedon Dr Ste A","Virginia Beach","VA","23462","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Chesapeake,%20Virginia"
