"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","A-Aabal Cooling & Heating","(773) 409-4150","https://www.yellowpages.com/chicago-il/mip/a-aabal-cooling-heating-23062403?lid=1001871002405","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Fireplace Equipment","http://www.aabal.com","","8518 S Ashland Ave","Chicago","IL","60620","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Chicago,%20Illinois"
"2. ","ClearWater Plumbing Company","(773) 831-4932","https://www.yellowpages.com/chicago-il/mip/clearwater-plumbing-company-548385545?lid=1002037181316","Heating Contractors & Specialties,Pumps,Plumbing Fixtures, Parts & Supplies","","","3312 N Lakewood Ave","Chicago","IL","60657","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Chicago,%20Illinois"
"3. ","Phillips Air Compressor, Inc","(773) 434-3000","https://www.yellowpages.com/chicago-il/mip/phillips-air-compressor-inc-23052169?lid=1000875450438","Air Conditioning Contractors & Systems,Auto Repair & Service,Fireplace Equipment","http://www.pac1913.com","","5946 S Western Ave","Chicago","IL","60636","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Chicago,%20Illinois"
"4. ","North Center Auto Service","(872) 588-1702","https://www.yellowpages.com/chicago-il/mip/north-center-auto-service-538508522?lid=1002051639979","Air Conditioning Contractors & Systems,Automobile Parts & Supplies,Automobile Air Conditioning Equipment","http://northcenterautoservice.com","","3455 N Western Ave","Chicago","IL","60618","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Chicago,%20Illinois"
"5. ","Avondale Auto Repair - Chicago IL","(872) 208-8612","https://www.yellowpages.com/chicago-il/mip/avondale-auto-repair-chicago-il-556027110?lid=1002051043444","Air Conditioning Contractors & Systems,Used Car Dealers,Air Conditioning Service & Repair","https://www.avondaleautorepair.com","","3425 N Pulaski Rd","Chicago","IL","60641","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Chicago,%20Illinois"
"6. ","Chicago Auto Radiator Service","(773) 831-7629","https://www.yellowpages.com/chicago-il/mip/chicago-auto-radiator-service-467219860?lid=1001984931571","Air Conditioning Contractors & Systems,Auto Repair & Service,Air Conditioning Service & Repair","https://www.chicagoautoradiator.com","","3911 W Armitage Ave","Chicago","IL","60647","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Chicago,%20Illinois"
"7. ","Norman International Car Center","(773) 801-3952","https://www.yellowpages.com/chicago-il/mip/norman-international-car-center-453692581?lid=1001866630197","Air Conditioning Contractors & Systems,Emissions Inspection Stations,Automobile Air Conditioning Equipment","http://www.normaninternational.com","","3100 W Montrose Ave","Chicago","IL","60618","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Chicago,%20Illinois"
"8. ","Service Experts Heating & Air Conditioning","(866) 559-9505","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-483318853?lid=1002063727551","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Duct Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Chicago,%20Illinois"
"9. ","Service Experts Heating & Air Conditioning","(866) 559-9505","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-536110672?lid=1002063727635","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Boiler Repair & Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Chicago,%20Illinois"
"10. ","Comfort Masters Service Experts","(847) 305-1991","https://www.yellowpages.com/wheeling-il/mip/comfort-masters-service-experts-547054460?lid=1001954017483","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","","","236 Egidi Dr Ste B","Wheeling","IL","60090","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Chicago,%20Illinois"
