"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Schneller Plumbing-Heating-Air","(513) 427-0076","https://www.yellowpages.com/cincinnati-oh/mip/schneller-plumbing-heating-air-483569639?lid=1001795754465","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Fireplace Equipment","http://www.schnellerair.com","","1079 Ohio Pike","Cincinnati","OH","45245","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Cincinnati,%20Ohio"
"2. ","Anderson Automotive Repair","(513) 231-2444","https://www.yellowpages.com/cincinnati-oh/mip/anderson-automotive-repair-14584266?lid=1000544844073","Air Conditioning Contractors & Systems,Automobile Parts & Supplies,Air Conditioning Service & Repair","http://www.autorepairanderson.com","","7196 Beechmont Ave","Cincinnati","OH","45230","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Cincinnati,%20Ohio"
"3. ","Reading Heating & Air Conditioning Inc","(513) 821-1633","https://www.yellowpages.com/cincinnati-oh/mip/reading-heating-air-conditioning-inc-5001880","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heat Pumps","http://dealer.maytaghvac.com/READINGHEATINGCOOLING-CINCINNATI-OH","","16 W Benson St","Cincinnati","OH","45215","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Cincinnati,%20Ohio"
"4. ","Herrmann Services","(513) 737-8423","https://www.yellowpages.com/cincinnati-oh/mip/herrmann-services-473000757","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Pumps-Service & Repair","https://www.herrmannservices.com","","8256 Clara Ave","Cincinnati","OH","45239","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Cincinnati,%20Ohio"
"5. ","Quality Comfort Heating & Cooling","(513) 620-4822","https://www.yellowpages.com/cincinnati-oh/mip/quality-comfort-heating-cooling-520985677","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","http://www.myqualitycomfort.com","","7924 Blue Ash Rd","Cincinnati","OH","45236","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Cincinnati,%20Ohio"
"6. ","Osterwisch Company","(513) 791-3282","https://www.yellowpages.com/cincinnati-oh/mip/osterwisch-company-2552526","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Electricians","https://www.osterwisch.com","","6755 Highland Ave","Cincinnati","OH","45236","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Cincinnati,%20Ohio"
"7. ","Adco Heating & Air Conditioning","(513) 471-3390","https://www.yellowpages.com/cincinnati-oh/mip/adco-heating-air-conditioning-21904403","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","http://www.adcoheatingandair.com","","3414 Glenway Ave","Cincinnati","OH","45205","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Cincinnati,%20Ohio"
"8. ","Reupert Heating & Air Conditioning Co","(513) 922-5050","https://www.yellowpages.com/cincinnati-oh/mip/reupert-heating-air-conditioning-co-523445378","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","http://www.reupert.com","","5137 Crookshank Rd","Cincinnati","OH","45238","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Cincinnati,%20Ohio"
"9. ","Steinhauer Heating & Cooling","(513) 741-9111","https://www.yellowpages.com/cincinnati-oh/mip/steinhauer-heating-cooling-7654854","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Fireplaces","http://www.steinhauer-heating.com","","7600 Daleview Rd","Cincinnati","OH","45247","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Cincinnati,%20Ohio"
"10. ","Glenn's Auto Repair","(513) 376-8459","https://www.yellowpages.com/cincinnati-oh/mip/glenns-auto-repair-468995854","Air Conditioning Contractors & Systems,Auto Repair & Service,Brake Repair","http://glennsautomotiverepair.com","","1835 Wayland Ave","Cincinnati","OH","45212","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Cincinnati,%20Ohio"
