"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Sam Hewitt Services Inc","(706) 565-6530","https://www.yellowpages.com/columbus-ga/mip/sam-hewitt-services-inc-21765765?lid=1001945272188","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","https://samhewittair.com/","","4444 Miller Rd","Columbus","GA","31909","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Columbus,%20Georgia"
"2. ","Air Controllers Heating & Cooling","(706) 405-7754","https://www.yellowpages.com/columbus-ga/mip/air-controllers-heating-cooling-451057672?lid=199897144","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Equipment & Systems","http://www.aircontrollersheatingandair.com","","","Columbus","GA","31904","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Columbus,%20Georgia"
"3. ","Ideal Comfort Heating & Air LLC","(706) 940-3338","https://www.yellowpages.com/columbus-ga/mip/ideal-comfort-heating-air-llc-14639530?lid=1000754355651","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","http://www.idealcomfortheatingandair.com","","","Columbus","GA","31909","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Columbus,%20Georgia"
"4. ","Smith-Raymond Company","(706) 323-6481","https://www.yellowpages.com/columbus-ga/mip/smith-raymond-company-2032934?lid=1001657193238","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Building Contractors-Commercial & Industrial","","","1428 Concord Blvd","Columbus","GA","31904","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Columbus,%20Georgia"
"5. ","Summerland Plumbing","(706) 940-3895","https://www.yellowpages.com/columbus-ga/mip/summerland-plumbing-405822?lid=1002025551215","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Home Repair & Maintenance","","","180 Brennan Rd","Columbus","GA","31906","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Columbus,%20Georgia"
"6. ","Express Heating & Air Conditioning","(706) 576-6800","https://www.yellowpages.com/columbus-ga/mip/express-heating-air-conditioning-544546071?lid=1001891747249","Air Conditioning Contractors & Systems","http://www.expressairco.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Columbus,%20Georgia"
"7. ","Miller Terry Service Co.","(706) 569-9552","https://www.yellowpages.com/columbus-ga/mip/miller-terry-service-co-469441098?lid=1001636361963","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Ice Making Equipment & Machines","http://www.terrymillerserviceco.com","","130 Gateway Ct","Columbus","GA","31909","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Columbus,%20Georgia"
"8. ","Auto Masters Repair, LLC","(706) 530-5184","https://www.yellowpages.com/columbus-ga/mip/auto-masters-repair-llc-7623514?lid=191411125","Air Conditioning Contractors & Systems,Automobile Air Conditioning Equipment-Service & Repair,Automobile Parts & Supplies","http://www.automastersrepair.com","","7401A Fortson Rd","Columbus","GA","31909","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Columbus,%20Georgia"
"9. ","Holbrook Service Co Inc","(706) 327-8583","https://www.yellowpages.com/columbus-ga/mip/holbrook-service-co-inc-11246125?lid=1001657001474","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","","","3704 12th Ave","Columbus","GA","31904","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Columbus,%20Georgia"
"10. ","Green's Appliance","(706) 322-1825","https://www.yellowpages.com/columbus-ga/mip/greens-appliance-88773?lid=1000322491810","Air Conditioning Contractors & Systems,Major Appliance Refinishing & Repair,Range & Oven Repair","http://www.greens-appliance.com","","Cols","Columbus","GA","31901","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Columbus,%20Georgia"
