"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","A & G Air Conditioning Services","(909) 350-3737","https://www.yellowpages.com/fontana-ca/mip/a-g-air-conditioning-services-481535324?lid=1002104192779","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Quality-Indoor","http://www.agairsolutions.com","","7426 Cherry Ave","Fontana","CA","92336","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fontana,%20California"
"2. ","Garcia's Air Conditioning","(909) 969-5661","https://www.yellowpages.com/fontana-ca/mip/garcias-air-conditioning-483831070?lid=1002004357133","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","","","15945 Deodar Ct","Fontana","CA","92335","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fontana,%20California"
"3. ","Arrow Auto Repair","(909) 349-0107","https://www.yellowpages.com/fontana-ca/mip/arrow-auto-repair-450917824?lid=1001959842135","Air Conditioning Contractors & Systems,Automotive Tune Up Service,Auto Repair & Service","","","15750 Arrow Blvd Ste 3p","Fontana","CA","92335","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fontana,%20California"
"4. ","Mayoral Heating and Air Conditioning","(909) 969-5076","https://www.yellowpages.com/fontana-ca/mip/mayoral-heating-and-air-conditioning-474371173?lid=1000437161111","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","","","17950 Buckeye Ct","Fontana","CA","92336","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fontana,%20California"
"5. ","Service Experts Heating & Air Conditioning","(866) 559-9505","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-483318853?lid=1002063727546","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Duct Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fontana,%20California"
"6. ","Service Experts Heating & Air Conditioning","(866) 559-9505","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-536110672?lid=1002063727745","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Boiler Repair & Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fontana,%20California"
"7. ","Performance Service and Mechanical","(951) 312-4925","https://www.yellowpages.com/nationwide/mip/performance-service-and-mechanical-461046372?lid=1001702988096","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Refrigerating Equipment-Commercial & Industrial-Servicing","","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fontana,%20California"
"8. ","GILBERT  MAURICE","(951) 394-1043","https://www.yellowpages.com/rancho-cucamonga-ca/mip/gilbert-maurice-556283961?lid=1002103409828","Air Conditioning Contractors & Systems,Heating Equipment & Systems,Fireplaces","","","6600 Kern Place","Rancho Cucamonga","CA","91701","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fontana,%20California"
"9. ","Chill Out Heating and Air","(951) 846-1193","https://www.yellowpages.com/nationwide/mip/chill-out-heating-and-air-556667842?lid=1002103409318","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Duct Cleaning","https://chill-out-heating-and-air.business.site","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fontana,%20California"
"10. ","Xtreme Heating & Air Conditioning, Inc.","(951) 290-3305","https://www.yellowpages.com/temecula-ca/mip/xtreme-heating-air-conditioning-inc-459089919?lid=1002080760379","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Construction Engineers","https://www.xtremeheatingair.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fontana,%20California"
"11. ","First Choice Plumbing, Heating & Air Conditioning","(951) 565-4894","https://www.yellowpages.com/nationwide/mip/first-choice-plumbing-heating-air-conditioning-505276538?lid=201539377","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Equipment & Systems","http://www.firstchoiceplumbing.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fontana,%20California"
"12. ","Amber Air Conditioning Inc.","(951) 291-7613","https://www.yellowpages.com/lake-elsinore-ca/mip/amber-air-conditioning-inc-9002821?lid=1002048396001","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","https://www.amberairconditioning.com","","29885 2nd St Suite A&b","Lake Elsinore","CA","92532","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fontana,%20California"
"13. ","ProFlo Air Conditioning, Heating & Plumbing","(951) 383-3139","https://www.yellowpages.com/temecula-ca/mip/proflo-air-conditioning-heating-plumbing-565859232?lid=1002085126991","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Fireplaces","https://proflohvac.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fontana,%20California"
