"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Legacy Plumbing Heating & Air Conditioning","(260) 747-1800","https://www.yellowpages.com/fort-wayne-in/mip/legacy-plumbing-heating-air-conditioning-502972810?lid=1002062945428","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Professional Engineers","https://www.legacyheating.com","","6502 Bluffton Rd","Fort Wayne","IN","46809","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"2. ","Coe Heating and Air Conditioning","(260) 264-2940","https://www.yellowpages.com/fort-wayne-in/mip/coe-heating-and-air-conditioning-513405022?lid=1002067071307","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Professional Engineers","https://www.coeheatcool.com","","9410 Airport Dr","Fort Wayne","IN","46809","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"3. ","Jeff's Heating & Cooling","(260) 222-7878","https://www.yellowpages.com/fort-wayne-in/mip/jeffs-heating-cooling-534185059?lid=1002102706000","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Fireplaces","https://www.jeffsheatingandcooling.com","","11132 Bluffton Rd","Fort Wayne","IN","46809","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"4. ","Phil's Heating & Air Conditioning Inc","(260) 255-3420","https://www.yellowpages.com/fort-wayne-in/mip/phils-heating-air-conditioning-inc-9899951?lid=1002101335102","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Fireplace Equipment","http://www.coeheating.com","","1218 Putnam St","Fort Wayne","IN","46808","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"5. ","Doc Dancer","(260) 267-7112","https://www.yellowpages.com/fort-wayne-in/mip/doc-dancer-535261170?lid=1002017222324","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Fireplaces","http://www.docdancer.com","","2309 S Anthony Blvd","Fort Wayne","IN","46803","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"6. ","P & T Heating & Air Mechanical Inc","(260) 739-1753","https://www.yellowpages.com/fort-wayne-in/mip/p-t-heating-air-mechanical-inc-18566313?lid=1002097408215","Air Conditioning Contractors & Systems,Furnace Repair & Cleaning,Air Conditioning Service & Repair","http://www.pandtheating.com","","1225 Putnam St","Fort Wayne","IN","46808","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"7. ","Gouty's Servicenter","(260) 255-3980","https://www.yellowpages.com/fort-wayne-in/mip/goutys-servicenter-5771351?lid=1002104082541","Air Conditioning Contractors & Systems,Automobile Accessories,Automobile Air Conditioning Equipment","http://www.goutys.com","","3500 Broadway","Fort Wayne","IN","46807","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"8. ","Rolf Griffin Service Experts","(260) 239-6544","https://www.yellowpages.com/fort-wayne-in/mip/rolf-griffin-service-experts-547054441?lid=1001954017274","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Equipment & Systems","","","1702 Fairfield Ave","Fort Wayne","IN","46802","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"9. ","Wisman's Appliance Service Inc","(260) 265-4070","https://www.yellowpages.com/fort-wayne-in/mip/wismans-appliance-service-inc-8135457?lid=1002097401441","Air Conditioning Contractors & Systems,Major Appliances,Major Appliance Refinishing & Repair","http://www.wismansappliance.com","","242 Fernhill Ave","Fort Wayne","IN","46805","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"10. ","Commercial Filter Service","(260) 203-1305","https://www.yellowpages.com/fort-wayne-in/mip/commercial-filter-service-10364797?lid=1002029098573","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Aerospace Industries & Services","http://www.commercialfilter.net","","3510 Metro Dr N","Fort Wayne","IN","46818","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"11. ","Power Plant Service Inc","(260) 222-7980","https://www.yellowpages.com/fort-wayne-in/mip/power-plant-service-inc-12249244?lid=1002062945370","Heating Contractors & Specialties,Building Contractors,Boiler Repair & Cleaning","http://powerplantserviceinc.com","","2500 W Jefferson Blvd","Fort Wayne","IN","46802","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"12. ","Schwarz Automotive","(260) 240-8985","https://www.yellowpages.com/fort-wayne-in/mip/schwarz-automotive-451780910?lid=1002042049826","Air Conditioning Contractors & Systems,Automobile Air Conditioning Equipment,Air Conditioning Service & Repair","http://schwarzautomotive.com","","3208 E Coliseum Blvd","Fort Wayne","IN","46805","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"13. ","Service Experts Heating & Air Conditioning","(866) 559-9505","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-483318853?lid=1002063727552","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Duct Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"14. ","Service Experts Heating & Air Conditioning","(866) 559-9505","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-536110672?lid=1002063727636","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Boiler Repair & Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"15. ","Korte Does It All","(800) 823-5072","https://www.yellowpages.com/new-haven-in/mip/korte-does-it-all-475239861?lid=1001981505277","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Fireplace Equipment","https://www.kortedoesitall.com","","10920 Stellhorn Rd","New Haven","IN","46774","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"16. ","T & T Plumbing Heating Air Conditioning & Geothermal","(260) 387-0642","https://www.yellowpages.com/laotto-in/mip/t-t-plumbing-heating-air-conditioning-geothermal-470421612?lid=1001910750986","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Fireplaces","http://www.tt-ph.com","","11875 E 450 S","Laotto","IN","46763","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"17. ","Collier's Comfort","(260) 297-7632","https://www.yellowpages.com/nationwide/mip/colliers-comfort-467658609?lid=1001949331142","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Geothermal Heating & Cooling Contractors","http://trustcolliers.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"18. ","Service Experts Heating & Air Conditioning","(888) 984-1997","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-518506814?lid=1001724808475","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Plumbing Contractors-Commercial & Industrial","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"19. ","Barker's Automotive Service Center LLC","(260) 748-3380","https://www.yellowpages.com/new-haven-in/mip/barkers-automotive-service-center-llc-475351933?lid=1002020547116","Air Conditioning Contractors & Systems,Air Conditioning Service & Repair,Automobile Parts & Supplies","https://www.auto-repairshop.com","","215 State Road 930 W","New Haven","IN","46774","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"20. ","Rolf Griffin Heating & Air Conditioning","(260) 204-6261","https://www.yellowpages.com/fort-wayne-in/mip/rolf-griffin-heating-air-conditioning-551316631?lid=1002059568872","Air Conditioning Contractors & Systems,Home Centers","http://api.citygridmedia.com/content/places/v2/click?q=urVBa6moXC5S9VPyC16BYBn_NxLXMVobS_8vbcyI69_gxb4CfBJy9OKohTker_VRQUs_rkabzY8Aw-E7wg8PzxGIRE6Qeb1zffG2kRjt9wW32cq9uCECkL8wpv5bmgpnNcC8FV4FcATGt4M-3EeUFxwjcOw7HrmYmi6HDh_YVjRQ_ORxE86IJkz12I5XrWVutQp-u0SWM1UM7pMCkiZtE7U4RHqCbwSQsilmppNmHyi5GQgtGraNlQX2hZea9176yPK55f39SkJLd6vwL15qGE_B_InoRoK7Fa1XkX-tlMouAf3dWKQ9FC6l4wv1J_3FVvLh6gHbmem0oq6uwC9lSwaFR0QZxj9uvMwdp2ftk46tt1av8rLE0UfGDQW6SysDGTlWUPO1TEb0n5x7AjppkQXnPK1YXve4vlxPgOQNlBfIGp1jrx3p_u3Ec-3dmxen&reference_id=0&publisher=yellowpages&placement=ypwebsitesrpr&action_target=listing_website","","1702 Fairfield Ave","Fort Wayne","IN","46802","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"21. ","Masters Heating & Cooling","(866) 297-6001","https://www.yellowpages.com/fort-wayne-in/mip/masters-heating-cooling-475968515","Air Conditioning Contractors & Systems,Air Conditioning Equipment & Systems,Plumbers","http://mastersheatcool.com","","3512 Cavalier Dr","Fort Wayne","IN","46808","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"22. ","HVAC Systems Service Inc","(260) 484-5296","https://www.yellowpages.com/fort-wayne-in/mip/hvac-systems-service-inc-473522426","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Furnaces-Heating","http://www.hvacss.com","","3936 Mobile Ave","Fort Wayne","IN","46805","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"23. ","Sears Home Improvement Products","(877) 760-8339","https://www.yellowpages.com/fort-wayne-in/mip/sears-home-improvement-products-23311306","Heating Contractors & Specialties,Home Repair & Maintenance,Major Appliance Refinishing & Repair","http://www.searshomeservices.com","","4201 Coldwater Rd","Fort Wayne","IN","46805","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"24. ","J O Mory Inc","(260) 489-5531","https://www.yellowpages.com/fort-wayne-in/mip/j-o-mory-inc-462124528","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Plumbers","","","8107 Lima Rd","Fort Wayne","IN","46818","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"25. ","Trane Supply","(260) 489-0984","https://www.yellowpages.com/fort-wayne-in/mip/trane-supply-4584320","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Equipment & Systems","https://www.tranesupply.com/store-locator/store-trane-supply-fort-wayne?y_source=1_NDcyNDIyMi01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","","6602 Innovation Blvd","Fort Wayne","IN","46818","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"26. ","Trane Commercial Sales Office","(802) 990-3170","https://www.yellowpages.com/fort-wayne-in/mip/trane-commercial-sales-office-558016095","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating, Ventilating & Air Conditioning Engineers","https://www.trane.com/commercial/north-america/us/en/contact-us/locate-sales-offices/fortwayne.html?y_source=1_OTg4MDM3NS01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","","6602 Innovation Blvd","Fort Wayne","IN","46818","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"27. ","Ed Merz & Sons Heating Plumbing & Air Conditioning Inc.","(260) 447-4272","https://www.yellowpages.com/fort-wayne-in/mip/ed-merz-sons-heating-plumbing-air-conditioning-inc-474034554","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Plumbers","","","10006 Trentman Rd","Fort Wayne","IN","46816","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"28. ","Complete Custom Heating Plumbing & Air","(260) 490-0333","https://www.yellowpages.com/fort-wayne-in/mip/complete-custom-heating-plumbing-air-513128801","Air Conditioning Contractors & Systems,Heating Contractors & Specialties","","","4903 Speedway Dr","Fort Wayne","IN","46825","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"29. ","Carrier Commercial Services","(260) 483-5646","https://www.yellowpages.com/fort-wayne-in/mip/carrier-commercial-services-4718550","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Major Appliances","","","821 Conrad St","Fort Wayne","IN","46808","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
"30. ","York Heating & Air Conditioning","(260) 497-0533","https://www.yellowpages.com/fort-wayne-in/mip/york-heating-air-conditioning-2094652","Air Conditioning Contractors & Systems,Heating Contractors & Specialties","","","7710 Freedom Way","Fort Wayne","IN","46818","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Fort%20Wayne,%20Indiana"
