"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","A.C.T. Air Conditioning Tech., Inc.","(786) 671-4003","https://www.yellowpages.com/hialeah-fl/mip/a-c-t-air-conditioning-tech-inc-29468238?lid=1002075629948","Air Conditioning Contractors & Systems,Duct Cleaning,Air Conditioning Equipment & Systems","","","1828 W 64th St","Hialeah","FL","33012","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Hialeah,%20Florida"
"2. ","Antarctica Mechanical Services","(786) 220-4198","https://www.yellowpages.com/hialeah-fl/mip/antarctica-mechanical-services-519191539?lid=1002073224356","Air Conditioning Contractors & Systems,Duct Cleaning,Air Conditioning Equipment & Systems","http://antarcticaac.com","","6135 NW 167th St","Hialeah","FL","33015","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Hialeah,%20Florida"
"3. ","AAA Modern air","(954) 921-4486","https://www.yellowpages.com/dania-fl/mip/aaa-modern-air-10449944?lid=1002042336331","Air Conditioning Contractors & Systems,Cleaning Contractors,Air Conditioning Service & Repair","http://www.aaamodernair.com","","901 Phippen Waiters Rd","Dania","FL","33004","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Hialeah,%20Florida"
"4. ","Service Experts Heating & Air Conditioning","(866) 397-5404","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-483318853?lid=1001735736381","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Duct Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Hialeah,%20Florida"
"5. ","Direct Air Conditioning","(786) 901-8098","https://www.yellowpages.com/miami-fl/mip/direct-air-conditioning-530915665?lid=1002067872018","Air Conditioning Contractors & Systems,Fireplaces,Duct Cleaning","http://www.directac123.com","","12200 SW 129th Ct","Miami","FL","33186","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Hialeah,%20Florida"
"6. ","Service Experts Heating & Air Conditioning","(305) 340-0434","https://www.yellowpages.com/doral-fl/mip/service-experts-heating-air-conditioning-547054476?lid=1001954017456","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Cleaning Contractors","","","1521 NW 89th Ct","Doral","FL","33172","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Hialeah,%20Florida"
"7. ","Service Experts Heating & Air Conditioning","(888) 539-4999","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-536110672?lid=1001724808590","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Boiler Repair & Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Hialeah,%20Florida"
"8. ","Airtrol Air Conditioning Co Inc","(786) 408-8932","https://www.yellowpages.com/miami-fl/mip/airtrol-air-conditioning-co-inc-12712528?lid=1000290615988","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Ventilating Contractors","http://www.airtrolac.com","","4613 SW 74th Ave","Miami","FL","33155","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Hialeah,%20Florida"
"9. ","Flow-Tech Air Conditioning Corp.","(786) 646-6929","https://www.yellowpages.com/miami-fl/mip/flow-tech-air-conditioning-corp-460611407?lid=1002059531487","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","https://www.flowtechac.com","","7023 SW 13th Ter","Miami","FL","33144","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Hialeah,%20Florida"
"10. ","Pyke Mechanical Inc","(786) 789-0282","https://www.yellowpages.com/medley-fl/mip/pyke-mechanical-inc-21806875?lid=1002032044694","Air Conditioning Contractors & Systems,Fireplace Equipment,Cooling Towers Sales & Service","https://www.pykemechanical.com","","9401 NW 106th St Ste 109","Medley","FL","33178","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Hialeah,%20Florida"
"11. ","Service Experts Heating & Air Conditioning","(305) 290-2107","https://www.yellowpages.com/doral-fl/mip/service-experts-heating-air-conditioning-533298001?lid=1002030317418","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems-Repairing","https://www.serviceexpertsmiami.com?utm_source=yp&utm_medium=iyp&utm_campaign=pindot","","1521 NW 89th Ct","Doral","FL","33172","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Hialeah,%20Florida"
"12. ","American Eagle Air Conditioning Inc","(305) 752-9822","https://www.yellowpages.com/miami-fl/mip/american-eagle-air-conditioning-inc-2003062?lid=1000420025338","Air Conditioning Contractors & Systems","http://americaneagleac.com","","13490 SW 30th St","Miami","FL","33175","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Hialeah,%20Florida"
"13. ","Air Systems A C","(305) 681-1040","https://www.yellowpages.com/opa-locka-fl/mip/air-systems-a-c-460697536?lid=1000437171161","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Furnaces-Heating","http://www.airsystemac.com","","4698 NW 133rd St","Opa Locka","FL","33054","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Hialeah,%20Florida"
"14. ","Pacific Air Conditioning & Refrigeration","(305) 633-6722","https://www.yellowpages.com/miami-fl/mip/pacific-air-conditioning-refrigeration-15369730?lid=1000687427890","Air Conditioning Contractors & Systems,Air Conditioning Equipment & Systems","","","2191 NW 26th Ave","Miami","FL","33142","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Hialeah,%20Florida"
"15. ","The AC Doctor","(305) 697-4924","https://www.yellowpages.com/miami-fl/mip/the-ac-doctor-529088107?lid=1001547243006","Air Conditioning Contractors & Systems","","","1728 NE Miami Gardens Dr","Miami","FL","33179","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Hialeah,%20Florida"
"16. ","Always Winter Air Conditioning & Refrigeration","(305) 255-8627","https://www.yellowpages.com/miami-fl/mip/always-winter-air-conditioning-refrigeration-481475353?lid=1001472875527","Air Conditioning Contractors & Systems,Air Conditioning Service & Repair","","","13860 SW 143rd Ct","Miami","FL","33186","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Hialeah,%20Florida"
"17. ","Alisaez Air Conditioning","(305) 677-3400","https://www.yellowpages.com/nationwide/mip/alisaez-air-conditioning-525580899?lid=1001458831309","Air Conditioning Contractors & Systems","http://www.acnowfl.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Hialeah,%20Florida"
"18. ","Miami Compressor Rebuilders","(786) 401-4777","https://www.yellowpages.com/miami-fl/mip/miami-compressor-rebuilders-960886?lid=1002049669344","Air Conditioning Contractors & Systems,Construction & Building Equipment,Major Appliance Refinishing & Repair","https://www.miamicompressorrebuilders.com","","3230 NW 38th St","Miami","FL","33142","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Hialeah,%20Florida"
"19. ","A-Zone Appliances & Air Conditioning Corp","(786) 220-4201","https://www.yellowpages.com/miami-fl/mip/a-zone-appliances-air-conditioning-corp-462595220?lid=1001974650965","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","http://www.appliances-air-conditioning.com","","2993 SW 3rd St","Miami","FL","33135","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Hialeah,%20Florida"
"20. ","Broward Insulation","(954) 574-2892","https://www.yellowpages.com/fort-lauderdale-fl/mip/broward-insulation-483943057?lid=1002084897709","Air Conditioning Contractors & Systems,Contractors Equipment & Supplies,Building Contractors","https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1653461927184.b6dceb04&ADID=11955265&DEST=http%3A%2F%2Fbrowardinsulation1.mydex.com%2F9nmDf1NbkQQ&C=HVAC%20Companies&T=Fort%20Lauderdale&S=FL&PH=(954)%20574-2892&FL=url&TL=off&position=19&PS=30&PI=1&Results=FEED_CLCK&uid=b6dceb04-cf24-4b86-b3b9-6db65b990638&REF=&IP=185.183.33.19&UserAgent=Mozilla%2F5.0%20(X11%3B%20Linux%20x86_64)%20AppleWebKit%2F537.36%20(KHTML%2C%20like%20Gecko)%20Chrome%2F64.0.3282.140%20Safari%2F537.36","","6720 NW 20th Ave","Fort Lauderdale","FL","33309","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Hialeah,%20Florida"
