"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","AMM Air Conditioning & Heating","(714) 963-6173","https://www.yellowpages.com/huntington-beach-ca/mip/amm-air-conditioning-heating-544897840?lid=190429538","Air Conditioning Contractors & Systems,Air Conditioning Equipment & Systems,Fireplaces","http://www.ammacandheating.com","","19781 Ranger Ln","Huntington Beach","CA","92646","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Huntington%20Beach,%20California"
"2. ","Stephens Plumbing, Heating & Air Conditioning","(714) 587-4070","https://www.yellowpages.com/huntington-beach-ca/mip/stephens-plumbing-heating-air-conditioning-451612843?lid=1001030052955","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","http://www.stephensplumbing.net/","","16742 Gothard St Ste G-212","Huntington Beach","CA","92647","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Huntington%20Beach,%20California"
"3. ","Power Pro Plumbing Heating & Air","(714) 758-5168","https://www.yellowpages.com/anaheim-ca/mip/power-pro-plumbing-heating-air-475359046?lid=1001812585748","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Sewer Contractors","http://www.powerproplumbing.com","","1231 N Patt St","Anaheim","CA","92801","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Huntington%20Beach,%20California"
"4. ","Dependable Graham Air Conditioning, Inc.","(714) 594-7292","https://www.yellowpages.com/costa-mesa-ca/mip/dependable-graham-air-conditioning-inc-497757?lid=186448911","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Equipment & Systems","https://www.dependablegraham.com","","2952 Century Pl","Costa Mesa","CA","92626","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Huntington%20Beach,%20California"
"5. ","Service Experts Heating & Air Conditioning","(866) 559-9505","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-483318853?lid=1002063727546","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Duct Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Huntington%20Beach,%20California"
"6. ","Service Experts Heating & Air Conditioning","(866) 559-9505","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-536110672?lid=1002063727739","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Boiler Repair & Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Huntington%20Beach,%20California"
"7. ","Norwalk-La Mirada Plumbing Heating & Air Conditioning","(562) 868-7777","https://www.yellowpages.com/norwalk-ca/mip/norwalk-la-mirada-plumbing-heating-air-conditioning-467630800?lid=1001336923582","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Furnace Repair & Cleaning","http://www.laplumber.com","","11661 Firestone Blvd","Norwalk","CA","90650","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Huntington%20Beach,%20California"
"8. ","Ritz Plumbing & Heating Service","(424) 256-0361","https://www.yellowpages.com/los-angeles-ca/mip/ritz-plumbing-heating-service-9270807?lid=1002066907971","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Water Heaters","http://www.ritzplumbing.com","","1355 S La Brea Ave","Los Angeles","CA","90019","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Huntington%20Beach,%20California"
"9. ","Kemnitz Air Conditioning & Heating Inc.","(949) 783-8757","https://www.yellowpages.com/irvine-ca/mip/kemnitz-air-conditioning-heating-inc-466262365?lid=1002046296685","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","https://www.kemnitzhvac.com","","188 Technology Dr Ste C","Irvine","CA","92618","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Huntington%20Beach,%20California"
"10. ","Air Conditioning Services of California","(949) 636-2549","https://www.yellowpages.com/laguna-hills-ca/mip/air-conditioning-services-of-california-457424450?lid=1002064021388","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Fireplace Equipment","http://www.acsofca.com","","23141 La Cadena Dr Ste J1","Laguna Hills","CA","92653","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Huntington%20Beach,%20California"
