"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","John Henry's Plumbing Heating & Air Conditioning Co","(402) 235-6652","https://www.yellowpages.com/lincoln-ne/mip/john-henrys-plumbing-heating-air-conditioning-co-4016885?lid=1001613555411","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","http://www.jhlincoln.com","","2949 Cornhusker Hwy","Lincoln","NE","68504","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Lincoln,%20Nebraska"
"2. ","ServiceTechs","(402) 477-8811","https://www.yellowpages.com/lincoln-ne/mip/servicetechs-942837?lid=1001702990867","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Food Processing Equipment & Supplies","http://www.servicetechsne.com","","420 Blue Heron Ct","Lincoln","NE","68522","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Lincoln,%20Nebraska"
"3. ","Capitol Heating & Air Conditioning","(402) 483-6080","https://www.yellowpages.com/lincoln-ne/mip/capitol-heating-air-conditioning-11899904?lid=1000554871094","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Sheet Metal Work-Manufacturers","http://www.capitolheatair.com","","3040 South St","Lincoln","NE","68502","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Lincoln,%20Nebraska"
"4. ","Progressive Automotive","(402) 466-4505","https://www.yellowpages.com/lincoln-ne/mip/progressive-automotive-502936541?lid=1000545758671","Air Conditioning Contractors & Systems,Automobile Air Conditioning Equipment,Automobile Parts & Supplies","http://www.progautoinc.com/","","3711 Adams St","Lincoln","NE","68504","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Lincoln,%20Nebraska"
"5. ","Service Experts Heating & Air Conditioning","(866) 559-9505","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-483318853?lid=1002063727560","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Duct Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Lincoln,%20Nebraska"
"6. ","Service Experts Heating & Air Conditioning","(866) 559-9505","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-536110672?lid=1002063727639","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Boiler Repair & Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Lincoln,%20Nebraska"
"7. ","Ak-Sar-Ben Rescue Rooter","(402) 937-8278","https://www.yellowpages.com/la-vista-ne/mip/ak-sar-ben-rescue-rooter-465832408?lid=1001476358042","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Sewer Cleaners & Repairers","","","7070 S 108th St","La Vista","NE","68128","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Lincoln,%20Nebraska"
"8. ","Harley's Heating & Air Conditioning","(402) 466-3408","https://www.yellowpages.com/lincoln-ne/mip/harleys-heating-air-conditioning-475354863?lid=1000232124818","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Duct Cleaning","https://harleysheatingandair.com","","4224 Progressive Ave","Lincoln","NE","68504","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Lincoln,%20Nebraska"
"9. ","Degree Heating & Air Conditioning Inc","(402) 488-1893","https://www.yellowpages.com/lincoln-ne/mip/degree-heating-air-conditioning-inc-465841188?lid=1001455749916","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Fireplace Equipment","http://www.degreeheatingandair.com","","1647 S 25th St","Lincoln","NE","68502","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Lincoln,%20Nebraska"
"10. ","Tech Masters","(402) 420-5050","https://www.yellowpages.com/lincoln-ne/mip/tech-masters-475359272?lid=1001378364392","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","http://www.techmastersne.com","","2024 SW 6th St","Lincoln","NE","68522","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Lincoln,%20Nebraska"
