"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Aire Serv of East Nashville / Mount Juliet","(615) 267-3080","https://www.yellowpages.com/nashville-tn/mip/aire-serv-of-east-nashville-mount-juliet-557613284?lid=1002073219989","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Fireplace Equipment","https://www.aireserv.com/east-nashville/","","1007 Elm Hill Pike","Nashville","TN","37210","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"2. ","Reese Bobby Heating & Air Conditioning Inc","(615) 391-8000","https://www.yellowpages.com/nashville-tn/mip/reese-bobby-heating-air-conditioning-inc-2570149?lid=1000171391517","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","http://www.reeseair.com","","205 Shady Grove Dr","Nashville","TN","37214","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"3. ","ARS / Rescue Rooter Nashville","(615) 649-4094","https://www.yellowpages.com/nashville-tn/mip/ars-rescue-rooter-nashville-461850945?lid=1001476357902","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Water Heater Repair","http://www.arsofnashville.com/about-ars.aspx","","4071 Powell Ave","Nashville","TN","37204","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"4. ","Donelson Air Service Experts","(615) 682-1420","https://www.yellowpages.com/nashville-tn/mip/donelson-air-service-experts-562472122?lid=1002030655742","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heat Pumps","https://www.donelsonair.com?utm_source=yp&utm_medium=iyp&utm_campaign=pindot","","2930 Sidco Dr","Nashville","TN","37204","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"5. ","Rich Heat-Air & Construction Inc","(629) 777-9670","https://www.yellowpages.com/nashville-tn/mip/rich-heat-air-construction-inc-482188276?lid=1002076925725","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heat Pumps","","","2572 Murfreesboro Pike","Nashville","TN","37217","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"6. ","Reliance Heating And Air","(615) 352-0095","https://www.yellowpages.com/nashville-tn/mip/reliance-heating-and-air-471942955?lid=1001769944753","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","http://www.reliance-hvac.com","","1330 Foster Ave","Nashville","TN","37210","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"7. ","C & S Heating Air & Electric Inc","(615) 256-1444","https://www.yellowpages.com/nashville-tn/mip/c-s-heating-air-electric-inc-3679470?lid=1002004350951","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","","","2404 Winford Ave","Nashville","TN","37211","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"8. ","Griffin Heating & Air Conditioning","(615) 353-0503","https://www.yellowpages.com/nashville-tn/mip/griffin-heating-air-conditioning-5519114?lid=1000540197039","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Major Appliance Refinishing & Repair","","","5966 Post Rd","Nashville","TN","37205","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"9. ","Precision Tune Autocare","(615) 747-7290","https://www.yellowpages.com/nashville-tn/mip/precision-tune-autocare-19091225?lid=1002005771412","Air Conditioning Contractors & Systems,Automobile Inspection Stations & Services,Automobile Air Conditioning Equipment","http://www.precisiontune.com/NashvilleTN_MurfreesboroPk","","3813 Nolensville Pike","Nashville","TN","37211","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"10. ","Precision Tune Auto Care","(615) 606-7586","https://www.yellowpages.com/nashville-tn/mip/precision-tune-auto-care-5445822?lid=1002005771413","Air Conditioning Contractors & Systems,Automobile Parts & Supplies,Automobile Body Repairing & Painting","http://www.precisiontune.com","","2251 Murfreesboro Pike","Nashville","TN","37217","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"11. ","Midas Tire & Auto Service","(615) 649-4145","https://www.yellowpages.com/nashville-tn/mip/midas-tire-auto-service-545857590?lid=1002054065072","Air Conditioning Contractors & Systems,Automobile Parts & Supplies,Auto Engine Rebuilding","https://www.midas.com/nashville/store.aspx?shopnum=3721&dmanum=608001","","6015 Highway 100","Nashville","TN","37205","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"12. ","Radiators Plus A/C Direct Warehouse","(615) 647-8561","https://www.yellowpages.com/nashville-tn/mip/radiators-plus-a-c-direct-warehouse-473166754?lid=1002046833982","Air Conditioning Contractors & Systems,Air Conditioning Service & Repair,Auto Repair & Service","http://radiatorsplusa-c.com","","1120 Elm Hill Pike Ste 125","Nashville","TN","37210","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"13. ","Link Automotive Service & Parts","(629) 777-9669","https://www.yellowpages.com/nashville-tn/mip/link-automotive-service-parts-22952881?lid=1001558820532","Air Conditioning Contractors & Systems,Wheel Alignment-Frame & Axle Servicing-Automotive,Wheels-Aligning & Balancing","http://www.linkautomotiveservice.com","","1229 Lebanon Pike","Nashville","TN","37210","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"14. ","Atech Inc","(615) 255-2002","https://www.yellowpages.com/nashville-tn/mip/atech-inc-467586043?lid=1000437174925","Air Conditioning Contractors & Systems,Refrigerators & Freezers-Repair & Service,Professional Engineers","http://www.atechinfo.com","","820 Fesslers Pkwy","Nashville","TN","37210","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"15. ","One Hour Air Conditioning & Heating","(615) 772-0110","https://www.yellowpages.com/nashville-tn/mip/one-hour-air-conditioning-heating-479860310?lid=1000437166376","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","http://www.onehourairnashville.com","","1007 Elm Hill Pike","Nashville","TN","37210","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"16. ","1A Mechanical","(615) 473-1049","https://www.yellowpages.com/nashville-tn/mip/1a-mechanical-476088591?lid=1000437166399","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","","","PO Box 218471","Nashville","TN","37221","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"17. ","Service Experts Heating & Air Conditioning","(866) 559-9505","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-483318853?lid=1002063727568","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Duct Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"18. ","Service Experts Heating & Air Conditioning","(866) 559-9505","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-536110672?lid=1002063730202","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Boiler Repair & Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"19. ","Clark Heating & Cooling","(615) 375-4426","https://www.yellowpages.com/dickson-tn/mip/clark-heating-cooling-523955555?lid=1002047086814","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Equipment & Systems","https://clarkheatingandcooling.com","","1162 Highway 47 E","Dickson","TN","37055","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"20. ","Haskins Heating & Cooling","(615) 510-3579","https://www.yellowpages.com/joelton-tn/mip/haskins-heating-cooling-505560279?lid=1002063125565","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","","","5470 Highway 41a","Joelton","TN","37080","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"21. ","Derryberry's Heat & Air","(615) 502-2654","https://www.yellowpages.com/gallatin-tn/mip/derryberrys-heat-air-21756334?lid=385660201","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","http://derryberryac.com/","","212 N Water Ave","Gallatin","TN","37066","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"22. ","Payless Appliance & HVAC Repair","(615) 528-5177","https://www.yellowpages.com/goodlettsville-tn/mip/payless-appliance-hvac-repair-8528691?lid=1002076920742","Heating Contractors & Specialties,Refrigerators & Freezers-Repair & Service,Range & Oven Repair","http://www.paylessrepairservice.com","","","Goodlettsville","TN","37072","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"23. ","Vortex Air Duct Cleaning","(629) 777-5133","https://www.yellowpages.com/mount-juliet-tn/mip/vortex-air-duct-cleaning-451063755?lid=1002078698796","Air Conditioning Contractors & Systems,Cleaning Contractors,Ventilation Cleaning","http://vortexairductcleaningtn.com","","","Mount Juliet","TN","37122","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"24. ","McKinzie Mechanical Heating","(615) 672-9242","https://www.yellowpages.com/goodlettsville-tn/mip/mckinzie-mechanical-heating-13106612?lid=1001472875950","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Electricians","http://www.mckinziemechanical.com","","1617 Highway 31 W","Goodlettsville","TN","37072","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"25. ","Star Heating & Air","(615) 824-3533","https://www.yellowpages.com/hendersonville-tn/mip/star-heating-air-472549743?lid=1000439698051","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","http://www.starheatandair.com","","180 Commerce Dr","Hendersonville","TN","37075","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"26. ","Mike's Heating & AC","(615) 822-0280","https://www.yellowpages.com/hendersonville-tn/mip/mikes-heating-ac-542403981?lid=1001920446695","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems-Repairing","http://www.mikesacrepair.com","","144 Hillside Dr","Hendersonville","TN","37075","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"27. ","Universal Heating & Cooling Inc","(615) 297-0985","https://www.yellowpages.com/nationwide/mip/universal-heating-cooling-inc-451066705?lid=1001179176078","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"28. ","Kimbro Air","(615) 824-8098","https://www.yellowpages.com/hendersonville-tn/mip/kimbro-air-468652089?lid=1001292532306","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Building Contractors","http://www.kimbroair.com","","134 Volunteer Dr","Hendersonville","TN","37075","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
"29. ","A/C Plus","(615) 867-1213","https://www.yellowpages.com/murfreesboro-tn/mip/a-c-plus-1503677?lid=1001797486409","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heat Pumps","http://www.acplusonline.com","","309 W Rutherford Blvd","Murfreesboro","TN","37130","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Nashville,%20Tennessee"
