"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Approved Refrigeration & Air Conditioning Service","(551) 900-2402","https://www.yellowpages.com/new-york-ny/mip/approved-refrigeration-air-conditioning-service-456721121?lid=1001772808805","Air Conditioning Contractors & Systems,Professional Engineers,Air Conditioning Equipment & Systems","http://www.approvedrefrigerationacservice.com","","350 5th Ave","New York","NY","10118","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=New%20York,%20New%20York"
"2. ","Dave's ELEC Motor & Pump Inc","(212) 982-2930","https://www.yellowpages.com/new-york-ny/mip/daves-elec-motor-pump-inc-11698150?lid=1001780774136","Air Conditioning Contractors & Systems,Air Conditioning Service & Repair,Fireplace Equipment","http://www.davespumpsandmotorsnyc.com","","282 E 7th St","New York","NY","10009","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=New%20York,%20New%20York"
"3. ","ARNICA Heating And Air Inc","(212) 393-1130","https://www.yellowpages.com/new-york-ny/mip/arnica-heating-and-air-inc-465574657?lid=1001362102689","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","http://www.arnicaheatingandair.com","","99 Madison Ave Fl 5007","New York","NY","10016","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=New%20York,%20New%20York"
"4. ","Service Experts Heating & Air Conditioning","(866) 559-9505","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-483318853?lid=1002063727562","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Duct Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=New%20York,%20New%20York"
"5. ","Service Experts Heating & Air Conditioning","(866) 559-9505","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-536110672?lid=1002063727641","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Boiler Repair & Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=New%20York,%20New%20York"
"6. ","Run Rite Mechanical Corp. - Air Conditioning.Heating.Ventilation","(718) 717-8547","https://www.yellowpages.com/brooklyn-ny/mip/run-rite-mechanical-corp-air-conditioning-heating-ventilation-472809108?lid=1000353900718","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Plumbers","http://www.runritemechanical.com","","113A 13th St","Brooklyn","NY","11215","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=New%20York,%20New%20York"
"7. ","Pelham Plumbing & Heating Corp","(347) 345-2912","https://www.yellowpages.com/bronx-ny/mip/pelham-plumbing-heating-corp-5693548?lid=1001976752328","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Building Contractors","http://www.pelhamplumbing.com","","2253 Light St","Bronx","NY","10466","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=New%20York,%20New%20York"
"8. ","New York Plumbing & Heating","(212) 496-9191","https://www.yellowpages.com/richmond-hill-ny/mip/new-york-plumbing-heating-536647473?lid=1001781858363","Heating Contractors & Specialties,Utility Contractors,Professional Engineers","http://nyplumbing.com","","8771 Lefferts Blvd","Richmond Hill","NY","11418","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=New%20York,%20New%20York"
"9. ","Wymbs Inc","(646) 921-7484","https://www.yellowpages.com/bronx-ny/mip/wymbs-inc-482041759?lid=1001968168299","Heating Contractors & Specialties,Gas Lines-Installation & Repairing,Gas Equipment-Service & Repair","http://wymbs.com","","2395 Washington Ave","Bronx","NY","10458","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=New%20York,%20New%20York"
"10. ","Macintosh Electric","(914) 297-7441","https://www.yellowpages.com/yonkers-ny/mip/macintosh-electric-975471?lid=1002035762220","Heating Contractors & Specialties,Construction Consultants,Professional Engineers","http://www.macintoshelectric.com","","595 Nepperhan Ave","Yonkers","NY","10703","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=New%20York,%20New%20York"
"11. ","Service Experts Heating & Air Conditioning","(888) 984-1997","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-518506814?lid=1001724808431","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Plumbing Contractors-Commercial & Industrial","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=New%20York,%20New%20York"
"12. ","Lamp Warehouse","(718) 514-7509","https://www.yellowpages.com/brooklyn-ny/mip/lamp-warehouse-455643588?lid=1001851604303","Air Conditioning Contractors & Systems,Air Conditioning Service & Repair,Electric Equipment & Supplies","http://mainlampwarehouse.com","","1075 39th St","Brooklyn","NY","11219","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=New%20York,%20New%20York"
"13. ","Hands on Heating Inc","(646) 403-5370","https://www.yellowpages.com/bronx-ny/mip/hands-on-heating-inc-88329?lid=1000232124659","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Boilers Equipment, Parts & Supplies","http://www.handsonheating.net","","183 Willow Ave","Bronx","NY","10454","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=New%20York,%20New%20York"
"14. ","Affordable HVAC Service","(631) 693-5390","https://www.yellowpages.com/amityville-ny/mip/affordable-hvac-service-475300361?lid=1000115202720","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Boilers Equipment, Parts & Supplies","http://affordablehvacny.com","","36 Maple Rd","Amityville","NY","11701","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=New%20York,%20New%20York"
"15. ","Hydrotech & HVAC, LLC","(212) 935-0235","https://www.yellowpages.com/nationwide/mip/hydrotech-hvac-llc-465281141?lid=1000116765006","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Restaurant Equipment-Repair & Service","http://manhattanplumbingcontractor.net","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=New%20York,%20New%20York"
"16. ","Sure-Rooter","(646) 235-4156","https://www.yellowpages.com/bronx-ny/mip/sure-rooter-21582728?lid=1001202644073","Air Conditioning Contractors & Systems,Building Contractors,Cleaning Contractors","http://www.sure-rooterny.com","","","Bronx","NY","10453","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=New%20York,%20New%20York"
"17. ","Able Mechanical Inc.","(732) 495-3800","https://www.yellowpages.com/red-bank-nj/mip/able-mechanical-inc-13104482?lid=1000115491069","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Major Appliance Refinishing & Repair","http://restaurantequipmentrepairnj.com","","280 State Route 35 Ste 200","Red Bank","NJ","07701","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=New%20York,%20New%20York"
"18. ","Amsterdam Air Cooling Corp","(212) 787-7700","https://www.yellowpages.com/new-york-ny/mip/amsterdam-air-cooling-corp-13031820","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Major Appliances","","","951 Amsterdam Ave","New York","NY","10025","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=New%20York,%20New%20York"
"19. ","Air Pro HVAC Mechanical Corporation","(888) 619-7614","https://www.yellowpages.com/new-york-ny/mip/air-pro-hvac-mechanical-corporation-450968509","Air Conditioning Contractors & Systems,Heating Contractors & Specialties","","","393 8th Ave","New York","NY","10001","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=New%20York,%20New%20York"
"20. ","T.R.Mechanical HVAC Co.","(800) 203-4978","https://www.yellowpages.com/new-york-ny/mip/t-r-mechanical-hvac-co-451035466","Air Conditioning Contractors & Systems,Heating Contractors & Specialties","","","360 W 45th St","New York","NY","10036","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=New%20York,%20New%20York"
"21. ","Atlantic Hvac NYC","(646) 210-1181","https://www.yellowpages.com/new-york-ny/mip/atlantic-hvac-nyc-475977950","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","","","954 Lexington Ave","New York","NY","10021","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=New%20York,%20New%20York"
"22. ","BBC Air Conditioning Heating & Refrigeration Services","(212) 444-8476","https://www.yellowpages.com/new-york-ny/mip/bbc-air-conditioning-heating-refrigeration-services-467999639","Air Conditioning Contractors & Systems","","","340 E 29th St","New York","NY","10016","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=New%20York,%20New%20York"
