"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","C & C Air Conditioning","(760) 945-2600","https://www.yellowpages.com/oceanside-ca/mip/c-c-air-conditioning-471902930?lid=1001806560619","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","","","4912 Colusa Dr","Oceanside","CA","92056","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oceanside,%20California"
"2. ","AirTime Heating and Air","(760) 908-5076","https://www.yellowpages.com/oceanside-ca/mip/airtime-heating-and-air-533012404","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems-Repairing","http://www.airtimeheatingandairpro.com","","","Oceanside","CA","92057","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oceanside,%20California"
"3. ","Axis Appliance Repair","(760) 400-6116","https://www.yellowpages.com/oceanside-ca/mip/axis-appliance-repair-474525345","Air Conditioning Contractors & Systems,Major Appliance Refinishing & Repair,Refrigerators & Freezers-Repair & Service","http://www.axisrepair.com","","3815 Mission Ave #204","Oceanside","CA","92058","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oceanside,%20California"
"4. ","JJ Plumbing Heat & Air","(619) 606-8677","https://www.yellowpages.com/oceanside-ca/mip/jj-plumbing-heat-air-561262683","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Equipment & Systems","https://www.jjheatandair5.com","","616 Washington Ave","Oceanside","CA","92054","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oceanside,%20California"
"5. ","Carlsbad Auto Service","(760) 729-1155","https://www.yellowpages.com/carlsbad-ca/mip/carlsbad-auto-service-14619439?lid=1001721190613","Air Conditioning Contractors & Systems,Automobile Parts & Supplies,Emissions Inspection Stations","http://www.carlsbadautoservice.com","","3181 Tyler St","Carlsbad","CA","92008","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oceanside,%20California"
"6. ","Poway Auto Repair","(858) 748-0561","https://www.yellowpages.com/poway-ca/mip/poway-auto-repair-4576546?lid=1001977921119","Air Conditioning Contractors & Systems,Wheels-Aligning & Balancing,Automobile Accessories","http://www.powayautorepair.com","","13907 Poway Rd Ste A","Poway","CA","92064","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oceanside,%20California"
"7. ","All Pro Plumbing Heating & Air Conditioning","(760) 681-0313","https://www.yellowpages.com/nationwide/mip/all-pro-plumbing-heating-air-conditioning-481980436?lid=1001105290234","Air Conditioning Contractors & Systems,Plumbing-Drain & Sewer Cleaning,Air Conditioning Service & Repair","http://www.allproplumbing1.com/default.aspx","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oceanside,%20California"
"8. ","Ideal Plumbing, Heating, Air & Electrical","(619) 583-7963","https://www.yellowpages.com/san-diego-ca/mip/ideal-plumbing-heating-air-electrical-3804016?lid=208079954","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Building Contractors-Commercial & Industrial","http://idealservice.com","","5161 Waring Rd","San Diego","CA","92120","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oceanside,%20California"
"9. ","L Seven N Co. Inc. Ventilation Cleaning Specialists","(619) 448-7707","https://www.yellowpages.com/santee-ca/mip/l-seven-n-co-inc-ventilation-cleaning-specialists-13288360?lid=1000116569602","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Restaurant Cleaning","http://www.lsevensd.com","","8775 Railroad Ave","Santee","CA","92071","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oceanside,%20California"
"10. ","Prestigious Heating & Air Conditioning","(760) 573-8860","https://www.yellowpages.com/carlsbad-ca/mip/prestigious-heating-air-conditioning-545278286","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","https://prestigioushvac.com","","2395 Caringa Way Apt F","Carlsbad","CA","92009","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oceanside,%20California"
