"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Anacapa Heating & Air Inc","(805) 293-4890","https://www.yellowpages.com/oxnard-ca/mip/anacapa-heating-air-inc-549060862?lid=1002003456992","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","http://www.anacapaheatingandair1.com","","341 Irving Dr Ste B","Oxnard","CA","93030","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oxnard,%20California"
"2. ","Anacapa Heating & Air Inc","(805) 485-6333","https://www.yellowpages.com/oxnard-ca/mip/anacapa-heating-air-inc-535405518?lid=1001716606728","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","http://www.anacapaheatingandair.com","","341 Irving Dr #B","Oxnard","CA","93030","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oxnard,%20California"
"3. ","Speedy Heating & Air","(888) 308-3956","https://www.yellowpages.com/nationwide/mip/speedy-heating-air-461995886?lid=1001819019048","Air Conditioning Contractors & Systems","http://www.speedyheatingandair.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oxnard,%20California"
"4. ","Season Control Air Conditioning & Heating","(818) 337-3526","https://www.yellowpages.com/canoga-park-ca/mip/season-control-air-conditioning-heating-538462033?lid=1001761151326","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Furnaces-Heating","http://www.seasoncontrolairheat.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oxnard,%20California"
"5. ","Power Pro Plumbing Heating & Air","(310) 499-7920","https://www.yellowpages.com/gardena-ca/mip/power-pro-plumbing-heating-air-475542569?lid=1001812911069","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","https://www.powerproplumbing.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oxnard,%20California"
"6. ","Conejo Valley Heating & Air Conditioning","(805) 499-0448","https://www.yellowpages.com/newbury-park-ca/mip/conejo-valley-heating-air-conditioning-4999302?lid=1001825867032","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","http://conejovalleyair.com","","2639 Lavery Ct Ste 7","Newbury Park","CA","91320","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oxnard,%20California"
"7. ","Service Experts Heating & Air Conditioning","(866) 559-9505","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-483318853?lid=1002063727546","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Duct Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oxnard,%20California"
"8. ","Service Experts Heating & Air Conditioning","(866) 559-9505","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-536110672?lid=1002063727713","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Boiler Repair & Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oxnard,%20California"
"9. ","Franklin & Vizzo Plumbing","(805) 366-4781","https://www.yellowpages.com/ventura-ca/mip/franklin-vizzo-plumbing-461699677?lid=1000978971288","Heating Contractors & Specialties,Water Heater Repair,Gas Equipment-Service & Repair","http://www.franklinandvizzo.com","","2594 Channel Dr","Ventura","CA","93003","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oxnard,%20California"
"10. ","Season Control Air Conditioning & Heating Inc","(800) 659-1374","https://www.yellowpages.com/canoga-park-ca/mip/season-control-air-conditioning-heating-inc-545922479?lid=1001850006890","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Fireplace Equipment","http://seasoncontr85838655-154081-sml-1.hibustudio.com","","7239 Canoga Ave","Canoga Park","CA","91303","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oxnard,%20California"
"11. ","L&R Heating & Air Conditioning Inc","(424) 571-9225","https://www.yellowpages.com/torrance-ca/mip/l-r-heating-air-conditioning-inc-464667355?lid=1002091686030","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Professional Engineers","https://www.lrhvacinc.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oxnard,%20California"
"12. ","Western Equipment Service","(661) 579-1117","https://www.yellowpages.com/lancaster-ca/mip/western-equipment-service-545957427?lid=1002080466734","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Fireplaces","http://www.westernequipmentservice.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oxnard,%20California"
"13. ","Rowland Air","(661) 424-0076","https://www.yellowpages.com/canyon-country-ca/mip/rowland-air-475356539?lid=1002067433206","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Fireplace Equipment","http://rowlandair.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oxnard,%20California"
"14. ","Rowland Air","(661) 299-7385","https://www.yellowpages.com/canyon-country-ca/mip/rowland-air-540902359?lid=406895891","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Refrigerators & Freezers-Dealers","","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oxnard,%20California"
"15. ","All Valley Refrigeration Inc","(818) 963-7587","https://www.yellowpages.com/woodland-hills-ca/mip/all-valley-refrigeration-inc-482163532?lid=1001905604825","Air Conditioning Contractors & Systems,Refrigerating Equipment-Commercial & Industrial-Servicing,Restaurant Equipment-Repair & Service","http://allvalleyrefrigeration.net/","","21241 Ventura Blvd","Woodland Hills","CA","91364","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oxnard,%20California"
"16. ","Kessler Plumbing & Heating Inc","(213) 599-8994","https://www.yellowpages.com/los-angeles-ca/mip/kessler-plumbing-heating-inc-21690382?lid=1002055753294","Heating Contractors & Specialties,Building Contractors,Sewer Cleaners & Repairers","http://www.kesslercrew.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oxnard,%20California"
"17. ","New Century HVAC Inc","(213) 946-5288","https://www.yellowpages.com/los-angeles-ca/mip/new-century-hvac-inc-564524137?lid=1002101326494","Air Conditioning Contractors & Systems,Air Conditioning Service & Repair,Heating, Ventilating & Air Conditioning Engineers","https://www.newcenturyhvacinc.com","","","Los Angeles","CA","90065","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oxnard,%20California"
"18. ","Climate Heating and Cooling Inc.","(661) 349-7804","https://www.yellowpages.com/nationwide/mip/climate-heating-and-cooling-inc-541754766?lid=1002028689220","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Equipment & Systems","http://www.climateav.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oxnard,%20California"
"19. ","Kahn Air Conditioning, Inc","(818) 626-5041","https://www.yellowpages.com/northridge-ca/mip/kahn-air-conditioning-inc-2620093?lid=1002025554067","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Fireplace Equipment","https://www.kahnair.com","","19434 Business Center Dr","Northridge","CA","91324","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Oxnard,%20California"
