"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Above Par Heating & Air Conditioning","(602) 351-5768","https://www.yellowpages.com/phoenix-az/mip/above-par-heating-air-conditioning-468526153?lid=1002084693194","Air Conditioning Contractors & Systems,Air Conditioning Service & Repair,Furnace Repair & Cleaning","https://www.aboveparaz.net","","","Phoenix","AZ","85053","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Phoenix,%20Arizona"
"2. ","Accu-Temp Refrigeration","(623) 688-5797","https://www.yellowpages.com/phoenix-az/mip/accu-temp-refrigeration-49590?lid=1002073837705","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Professional Engineers","https://accutempaz.com","","3231 E Washington St","Phoenix","AZ","85034","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Phoenix,%20Arizona"
"3. ","Custom Cooling and Plumbing","(602) 730-9303","https://www.yellowpages.com/phoenix-az/mip/custom-cooling-and-plumbing-480215080?lid=1001957031520","Air Conditioning Contractors & Systems,Building Contractors-Commercial & Industrial,Plumbing-Drain & Sewer Cleaning","http://www.customcooling.com","","3702 E Roeser Rd","Phoenix","AZ","85040","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Phoenix,%20Arizona"
"4. ","Adam's Refrigeration Co.","(602) 346-9976","https://www.yellowpages.com/phoenix-az/mip/adams-refrigeration-co-10579414?lid=1002102508482","Air Conditioning Contractors & Systems,Air Conditioning Service & Repair,Air Conditioning Equipment & Systems","http://www.coolmyhome.com","","1824 N 35th Ave","Phoenix","AZ","85009","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Phoenix,%20Arizona"
"5. ","Trutek Air Conditioning and Heating LLC","(702) 659-5375","https://www.yellowpages.com/phoenix-az/mip/trutek-air-conditioning-and-heating-llc-561715121?lid=1002070647013","Air Conditioning Contractors & Systems,Air Conditioning Service & Repair,Air Conditioning Equipment & Systems","http://www.trutekaz.com","","18631 N 19th Ave Ste 158 - 271","Phoenix","AZ","85027","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Phoenix,%20Arizona"
"6. ","Around The Clock Air Conditioning","(602) 956-8184","https://www.yellowpages.com/phoenix-az/mip/around-the-clock-air-conditioning-504991528?lid=1002007435228","Air Conditioning Contractors & Systems,Professional Engineers,Construction Engineers","","","4066 E Whitton Ave","Phoenix","AZ","85018","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Phoenix,%20Arizona"
"7. ","Noble Refrigeration LLC","(623) 878-8726","https://www.yellowpages.com/phoenix-az/mip/noble-refrigeration-llc-472117314?lid=1002103592845","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Professional Engineers","http://noblerefrigeration.net","","6020 W Gambit Trl","Phoenix","AZ","85083","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Phoenix,%20Arizona"
"8. ","Dial One Mears Air Conditioning and Heating Inc","(602) 357-8490","https://www.yellowpages.com/phoenix-az/mip/dial-one-mears-air-conditioning-and-heating-inc-18000095?lid=1001967573688","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Professional Engineers","https://www.mearsac.com","","743 E Dunlap Ave","Phoenix","AZ","85020","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Phoenix,%20Arizona"
"9. ","Commerical Radiator Service Inc","(602) 842-9355","https://www.yellowpages.com/phoenix-az/mip/commerical-radiator-service-inc-18775725?lid=1002104397406","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Professional Engineers","http://www.crsphx.com","","2530 W Mcdowell Rd","Phoenix","AZ","85009","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Phoenix,%20Arizona"
"10. ","Parker And Son's Cooling, Heating & Plumbing","(480) 378-7274","https://www.yellowpages.com/phoenix-az/mip/parker-and-sons-cooling-heating-plumbing-467171346?lid=1002100942727","Air Conditioning Contractors & Systems,Fireplace Equipment,Air Conditioning Service & Repair","http://www.parkerandsons.com","","3636 E Anne St Ste A","Phoenix","AZ","85040","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Phoenix,%20Arizona"
"11. ","Hero  Home Services","(602) 635-3181","https://www.yellowpages.com/phoenix-az/mip/hero-home-services-553080916?lid=1002100940983","Air Conditioning Contractors & Systems,Drainage Contractors,Water Filtration & Purification Equipment","https://www.herohomeservices.net","","1746 E Madison Street STE 5","Phoenix","AZ","85034","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Phoenix,%20Arizona"
"12. ","Dalton Air Conditioning & Custom Sheet Metal Products","(602) 997-1970","https://www.yellowpages.com/phoenix-az/mip/dalton-air-conditioning-custom-sheet-metal-products-460318259?lid=1001781847365","Air Conditioning Contractors & Systems,Sheet Metal Work-Manufacturers,Professional Engineers","","","1544 E Mescal St","Phoenix","AZ","85020","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Phoenix,%20Arizona"
"13. ","Byassee Equipment Repair","(602) 666-7404","https://www.yellowpages.com/phoenix-az/mip/byassee-equipment-repair-481637928?lid=1001862277847","Air Conditioning Contractors & Systems,Air Conditioning Service & Repair,Heating Equipment & Systems","http://byasseeinc.com","","1939 E Washington St","Phoenix","AZ","85034","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Phoenix,%20Arizona"
"14. ","Carmel Automotive","(602) 456-5479","https://www.yellowpages.com/phoenix-az/mip/carmel-automotive-5706252?lid=1001869621609","Air Conditioning Contractors & Systems,Air Conditioning Service & Repair,Automobile Parts & Supplies","http://carmelautomotiveaz.com","","1901 W Thunderbird Rd","Phoenix","AZ","85023","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Phoenix,%20Arizona"
"15. ","George Brazil Air Conditioning & Heating","(602) 842-0009","https://www.yellowpages.com/phoenix-az/mip/george-brazil-air-conditioning-heating-504215246?lid=1001411709537","Air Conditioning Contractors & Systems,Heating Equipment & Systems,Air Conditioning Equipment & Systems","http://www.georgebrazilhvac.com","","2655 E Magnolia St Ste 200","Phoenix","AZ","85034","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Phoenix,%20Arizona"
"16. ","Indoor Comfort Inc","(602) 276-0530","https://www.yellowpages.com/phoenix-az/mip/indoor-comfort-inc-7312410?lid=1000673148247","Air Conditioning Contractors & Systems,Air Conditioning Service & Repair,Restaurant Equipment-Repair & Service","http://www.iciaz.com","","3820 S Central Ave","Phoenix","AZ","85040","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Phoenix,%20Arizona"
"17. ","A/C & Refrigeration","(602) 488-7161","https://www.yellowpages.com/phoenix-az/mip/a-c-refrigeration-467530101?lid=1000439547458","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Moving Services-Labor & Materials","http://www.acandrefrigeration.com","","1410 E Tierra Buena Ln","Phoenix","AZ","85022","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Phoenix,%20Arizona"
