"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Henry Oil Co","(401) 400-3573","https://www.yellowpages.com/providence-ri/mip/henry-oil-co-12734114?lid=1002004274584","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","http://www.henryoil.com","","675 Hartford Ave","Providence","RI","02909","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"2. ","Automatic Heating Equipment, Inc.","(401) 648-7303","https://www.yellowpages.com/providence-ri/mip/automatic-heating-equipment-inc-4814736?lid=1001781853894","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Fireplaces","http://www.autoheatri.com","","400 Charles St","Providence","RI","02904","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"3. ","Five Star Plumbing and Heating","(401) 300-5470","https://www.yellowpages.com/johnston-ri/mip/five-star-plumbing-and-heating-17197970?lid=1002032431813","Heating Contractors & Specialties,Plumbing-Drain & Sewer Cleaning,Water Heaters","http://www.fivestarplumbingandheating.com","","","Johnston","RI","02919","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"4. ","Restivo's Heating & Air Conditioning","(401) 868-1084","https://www.yellowpages.com/johnston-ri/mip/restivos-heating-air-conditioning-2000544?lid=1002004289213","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Boilers Equipment, Parts & Supplies","https://www.restivos.com/services","","295 Scituate Ave","Johnston","RI","02919","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"5. ","E A Marcoux & Son","(401) 769-3642","https://www.yellowpages.com/woonsocket-ri/mip/e-a-marcoux-son-2801027?lid=1001978657362","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Sheet Metal Work","","","530 Social St","Woonsocket","RI","02895","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"6. ","Carjon Air Conditioning & Heating","(401) 232-9400","https://www.yellowpages.com/smithfield-ri/mip/carjon-air-conditioning-heating-99357?lid=1001781862984","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","https://www.carjon.com","","4 Enterprise Ln","Smithfield","RI","02917","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"7. ","Ace Plumbing & Heating","(401) 438-1764","https://www.yellowpages.com/east-providence-ri/mip/ace-plumbing-heating-15719691?lid=1002099685629","Heating Contractors & Specialties,Boilers Equipment, Parts & Supplies,Heating Equipment & Systems","https://rimpma.org","","1366 S Broadway","East Providence","RI","02914","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"8. ","Triangle Refrigeration & Air","(508) 679-4368","https://www.yellowpages.com/fall-river-ma/mip/triangle-refrigeration-air-7201504?lid=1001780210783","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Refrigerators & Freezers-Dealers","http://www.triangleref.com","","425 Pleasant St","Fall River","MA","02721","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"9. ","Carbone Plumbing, Heating & Air conditioniner","(401) 400-8843","https://www.yellowpages.com/cranston-ri/mip/carbone-plumbing-heating-air-conditioniner-482152455?lid=1002097801626","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Plumbers","http://www.carboneplumbingheating.com","","511 Pippin Orchard Rd","Cranston","RI","02921","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"10. ","Desmarais Plumbing & Heating","(401) 648-6796","https://www.yellowpages.com/johnston-ri/mip/desmarais-plumbing-heating-502984446?lid=1002016330222","Air Conditioning Contractors & Systems,Fireplace Equipment,Air Conditioning Service & Repair","http://www.desmaraisplumbingheating.com","","","Johnston","RI","02919","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"11. ","Consumers Propane","(401) 229-6195","https://www.yellowpages.com/woonsocket-ri/mip/consumers-propane-484370128?lid=1002097593428","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Propane & Natural Gas","http://www.consumerspropane.com","","139 Hamlet Ave","Woonsocket","RI","02895","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
"12. ","Wood's Heating Service","(401) 434-1487","https://www.yellowpages.com/east-providence-ri/mip/woods-heating-service-23191350?lid=1000582859018","Air Conditioning Contractors & Systems,Utility Companies,Air Conditioning Service & Repair","http://woodheating.com","","22 Almeida Ave","East Providence","RI","02914","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Providence,%20Rhode%20Island"
