"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","RHP Mechanical","(775) 200-1411","https://www.yellowpages.com/reno-nv/mip/rhp-mechanical-4239240?lid=1002025391258","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Controls, Control Systems & Regulators-Wholesale & Manufacturers","https://www.rhpinc.net","","1008 E 4th St","Reno","NV","89512","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Reno,%20Nevada"
"2. ","Sierra Air-Heating And Air Conditioning","(775) 557-7466","https://www.yellowpages.com/reno-nv/mip/sierra-air-heating-and-air-conditioning-460548067?lid=1001550290789","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Home Repair & Maintenance","http://www.sierraair.com","","4875 Longley Ln","Reno","NV","89502","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Reno,%20Nevada"
"3. ","Westernaire Mechanical Service","(775) 677-1040","https://www.yellowpages.com/reno-nv/mip/westernaire-mechanical-service-1954260?lid=1002025385769","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Sheet Metal Work-Manufacturers","http://westernairereno.com","","270 Doubleback Rd","Reno","NV","89506","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Reno,%20Nevada"
"4. ","Mt. Rose Heating & Air Conditioning Inc.","(775) 329-8384","https://www.yellowpages.com/reno-nv/mip/mt-rose-heating-air-conditioning-inc-8605805?lid=1001657189936","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Landscaping Equipment & Supplies","http://www.mtrosehvac.com","","310 Sunshine Ln","Reno","NV","89502","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Reno,%20Nevada"
"5. ","HTA Plumbing & Mechanical","(775) 557-6726","https://www.yellowpages.com/reno-nv/mip/hta-plumbing-mechanical-458500192?lid=1001959375794","Heating Contractors & Specialties,Building Contractors-Commercial & Industrial,Heating Equipment & Systems","http://www.htaplumbing.com","","","Reno","NV","89501","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Reno,%20Nevada"
"6. ","Foothill Heating and Air Conditioning","(775) 384-6703","https://www.yellowpages.com/reno-nv/mip/foothill-heating-and-air-conditioning-474065800?lid=1000439702647","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","http://www.foothillheatingllc.com","","5635 Riggins Ct","Reno","NV","89502","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Reno,%20Nevada"
"7. ","Great Basin Mechanical Inc.","(775) 502-0485","https://www.yellowpages.com/reno-nv/mip/great-basin-mechanical-inc-523811053?lid=1001500606875","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Building Contractors-Commercial & Industrial","","","1327 Westfield Ave","Reno","NV","89509","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Reno,%20Nevada"
"8. ","The Auto Clinic & Mill St. Tire","(775) 979-5698","https://www.yellowpages.com/reno-nv/mip/the-auto-clinic-mill-st-tire-22751607?lid=1001766851390","Air Conditioning Contractors & Systems,Tire Dealers,Automobile Body Repairing & Painting","http://www.theautoclinicreno.com/","","3180 Mill St Ste A","Reno","NV","89502","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Reno,%20Nevada"
"9. ","Fireplace Distributors Of Nevada, Inc.","(775) 200-7261","https://www.yellowpages.com/reno-nv/mip/fireplace-distributors-of-nevada-inc-466114091?lid=1002025391250","Heating Contractors & Specialties,Heating Equipment & Systems,Kitchen Accessories","http://fireplacenv.com","","8521 White Fir St Unit C6","Reno","NV","89523","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Reno,%20Nevada"
"10. ","Gardner Engineering and Mechanical Services","(775) 329-4133","https://www.yellowpages.com/reno-nv/mip/gardner-engineering-and-mechanical-services-9558891?lid=1000642880068","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Professional Engineers","http://www.gardnereng.com","","270 E Parr Blvd","Reno","NV","89512","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Reno,%20Nevada"
