"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Rennick & Sons Plumbing Air Cond","(951) 682-0173","https://www.yellowpages.com/riverside-ca/mip/rennick-sons-plumbing-air-cond-461718549?lid=1001993626099","Air Conditioning Contractors & Systems,Furnace Repair & Cleaning,Sewer Contractors","http://www.rennickandsons.com","","135 Carlota Way","Riverside","CA","92507","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Riverside,%20California"
"2. ","C & G Air Conditioning","(951) 682-5296","https://www.yellowpages.com/riverside-ca/mip/c-g-air-conditioning-474288668?lid=1000701974452","Air Conditioning Contractors & Systems","","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Riverside,%20California"
"3. ","Paul's Pool Magic","(951) 684-3826","https://www.yellowpages.com/riverside-ca/mip/pauls-pool-magic-462556777?lid=1000453936975","Heating Contractors & Specialties,Swimming Pool Construction,Building Specialties","http://www.paulspoolmagic.com","","19510 Van Buren Blvd., Ste. F3 #139","Riverside","CA","92508","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Riverside,%20California"
"4. ","Paul's Pool Magic","(951) 684-3826","https://www.yellowpages.com/riverside-ca/mip/pauls-pool-magic-495520707?lid=1000373974487","Heating Contractors & Specialties,Sports Instruction,Building Specialties","http://www.paulspoolmagic.com","","19510 Van Buren Blvd., Ste. F3 #139","Riverside","CA","92508","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Riverside,%20California"
"5. ","CXI Constructions Contractors","(714) 453-4981","https://www.yellowpages.com/riverside-ca/mip/cxi-constructions-contractors-472905652?lid=299403785","Heating Contractors & Specialties,Home Improvements,Home Repair & Maintenance","http://www.cxiconstruction.com/ConstructionExperts/index.asp","","1061 Center St","Riverside","CA","92507","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Riverside,%20California"
"6. ","Magnolia Heating and Cooling","(951) 688-3524","https://www.yellowpages.com/riverside-ca/mip/magnolia-heating-and-cooling-469621061?lid=1000439638122","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","http://www.2getair.com","","6990 Jurupa Ave","Riverside","CA","92504","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Riverside,%20California"
"7. ","Righteous Plumbing & Rooter","(626) 839-4600","https://www.yellowpages.com/riverside-ca/mip/righteous-plumbing-rooter-470784499?lid=1000487923791","Heating Contractors & Specialties,Plumbing-Drain & Sewer Cleaning,Sewer Contractors","","","","Riverside","CA","92507","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Riverside,%20California"
"8. ","Service Experts Heating & Air Conditioning","(866) 559-9505","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-483318853?lid=1002063727546","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Duct Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Riverside,%20California"
"9. ","Service Experts Heating & Air Conditioning","(866) 559-9505","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-536110672?lid=1002063727698","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Boiler Repair & Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Riverside,%20California"
"10. ","Performance Service and Mechanical","(951) 312-4925","https://www.yellowpages.com/nationwide/mip/performance-service-and-mechanical-461046372?lid=1001702988096","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Refrigerating Equipment-Commercial & Industrial-Servicing","","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Riverside,%20California"
"11. ","Xtreme Heating & Air Conditioning, Inc.","(951) 290-3305","https://www.yellowpages.com/temecula-ca/mip/xtreme-heating-air-conditioning-inc-459089919?lid=1002080760379","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Construction Engineers","https://www.xtremeheatingair.com","","42245 Remington Ave Ste B-1","Temecula","CA","92590","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Riverside,%20California"
"12. ","First Choice Plumbing, Heating & Air Conditioning","(951) 565-4894","https://www.yellowpages.com/nationwide/mip/first-choice-plumbing-heating-air-conditioning-505276538?lid=201539377","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Equipment & Systems","http://www.firstchoiceplumbing.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Riverside,%20California"
"13. ","Amber Air Conditioning Inc.","(951) 291-7613","https://www.yellowpages.com/lake-elsinore-ca/mip/amber-air-conditioning-inc-9002821?lid=1002048396001","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","https://www.amberairconditioning.com","","29885 2nd St Suite A&b","Lake Elsinore","CA","92532","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Riverside,%20California"
"14. ","ProFlo Air Conditioning, Heating & Plumbing","(951) 383-3139","https://www.yellowpages.com/temecula-ca/mip/proflo-air-conditioning-heating-plumbing-565859232?lid=1002085126991","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Fireplaces","https://proflohvac.com","","42166 Remington Ave","Temecula","CA","92590","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Riverside,%20California"
"15. ","Desert Air Conditioning, Inc","(760) 507-4495","https://www.yellowpages.com/palm-springs-ca/mip/desert-air-conditioning-inc-14029733?lid=1002063125145","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Professional Engineers","https://www.desertairps.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Riverside,%20California"
"16. ","Graham Ricker Air Conditioning and Heating","(760) 660-4477","https://www.yellowpages.com/desert-hot-springs-ca/mip/graham-ricker-air-conditioning-and-heating-7603258?lid=1001981505292","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Containers","http://airconditioningcoachellavalley.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Riverside,%20California"
"17. ","ALLDAY HEATING & COOLING","(760) 469-9603","https://www.yellowpages.com/indio-ca/mip/allday-heating-cooling-491316145?lid=1001978529006","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Equipment & Systems","http://alldaycooling.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Riverside,%20California"
"18. ","Design Air, INC.","(951) 289-0812","https://www.yellowpages.com/colton-ca/mip/design-air-inc-548194383?lid=1002036769403","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Water Heater Repair","http://www.designair.co","","24300 Woodson Rd","Colton","CA","92324","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Riverside,%20California"
"19. ","Hyde's Air Conditioning","(760) 895-1598","https://www.yellowpages.com/indio-ca/mip/hydes-air-conditioning-557757333?lid=1002056965140","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Cleaning Contractors","https://www.hydesac.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Riverside,%20California"
"20. ","Burgeson's Heating, A/C, Electrical, Solar & Plumbing","(909) 693-3556","https://www.yellowpages.com/redlands-ca/mip/burgesons-heating-a-c-electrical-solar-plumbing-481647727?lid=1002085678354","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Cleaning Contractors","http://www.burgesons.com","","620 Tennessee St","Redlands","CA","92374","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Riverside,%20California"
"21. ","Chris Wilson Plumbing & Heating Repairs Inc","(760) 836-9321","https://www.yellowpages.com/palm-desert-ca/mip/chris-wilson-plumbing-heating-repairs-inc-503183959?lid=1002057918053","Heating Contractors & Specialties,Sewer Contractors,Professional Engineers","http://www.chriswilsonplumbingandac.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Riverside,%20California"
"22. ","Anthony's Heating & Air Conditioning","(951) 677-5263","https://www.yellowpages.com/murrieta-ca/mip/anthonys-heating-air-conditioning-456095195?lid=1002056965892","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Fireplaces","","","41615 Date St","Murrieta","CA","92562","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Riverside,%20California"
"23. ","GM Air - Air Conditioning & Heating","(760) 346-9425","https://www.yellowpages.com/rancho-mirage-ca/mip/gm-air-air-conditioning-heating-12993594?lid=1001841911972","Air Conditioning Contractors & Systems,Heating, Ventilating & Air Conditioning Engineers","http://gmair.info","","","Rancho Mirage","CA","92270","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Riverside,%20California"
