"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Service Experts Heating & Air Conditioning","(866) 559-9505","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-483318853?lid=1002063727562","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Duct Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Rochester,%20New%20York"
"2. ","Service Experts Heating & Air Conditioning","(866) 559-9505","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-536110672?lid=1002063727641","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Boiler Repair & Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Rochester,%20New%20York"
"3. ","Electrimech","(585) 643-5969","https://www.yellowpages.com/east-rochester-ny/mip/electrimech-23283706?lid=172203562","Heating Contractors & Specialties,Electricians,Electric Contractors-Commercial & Industrial","http://www.electri-mech.com","","404 McKinley St","East Rochester","NY","14445","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Rochester,%20New%20York"
"4. ","Advanced Heating And Cooling","(585) 381-2590","https://www.yellowpages.com/penfield-ny/mip/advanced-heating-and-cooling-5883544?lid=404980272","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Fireplace Equipment","http://www.advanced-heating.com","","2104 Five Mile Line Rd","Penfield","NY","14526","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Rochester,%20New%20York"
"5. ","Service Experts Heating & Air Conditioning","(888) 984-1997","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-518506814?lid=1001724808431","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Plumbing Contractors-Commercial & Industrial","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Rochester,%20New%20York"
"6. ","Isaac Heating and Air Conditioning","(585) 546-1400","https://www.yellowpages.com/rochester-ny/mip/isaac-heating-and-air-conditioning-11379406","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","http://www.isaacheating.com","","50 Holleder Pkwy","Rochester","NY","14615","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Rochester,%20New%20York"
"7. ","Ed Tschetter's Heating & Cooling","(585) 458-9806","https://www.yellowpages.com/rochester-ny/mip/ed-tschetters-heating-cooling-679993","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Duct Cleaning","http://www.tschetterheating.com","","669 Ridgeway Ave","Rochester","NY","14615","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Rochester,%20New%20York"
"8. ","Universal Heating","(585) 328-1423","https://www.yellowpages.com/rochester-ny/mip/universal-heating-464682041","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Equipment & Systems","http://www.universal-heating.com?y_source=1_mta3mdy3ms01ntmtbg9jyxrpb24ud2vic2l0zq%3d%3d","","926 W Main St","Rochester","NY","14611","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Rochester,%20New%20York"
"9. ","Michael Boccacino Inc Heating & Cooling","(585) 454-2120","https://www.yellowpages.com/rochester-ny/mip/michael-boccacino-inc-heating-cooling-467382415","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Duct Cleaning","https://www.hvacservicerochester.com","","274 N Goodman St","Rochester","NY","14607","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Rochester,%20New%20York"
"10. ","Joe Ackerman Heating & AC Inc","(585) 225-1719","https://www.yellowpages.com/rochester-ny/mip/joe-ackerman-heating-ac-inc-457996776","Air Conditioning Contractors & Systems,Heating Contractors & Specialties","http://heil-hvac.com","","214 Wood Run","Rochester","NY","14612","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Rochester,%20New%20York"
"11. ","Heating and Air Conditioning from The Home Depot","(855) 892-2443","https://www.yellowpages.com/rochester-ny/mip/heating-and-air-conditioning-from-the-home-depot-470764767","Heating Contractors & Specialties,Heating Equipment & Systems","http://www.homedepot.com","","","Rochester","NY","14615","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Rochester,%20New%20York"
"12. ","Huether Heating & Cooling","(585) 426-2034","https://www.yellowpages.com/rochester-ny/mip/huether-heating-cooling-917628","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Duct Cleaning","http://www.huetherheatingandcooling.com","","3041 Buffalo Rd","Rochester","NY","14624","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Rochester,%20New%20York"
"13. ","AM-PM Polisseni Inc Plumbing & Heating","(585) 621-5703","https://www.yellowpages.com/rochester-ny/mip/am-pm-polisseni-inc-plumbing-heating-6827208","Heating Contractors & Specialties,Water Heater Repair,Bathroom Remodeling","http://ampm.com","","3220 Mount Read Blvd","Rochester","NY","14616","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Rochester,%20New%20York"
"14. ","Spark's Monroe Heating & Chimney","(585) 581-2419","https://www.yellowpages.com/rochester-ny/mip/sparks-monroe-heating-chimney-474260408","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Chimney Contractors","","","1289 Clifford Ave","Rochester","NY","14621","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Rochester,%20New%20York"
"15. ","Kennedy Mechanical Plumbing & Heating","(585) 232-2800","https://www.yellowpages.com/rochester-ny/mip/kennedy-mechanical-plumbing-heating-461604110","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Sewer Cleaners & Repairers","http://www.ryanservice.com","","11 Comfort St","Rochester","NY","14620","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Rochester,%20New%20York"
"16. ","Kenron Industrial Air Conditioning Inc","(585) 442-5600","https://www.yellowpages.com/rochester-ny/mip/kenron-industrial-air-conditioning-inc-901044","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Duct Cleaning","http://www.kenron.com","","299 Gregory St","Rochester","NY","14620","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Rochester,%20New%20York"
"17. ","Taylor Heating Inc","(585) 500-4357","https://www.yellowpages.com/rochester-ny/mip/taylor-heating-inc-541639534","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Duct Cleaning","http://www.taylorheating.com","","1775 Buffalo Rd","Rochester","NY","14624","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Rochester,%20New%20York"
