"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Sameday Heating & Air Plumbing & Electric","(385) 715-1321","https://www.yellowpages.com/salt-lake-city-ut/mip/sameday-heating-air-plumbing-electric-9906800?lid=1001764767047","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Equipment & Systems","http://lennox.com","","145 W 2950 S","Salt Lake City","UT","84115","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Salt%20Lake%20City,%20Utah"
"2. ","Tingey Plumbing & Heating","(801) 262-8464","https://www.yellowpages.com/salt-lake-city-ut/mip/tingey-plumbing-heating-457951882?lid=1002064414791","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Boilers Equipment, Parts & Supplies","","","4518 S Commerce Dr","Salt Lake City","UT","84107","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Salt%20Lake%20City,%20Utah"
"3. ","Manwill Plumbing Heating & Air Conditioning","(801) 506-6249","https://www.yellowpages.com/salt-lake-city-ut/mip/manwill-plumbing-heating-air-conditioning-1494728?lid=1002084479235","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Cleaning Contractors","http://www.manwill.net","","385 E 3900 S","Salt Lake City","UT","84107","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Salt%20Lake%20City,%20Utah"
"4. ","Wernli Inc","(801) 895-3119","https://www.yellowpages.com/salt-lake-city-ut/mip/wernli-inc-1834709?lid=1001877984080","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Major Appliance Refinishing & Repair","http://wernliusa.com","","264 S Glendale St","Salt Lake City","UT","84104","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Salt%20Lake%20City,%20Utah"
"5. ","G & D Heating & Air Conditioning","(801) 938-8023","https://www.yellowpages.com/salt-lake-city-ut/mip/g-d-heating-air-conditioning-965425?lid=1001908209160","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Fireplaces","","","4119 W 5900 S","Salt Lake City","UT","84118","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Salt%20Lake%20City,%20Utah"
"6. ","Walton Plumbing Heating Air","(801) 266-7155","https://www.yellowpages.com/salt-lake-city-ut/mip/walton-plumbing-heating-air-6532466?lid=1001997254208","Air Conditioning Contractors & Systems,Building Contractors-Commercial & Industrial,Plumbing Contractors-Commercial & Industrial","http://www.gotplumbingslc.com","","1438 E Kensington Ave","Salt Lake City","UT","84105","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Salt%20Lake%20City,%20Utah"
"7. ","Comfort Zone Heating & Air Conditioning","(385) 210-1220","https://www.yellowpages.com/salt-lake-city-ut/mip/comfort-zone-heating-air-conditioning-559933493?lid=1001871002462","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","http://comfortzoneusa.com","","2781 S 300 W","Salt Lake City","UT","84115","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Salt%20Lake%20City,%20Utah"
"8. ","Carman Refrigeration Commercial Sales & Service","(801) 364-6651","https://www.yellowpages.com/salt-lake-city-ut/mip/carman-refrigeration-commercial-sales-service-507435352?lid=1001984829277","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","http://www.carmanrefrigeration.com","","633 N 300 W","Salt Lake City","UT","84103","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Salt%20Lake%20City,%20Utah"
"9. ","Aire-Flo Heating & Air Conditioning","(385) 715-5852","https://www.yellowpages.com/salt-lake-city-ut/mip/aire-flo-heating-air-conditioning-21149762?lid=1001609129950","Heating Contractors & Specialties,Professional Engineers,Construction Engineers","http://www.aireflo.cc","","4555 S Commerce Dr","Salt Lake City","UT","84107","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Salt%20Lake%20City,%20Utah"
"10. ","Filter Technologies","(801) 485-7500","https://www.yellowpages.com/salt-lake-city-ut/mip/filter-technologies-469462615?lid=1002069219333","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Fireplace Equipment","","","2922 S 300 W","Salt Lake City","UT","84115","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Salt%20Lake%20City,%20Utah"
"11. ","Comfort Systems USA Intermountain Inc Company","(385) 419-2834","https://www.yellowpages.com/salt-lake-city-ut/mip/comfort-systems-usa-intermountain-inc-company-1407474?lid=1002063125576","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Fireplace Equipment","http://comfortsystemsutah.com","","2035 S Milestone Dr","Salt Lake City","UT","84104","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Salt%20Lake%20City,%20Utah"
"12. ","Flinn Automotive","(385) 715-2994","https://www.yellowpages.com/salt-lake-city-ut/mip/flinn-automotive-470812165?lid=1002014453982","Air Conditioning Contractors & Systems,Emissions Inspection Stations,Auto Oil & Lube","http://www.flinnauto.com","","156 W Haven Ave","Salt Lake City","UT","84115","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Salt%20Lake%20City,%20Utah"
"13. ","Superior Water and Air","(801) 207-7288","https://www.yellowpages.com/salt-lake-city-ut/mip/superior-water-and-air-8908394?lid=1001355806820","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","http://www.superiorwaterandair.com","","3536 S 1950 W","Salt Lake City","UT","84119","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Salt%20Lake%20City,%20Utah"
"14. ","Luxaire Sunbeam","(801) 466-8670","https://www.yellowpages.com/salt-lake-city-ut/mip/luxaire-sunbeam-3159599?lid=1000544633429","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","https://twitter.com/sievertsluxaire","","3120 S Metropolitan Way","Salt Lake City","UT","84109","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Salt%20Lake%20City,%20Utah"
"15. ","Modern Furnace & Air Conditioning, LLC","(801) 581-0068","https://www.yellowpages.com/salt-lake-city-ut/mip/modern-furnace-air-conditioning-llc-513200721?lid=1001214828627","Air Conditioning Contractors & Systems,Air Conditioning Service & Repair,Furnaces-Heating","http://www.modernfurnace.net","","135 E Gordon Ln Apt 4","Salt Lake City","UT","84107","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Salt%20Lake%20City,%20Utah"
"16. ","Service Experts Heating & Air Conditioning","(866) 397-5404","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-483318853?lid=1001747909912","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Duct Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Salt%20Lake%20City,%20Utah"
"17. ","Comfort Solutions","(385) 432-5621","https://www.yellowpages.com/nationwide/mip/comfort-solutions-467790290?lid=1000434953668","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","http://www.comfortsolutionsutah.com/","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Salt%20Lake%20City,%20Utah"
"18. ","Paul Brothers Heating & Air","(385) 645-7680","https://www.yellowpages.com/midvale-ut/mip/paul-brothers-heating-air-548753003?lid=1002059686219","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Professional Engineers","https://paulbrothersutah.com","","Po Box 33","Midvale","UT","84047","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Salt%20Lake%20City,%20Utah"
"19. ","Burrows Heating & Cooling","(801) 781-5662","https://www.yellowpages.com/nationwide/mip/burrows-heating-cooling-16717998?lid=1000544627752","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Boilers Equipment, Parts & Supplies","http://www.burrowsheating.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Salt%20Lake%20City,%20Utah"
"20. ","Hartman Heating, Air and Fireplaces","(801) 203-3294","https://www.yellowpages.com/nationwide/mip/hartman-heating-air-and-fireplaces-18221315?lid=1001895699359","Air Conditioning Contractors & Systems,Professional Engineers,Construction Engineers","http://www.hartmanheating.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Salt%20Lake%20City,%20Utah"
"21. ","1st American Plumbing, Heating & Air","(801) 683-9949","https://www.yellowpages.com/south-jordan-ut/mip/1st-american-plumbing-heating-air-530252944?lid=1002103330479","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Equipment & Systems","https://1stamericanplumbing.com","","10961 S River Front Pkwy","South Jordan","UT","84095","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Salt%20Lake%20City,%20Utah"
