"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","FitzGerald Contractors LLC","(318) 532-4956","https://www.yellowpages.com/shreveport-la/mip/fitzgerald-contractors-llc-5018602?lid=1000235842078","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","http://www.fitzgeraldcontractors.com","","7103 Saint Vincent Ave","Shreveport","LA","71106","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Shreveport,%20Louisiana"
"2. ","Service Experts Heating & Air Conditioning","(318) 300-4351","https://www.yellowpages.com/shreveport-la/mip/service-experts-heating-air-conditioning-547054444?lid=1001954017353","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","","","8932 Jewella Ave Suite B","Shreveport","LA","71118","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Shreveport,%20Louisiana"
"3. ","T D Refrigeration Inc","(318) 588-6446","https://www.yellowpages.com/shreveport-la/mip/t-d-refrigeration-inc-21908938?lid=1000597595031","Air Conditioning Contractors & Systems,Major Appliances,Food Processing Equipment & Supplies","http://www.tdrefrigeration.com","","1907 Claiborne Ave","Shreveport","LA","71103","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Shreveport,%20Louisiana"
"4. ","Premier Plumbing Heating & Cooling Contractors","(318) 771-7286","https://www.yellowpages.com/shreveport-la/mip/premier-plumbing-heating-cooling-contractors-481933867?lid=1000662589583","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Equipment & Systems","http://www.premiercomfortsystems.com","","2530 Linwood Ave","Shreveport","LA","71103","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Shreveport,%20Louisiana"
"5. ","Air Ref Inc","(318) 716-3625","https://www.yellowpages.com/shreveport-la/mip/air-ref-inc-524808180?lid=1001433800903","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Cleaning Contractors","http://www.airrefinc.com","","4110 Curtis Ln","Shreveport","LA","71109","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Shreveport,%20Louisiana"
"6. ","Service Experts Heating & Air Conditioning","(318) 230-7890","https://www.yellowpages.com/shreveport-la/mip/service-experts-heating-air-conditioning-524125387?lid=1002030317333","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heat Pumps","http://www.serviceexpertsla.com/ypdefault","","8932 Jewella Ave","Shreveport","LA","71118","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Shreveport,%20Louisiana"
"7. ","Air Care Heating & Cooling Services Inc","(318) 525-7923","https://www.yellowpages.com/shreveport-la/mip/air-care-heating-cooling-services-inc-482422237?lid=1001986364246","Air Conditioning Contractors & Systems,Heating Contractors & Specialties","http://aircarehvac.net","","1153 Hawn Ave","Shreveport","LA","71107","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Shreveport,%20Louisiana"
"8. ","Universal Plumbing","(318) 936-2407","https://www.yellowpages.com/shreveport-la/mip/universal-plumbing-462467649?lid=1000635721669","Heating Contractors & Specialties,Gas Equipment-Service & Repair,Building Contractors-Commercial & Industrial","http://www.universalplumbingshreveportla.com","","2705 Linwood Ave","Shreveport","LA","71103","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Shreveport,%20Louisiana"
"9. ","Rinchuso's Plumbing & Heating Inc","(318) 524-7212","https://www.yellowpages.com/shreveport-la/mip/rinchusos-plumbing-heating-inc-518350347?lid=1001302901374","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Sewer Contractors","http://www.rinchusosplumbingandheating.com","","607 Mount Zion Rd","Shreveport","LA","71106","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Shreveport,%20Louisiana"
"10. ","Summer Grove Auto Care","(318) 671-1018","https://www.yellowpages.com/shreveport-la/mip/summer-grove-auto-care-460689319?lid=1001433794070","Air Conditioning Contractors & Systems,Tire Dealers,Automobile Body Repairing & Painting","http://autovalue.com","","9251 Mansfield Rd","Shreveport","LA","71118","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Shreveport,%20Louisiana"
