"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Halo Heating & Air, Inc.","(509) 558-8591","https://www.yellowpages.com/spokane-wa/mip/halo-heating-air-inc-523215420?lid=1002104393949","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Fireplaces","","","914 S. Monroe St. PMB 123","Spokane","WA","99204","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Spokane,%20Washington"
"2. ","Andrews Mechanical Inc","(509) 850-9182","https://www.yellowpages.com/spokane-wa/mip/andrews-mechanical-inc-462266115?lid=1002073196325","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","http://www.andrewsmechanical.com","","2727 N Madelia St Ste 8","Spokane","WA","99207","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Spokane,%20Washington"
"3. ","All Star Plumbing, Inc.","(509) 466-3930","https://www.yellowpages.com/spokane-wa/mip/all-star-plumbing-inc-1458209?lid=1002101332866","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Plumbing-Drain & Sewer Cleaning","","","7608 N Market St","Spokane","WA","99217","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Spokane,%20Washington"
"4. ","Bachman and Long Heating and Air, LLC","(509) 381-4036","https://www.yellowpages.com/spokane-valley-wa/mip/bachman-and-long-heating-and-air-llc-523221556?lid=1002005303119","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Fireplaces","http://www.bachmanandlongheating.com","","1224 S Reeves Rd","Spokane Valley","WA","99206","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Spokane,%20Washington"
"5. ","Building Comfort , LLC","(208) 966-6013","https://www.yellowpages.com/nationwide/mip/building-comfort-llc-463446681?lid=1002102099344","Heating Contractors & Specialties,Heating, Ventilating & Air Conditioning Engineers,Heat Pumps","http://americanstandardair.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Spokane,%20Washington"
"6. ","The Barton Boys","(509) 892-5300","https://www.yellowpages.com/spokane-valley-wa/mip/the-barton-boys-469940780?lid=1002102707350","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","http://bartonboys.com","","7221 E Nora Ave","Spokane Valley","WA","99212","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Spokane,%20Washington"
"7. ","Comfort Mechanical Contractors, Inc.","(509) 598-3430","https://www.yellowpages.com/spokane-valley-wa/mip/comfort-mechanical-contractors-inc-11353113?lid=1002063724184","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","http://www.comfortmechanicalcontractors.com","","11327 E Montgomery Dr Ste 4","Spokane Valley","WA","99206","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Spokane,%20Washington"
"8. ","Platinum Contracting","(509) 590-4136","https://www.yellowpages.com/nationwide/mip/platinum-contracting-567134758?lid=1002093213861","Heating Contractors & Specialties,Water Heater Repair,Plumbers","https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1653462047133.0ea76142&ADID=12282829&DEST=https%3A%2F%2Fplatinumcontractingwa2.mydex.com%2FTKS7k5_Hrxw&C=HVAC%20Companies&T=Spokane&S=WA&PH=(509)%20590-4136&FL=url&TL=off&position=7&PS=30&PI=1&Results=FEED_CLCK&uid=0ea76142-0b4a-4d26-9876-34285e5108dd&REF=&IP=185.183.33.19&UserAgent=Mozilla%2F5.0%20(X11%3B%20Linux%20x86_64)%20AppleWebKit%2F537.36%20(KHTML%2C%20like%20Gecko)%20Chrome%2F64.0.3282.140%20Safari%2F537.36","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Spokane,%20Washington"
"9. ","Trane","(509) 535-9057","https://www.yellowpages.com/spokane-wa/mip/trane-7740308","Air Conditioning Contractors & Systems","http://trane.com","","715 N Hogan St","Spokane","WA","99202","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Spokane,%20Washington"
"10. ","Advanced Mechanical Systems","(509) 534-0547","https://www.yellowpages.com/spokane-wa/mip/advanced-mechanical-systems-9740457","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Major Appliances","","","1711 E Trent Ave","Spokane","WA","99202","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Spokane,%20Washington"
"11. ","PRO Heating & Air Conditioning","(509) 483-1305","https://www.yellowpages.com/spokane-wa/mip/pro-heating-air-conditioning-3112609","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Major Appliances","","","4808 N Rebecca St","Spokane","WA","99217","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Spokane,%20Washington"
"12. ","Therm-All Inc","(509) 533-0806","https://www.yellowpages.com/spokane-wa/mip/therm-all-inc-459023729","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Geothermal Heating & Cooling Contractors","","","2902 E Boone Ave","Spokane","WA","99202","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Spokane,%20Washington"
"13. ","Bachman Heating & AC","(509) 216-2436","https://www.yellowpages.com/spokane-wa/mip/bachman-heating-ac-18984060","Air Conditioning Contractors & Systems","","","6525 N Victor St","Spokane","WA","99208","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Spokane,%20Washington"
"14. ","Air","(509) 850-9294","https://www.yellowpages.com/spokane-wa/mip/air-470109431","Air Conditioning Contractors & Systems","","","","Spokane","WA","99224","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Spokane,%20Washington"
"15. ","R&R Heating & Air Conditioning","(509) 484-1405","https://www.yellowpages.com/spokane-wa/mip/r-r-heating-air-conditioning-462648116","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Duct Cleaning","https://www.randrheating.com","","5202 N Florida St","Spokane","WA","99217","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Spokane,%20Washington"
"16. ","Air & Heating Accuflo","(509) 921-1035","https://www.yellowpages.com/spokane-wa/mip/air-heating-accuflo-13309054","Air Conditioning Contractors & Systems,Heating Contractors & Specialties","https://www.facebook.com/accuflospokane","","9922 E Montgomery Ave","Spokane","WA","99206","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Spokane,%20Washington"
"17. ","MacDonald-Miller Facility Solutions","(509) 862-1910","https://www.yellowpages.com/spokane-wa/mip/macdonald-miller-facility-solutions-563726525","Heating Contractors & Specialties","https://macmiller.com/contact/locations/spokane","","818 W Riverside Ave # 415","Spokane","WA","99201","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Spokane,%20Washington"
"18. ","Air Pros - Spokane","(509) 537-3206","https://www.yellowpages.com/spokane-wa/mip/air-pros-spokane-558824368","Air Conditioning Contractors & Systems,Air Conditioning Equipment & Systems","https://www.airprosusa.com","","407 N Madelia St","Spokane","WA","99202","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Spokane,%20Washington"
"19. ","Lennox Stores (PartsPlus)","(509) 866-7300","https://www.yellowpages.com/spokane-wa/mip/lennox-stores-partsplus-560615661","Air Conditioning Contractors & Systems,Heating Equipment & Systems","https://www.lennoxpros.com/stores/store-locations/spokane-wa","","2710 E Ferry Ave","Spokane","WA","99202","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Spokane,%20Washington"
"20. ","B&C Heating & Air Conditioning","(509) 927-8861","https://www.yellowpages.com/spokane-wa/mip/b-c-heating-air-conditioning-5637233","Heating Contractors & Specialties","http://dealer.maytaghvac.com/BCHEATINGAIR-SPOKANE-WA","","14412 E. Cataldo","Spokane","WA","99216","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Spokane,%20Washington"
"21. ","Einstein Plumbing and Heating","(509) 319-2780","https://www.yellowpages.com/spokane-wa/mip/einstein-plumbing-and-heating-524637527","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Geothermal Heating & Cooling Contractors","https://einsteinplumbing.com/spokane-wa","","1325 W 1st Ave","Spokane","WA","99201","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Spokane,%20Washington"
"22. ","Rick's Plumbing & Heating Inc.","(509) 995-9788","https://www.yellowpages.com/spokane-wa/mip/ricks-plumbing-heating-inc-20805363","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Plumbers","","","PO Box 3874","Spokane","WA","99220","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Spokane,%20Washington"
"23. ","Advance Technology Heating","(509) 242-3320","https://www.yellowpages.com/spokane-wa/mip/advance-technology-heating-560397554","Air Conditioning Contractors & Systems,Heating Contractors & Specialties","","","418 E Pacific Ave","Spokane","WA","99202","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Spokane,%20Washington"
"24. ","Air Reps","(503) 620-4300","https://www.yellowpages.com/spokane-wa/mip/air-reps-548734601","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Major Appliances","https://airreps.com/event/abb-startup-class-spokane-071719","","1710 N Calispel St","Spokane","WA","99205","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Spokane,%20Washington"
"25. ","High Efficiency Heating & Air","(509) 499-1545","https://www.yellowpages.com/spokane-wa/mip/high-efficiency-heating-air-462263314","Air Conditioning Contractors & Systems,Heating Contractors & Specialties","","","715 E Sprague Ave","Spokane","WA","99202","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Spokane,%20Washington"
"26. ","Climate Control Company","(509) 326-5859","https://www.yellowpages.com/spokane-wa/mip/climate-control-company-5178092","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","","","201 E Augusta Ave Ste 204","Spokane","WA","99207","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Spokane,%20Washington"
