"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Parker Services Air Conditioning & Heating","(850) 270-1794","https://www.yellowpages.com/tallahassee-fl/mip/parker-services-air-conditioning-heating-13673142?lid=1002032431819","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Construction Engineers","http://tallahasseeac.com","","1600 Mills St","Tallahassee","FL","32310","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tallahassee,%20Florida"
"2. ","E & B Heating And A/C Inc","(850) 629-0496","https://www.yellowpages.com/tallahassee-fl/mip/e-b-heating-and-a-c-inc-21746712?lid=157783059","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Professional Engineers","http://www.eandbheatandair.com","","868 Blountstown St","Tallahassee","FL","32304","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tallahassee,%20Florida"
"3. ","Cooper's Heating & Air","(850) 629-0075","https://www.yellowpages.com/tallahassee-fl/mip/coopers-heating-air-458133381?lid=1001090955422","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Duct Cleaning","http://www.callcoopers.com","","5215 W Tharpe St","Tallahassee","FL","32303","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tallahassee,%20Florida"
"4. ","Keith Lawson Services LLC","(850) 391-4846","https://www.yellowpages.com/tallahassee-fl/mip/keith-lawson-services-llc-503505972?lid=1002032038177","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Building Contractors-Commercial & Industrial","https://www.keithlawson.com","","4557 Capital Cir NW","Tallahassee","FL","32303","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tallahassee,%20Florida"
"5. ","Todd King's Heating & Cooling","(850) 907-5772","https://www.yellowpages.com/tallahassee-fl/mip/todd-kings-heating-cooling-16780738?lid=1002048394707","Air Conditioning Contractors & Systems,Fireplaces,Fireplace Equipment","http://www.toddkingsheatingandcooling.com","","2416 Tippecanoe Rdg","Tallahassee","FL","32303","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tallahassee,%20Florida"
"6. ","Air Control Heating & Cooling","(850) 739-3881","https://www.yellowpages.com/tallahassee-fl/mip/air-control-heating-cooling-481079278?lid=1002073209985","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems","https://aircontrolheatingandcooling.com","","3520 N Monroe St","Tallahassee","FL","32303","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tallahassee,%20Florida"
"7. ","Brown's Refrigeration","(850) 877-2226","https://www.yellowpages.com/tallahassee-fl/mip/browns-refrigeration-2595017?lid=1001942949233","Air Conditioning Contractors & Systems,Refrigerating Equipment-Commercial & Industrial-Servicing,Food Processing Equipment & Supplies","http://brownsrefrigeration.com","","4020 Woodville Hwy Ste D","Tallahassee","FL","32305","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tallahassee,%20Florida"
"8. ","Scott Burnett Inc-Mechanical Contractors","(850) 270-4682","https://www.yellowpages.com/tallahassee-fl/mip/scott-burnett-inc-mechanical-contractors-21366361?lid=1002104191631","Air Conditioning Contractors & Systems,Professional Engineers,Construction Engineers","http://scottburnett.com","","711 W Gaines","Tallahassee","FL","32304","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tallahassee,%20Florida"
"9. ","Import Authority","(850) 629-0110","https://www.yellowpages.com/tallahassee-fl/mip/import-authority-546004311?lid=205888915","Air Conditioning Contractors & Systems,Automotive Tune Up Service,Mufflers & Exhaust Systems","http://www.importauthorityfl.com","","2877 W Tharpe St","Tallahassee","FL","32303","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tallahassee,%20Florida"
"10. ","Advanced Plumbing Co., Inc.","(850) 778-9434","https://www.yellowpages.com/tallahassee-fl/mip/advanced-plumbing-co-inc-11048076?lid=1002001779029","Air Conditioning Contractors & Systems,Heating Equipment & Systems,Fireplace Equipment","http://advancedplumbinginc.com","","657 W Brevard St","Tallahassee","FL","32304","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tallahassee,%20Florida"
