"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Plan B Ac, LLC","(813) 678-2039","https://www.yellowpages.com/tampa-fl/mip/plan-b-ac-llc-556807758?lid=1002073196201","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Equipment & Systems","https://planbairconditioning.com","","333 N Falkenburg Rd Suite B-212","Tampa","FL","33619","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tampa,%20Florida"
"2. ","French's Air Conditioning","(813) 694-2242","https://www.yellowpages.com/tampa-fl/mip/frenchs-air-conditioning-17737607?lid=1002028387465","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Professional Engineers","http://frenchac.com","","3818 N 40th St","Tampa","FL","33610","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tampa,%20Florida"
"3. ","Lamb's Air Conditioning","(813) 906-6396","https://www.yellowpages.com/tampa-fl/mip/lambs-air-conditioning-16781804?lid=1002095880509","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","https://www.usaircon.com","","2103 W Elm St","Tampa","FL","33604","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tampa,%20Florida"
"4. ","Olin Mott Tire Stores","(813) 609-5022","https://www.yellowpages.com/tampa-fl/mip/olin-mott-tire-stores-7949364?lid=1002104189478","Air Conditioning Contractors & Systems,Automobile Parts & Supplies,Automobile Accessories","http://www.olinmott.com","","3741 Hillsborough Ave","Tampa","FL","33610","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tampa,%20Florida"
"5. ","Carolco Industrial Service","(813) 501-3930","https://www.yellowpages.com/tampa-fl/mip/carolco-industrial-service-15897766?lid=1002104190545","Air Conditioning Contractors & Systems,Fireplace Equipment,Air Conditioning Service & Repair","http://carolcoindustrialinsulation.com","","4611 South 50th St","Tampa","FL","33619","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tampa,%20Florida"
"6. ","Greg Bailey's Automotive","(813) 536-7634","https://www.yellowpages.com/tampa-fl/mip/greg-baileys-automotive-15653255?lid=1002100940686","Air Conditioning Contractors & Systems,Automobile Body Repairing & Painting,Automobile Parts & Supplies","http://www.gregbaileyautomotive.com","","3712 N Florida Ave","Tampa","FL","33603","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tampa,%20Florida"
"7. ","Ray Duncan Plumbing Inc","(727) 275-1649","https://www.yellowpages.com/tampa-fl/mip/ray-duncan-plumbing-inc-468533377?lid=1002103594087","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Plumbers","https://plumbingtoday.biz/ray-duncan/?utm_source=Rocketlisting&utm_medium=referral","","5401 E Sligh Ave","Tampa","FL","33617","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tampa,%20Florida"
"8. ","Running Great Auto","(813) 531-7018","https://www.yellowpages.com/tampa-fl/mip/running-great-auto-1235059?lid=1002001779622","Air Conditioning Contractors & Systems,Wheels-Aligning & Balancing,Auto Transmission","http://www.runninggreatauto.com","","14513 N Nebraska Ave","Tampa","FL","33613","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tampa,%20Florida"
"9. ","AAA Airwaves","(813) 247-9283","https://www.yellowpages.com/tampa-fl/mip/aaa-airwaves-540754713?lid=1001986131987","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Duct Cleaning","http://www.aaaairwaves.com","","","Tampa","FL","33625","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tampa,%20Florida"
"10. ","Gulf Coast Air Systems","(813) 689-2082","https://www.yellowpages.com/tampa-fl/mip/gulf-coast-air-systems-79091?lid=1001854692444","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Equipment & Systems","https://gulfcoastairsystems.com","","5411 Comfort DR","Tampa","FL","33610","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tampa,%20Florida"
"11. ","Crumpton Welding Supplies & Equipment Inc","(813) 248-8150","https://www.yellowpages.com/tampa-fl/mip/crumpton-welding-supplies-equipment-inc-546098185?lid=1000439710442","Heating Contractors & Specialties,Construction & Building Equipment,Metal Tubing","https://crumptonws.com","","1602 N 34th St","Tampa","FL","33605","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tampa,%20Florida"
"12. ","All Solar Power Repair & Installation","(813) 933-1454","https://www.yellowpages.com/tampa-fl/mip/all-solar-power-repair-installation-452229342?lid=1001965342621","Heating Contractors & Specialties,Energy Conservation Consultants,Solar Energy Equipment & Systems-Dealers","http://www.allsolar.com","","","Tampa","FL","33614","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tampa,%20Florida"
"13. ","All American Gas Services","(813) 920-9500","https://www.yellowpages.com/tampa-fl/mip/all-american-gas-services-16580411?lid=1001583795107","Heating Contractors & Specialties,Gas Equipment-Service & Repair,Heating Equipment & Systems","http://allamericangasservice.com","","9627 Ware Cir","Tampa","FL","33619","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tampa,%20Florida"
"14. ","Diverse Air Conditioning & Refrigeration Solutions Inc.","(813) 323-0329","https://www.yellowpages.com/tampa-fl/mip/diverse-air-conditioning-refrigeration-solutions-inc-525699705?lid=1001505436541","Air Conditioning Contractors & Systems,Air Conditioning Equipment & Systems,Air Duct Cleaning","http://www.diverseacr.com","","2266 Cedar Trace Cir","Tampa","FL","33613","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tampa,%20Florida"
"15. ","Millian-Aire Enterprises Corp","(800) 595-0516","https://www.yellowpages.com/nationwide/mip/millian-aire-enterprises-corp-526208305?lid=1002059524544","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Conditioning Service & Repair","http://www.millian-aire.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tampa,%20Florida"
"16. ","Service Experts Heating & Air Conditioning","(866) 397-5404","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-483318853?lid=1001735736383","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Air Duct Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tampa,%20Florida"
"17. ","R J  Kielty Heating & Cooling","(844) 577-3669","https://www.yellowpages.com/new-port-richey-fl/mip/r-j-kielty-heating-cooling-543683030?lid=1002042931741","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Professional Engineers","http://www.rjkielty.com","","7979 Massachusetts Ave","New Port Richey","FL","34653","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tampa,%20Florida"
"18. ","Air Masters of Tampa Bay","(813) 279-6492","https://www.yellowpages.com/nationwide/mip/air-masters-of-tampa-bay-21833454?lid=157784056","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Heating Equipment & Systems-Repairing","http://www.airmasters.net","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tampa,%20Florida"
"19. ","Sears Home Improvements - Heating Contractors & Specialties","(888) 950-7276","https://www.yellowpages.com/nationwide/mip/sears-home-improvements-heating-contractors-specialties-461844465?lid=151489403","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Ventilating Contractors","http://www.searshomeimprovements.com/ProductOffer1.aspx?o=2&t=509","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tampa,%20Florida"
"20. ","Service Experts Heating & Air Conditioning","(888) 539-4999","https://www.yellowpages.com/nationwide/mip/service-experts-heating-air-conditioning-536110672?lid=1001724808590","Air Conditioning Contractors & Systems,Heating Contractors & Specialties,Boiler Repair & Cleaning","http://www.serviceexperts.com","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tampa,%20Florida"
"21. ","Future Controls","(239) 693-1313","https://www.yellowpages.com/fort-myers-fl/mip/future-controls-518146?lid=1002016318490","Air Conditioning Contractors & Systems,General Contractors,Building Contractors","","","","","","","https://www.yellowpages.com/search?search_terms=HVAC%20Companies&geo_location_terms=Tampa,%20Florida"
