"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Prime Atlanta Helicopters","(470) 230-9728","https://www.yellowpages.com/atlanta-ga/mip/prime-atlanta-helicopters-548873931","Helicopter Charter & Rental Service","http://primeatlantahelicopters.com","","3948 Aviation Cir NW","Atlanta","GA","30336","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Atlanta,%20Georgia"
"2. ","Helicopter Express Inc.","(770) 963-6889","https://www.yellowpages.com/atlanta-ga/mip/helicopter-express-inc-15289274","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","http://www.helicopterexpress.com","","2025 Flightway Dr","Atlanta","GA","30341","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Atlanta,%20Georgia"
"3. ","Prestige Helicopters","(770) 458-6047","https://www.yellowpages.com/atlanta-ga/mip/prestige-helicopters-16768291","Helicopter Charter & Rental Service,Aerial Patrol & Inspection Service,Motion Picture Film Services","http://www.prestigehelicopters.com","","2001 Flightway Dr","Atlanta","GA","30341","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Atlanta,%20Georgia"
"4. ","Helicopter Sales & Service","(404) 767-5900","https://www.yellowpages.com/atlanta-ga/mip/helicopter-sales-service-22267248","Helicopter Charter & Rental Service,Aircraft Dealers","","","495 Lake Mirror Rd","Atlanta","GA","30349","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Atlanta,%20Georgia"
"5. ","Private Jet Charter Atlanta","(404) 662-4200","https://www.yellowpages.com/atlanta-ga/mip/private-jet-charter-atlanta-525730871","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing,Boat Rental & Charter","http://www.privatejetcharteratlanta.com","","210 Interstate North Pkwy SE","Atlanta","GA","30339","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Atlanta,%20Georgia"
"6. ","Alcatraz Media","(678) 250-7375","https://www.yellowpages.com/atlanta-ga/mip/alcatraz-media-3955769","Helicopter Charter & Rental Service,Boat Rental & Charter,Travel Agencies","http://www.alcatrazmedia.com","","8200 Roberts Dr Ste 205","Atlanta","GA","30350","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Atlanta,%20Georgia"
"7. ","Atlanta Fancy Limousine and Helicopter","(404) 925-5746","https://www.yellowpages.com/nationwide/mip/atlanta-fancy-limousine-and-helicopter-21057020","Helicopter Charter & Rental Service","","","","","","","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Atlanta,%20Georgia"
"8. ","321 PILOT TRAINING","(877) 799-9491","https://www.yellowpages.com/nationwide/mip/321-pilot-training-23233498","Helicopter Charter & Rental Service,Aircraft Dealers,Aircraft-Charter, Rental & Leasing","","","","","","","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Atlanta,%20Georgia"
"9. ","Alpha Helicopters","(770) 592-4434","https://www.yellowpages.com/marietta-ga/mip/alpha-helicopters-6998551","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","http://www.hugedomains.com/domain_profile.cfm?d=alphahelicopters&e=.com","","4735 Canton Rd","Marietta","GA","30066","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Atlanta,%20Georgia"
"10. ","Rocky Mountain Helicopter","(770) 922-5990","https://www.yellowpages.com/conyers-ga/mip/rocky-mountain-helicopter-3122424","Helicopter Charter & Rental Service","http://airmethods.com","","1070 Culpepper Dr SW Ste 500","Conyers","GA","30094","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Atlanta,%20Georgia"
"11. ","Great Gwinnett Taxi","(770) 380-4790","https://www.yellowpages.com/lawrenceville-ga/mip/great-gwinnett-taxi-503150300","Helicopter Charter & Rental Service,Limousine Service,Buses-Charter & Rental","","","3205 haverhill Rowe","Lawrenceville","GA","30044","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Atlanta,%20Georgia"
"12. ","AIC JETS Corp.","(678) 462-1319","https://www.yellowpages.com/kennesaw-ga/mip/aic-jets-corp-549155073","Helicopter Charter & Rental Service,Aircraft Dealers","http://www.aicjetscorp.com","","1635 Old 41 Hwy Ste 112-125","Kennesaw","GA","30152","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Atlanta,%20Georgia"
"13. ","Rotorworks","(770) 943-4769","https://www.yellowpages.com/hiram-ga/mip/rotorworks-496075571","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","http://www.rotorresourcesllc.com","","165 Commodore Path","Hiram","GA","30141","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Atlanta,%20Georgia"
"14. ","Blue Ridge Helicopter Inc","(770) 963-0590","https://www.yellowpages.com/lawrenceville-ga/mip/blue-ridge-helicopter-inc-16014659","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","http://www.blueridgehelicopters.com","","850 Airport Rd","Lawrenceville","GA","30046","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Atlanta,%20Georgia"
"15. ","Aircrane","(770) 867-1100","https://www.yellowpages.com/winder-ga/mip/aircrane-460769044","Helicopter Charter & Rental Service","http://www.aircrane.com","","709 Highway 82","Winder","GA","30680","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Atlanta,%20Georgia"
"16. ","Helicopter Express Inc","(770) 963-7636","https://www.yellowpages.com/lawrenceville-ga/mip/helicopter-express-inc-454070268","Helicopter Charter & Rental Service","","","738 Briscoe Blvd","Lawrenceville","GA","30046","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Atlanta,%20Georgia"
"17. ","Aircrane","(770) 867-1100","https://www.yellowpages.com/winder-ga/mip/aircrane-465078759","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","","","841 Ronald Wood Rd Ste 100","Winder","GA","30680","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Atlanta,%20Georgia"
"18. ","North Atlanta Executive Air","(404) 580-6798","https://www.yellowpages.com/cumming-ga/mip/north-atlanta-executive-air-19367955","Helicopter Charter & Rental Service,Sightseeing Tours,Places Of Interest","http://www.atlantaheli.com","","5175 Performance Dr","Cumming","GA","30040","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Atlanta,%20Georgia"
