"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Sky Helicopters","(214) 349-7000","https://www.yellowpages.com/dallas-tx/mip/sky-helicopters-462065472","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing,Heliports","","","2559 Garland Rd","Dallas","TX","75218","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Dallas,%20Texas"
"2. ","Icarus Jet Inc","(972) 364-1833","https://www.yellowpages.com/dallas-tx/mip/icarus-jet-inc-501077254","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing,Airlines","https://www.icarusjet.com","","8321 Lemmon Ave","Dallas","TX","75209","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Dallas,%20Texas"
"3. ","All American Helicopters","(214) 549-2722","https://www.yellowpages.com/nationwide/mip/all-american-helicopters-560797460","Helicopter Charter & Rental Service","","","","","","","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Dallas,%20Texas"
"4. ","Southern Helicopters Inc","(877) 456-0075","https://www.yellowpages.com/nationwide/mip/southern-helicopters-inc-560306945","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","http://www.southernhelicopters.com","","","","","","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Dallas,%20Texas"
"5. ","Omniflight Helicopters","(972) 248-2377","https://www.yellowpages.com/nationwide/mip/omniflight-helicopters-560645641","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","","","","","","","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Dallas,%20Texas"
"6. ","Five State Helicopters","(972) 442-4009","https://www.yellowpages.com/garland-tx/mip/five-state-helicopters-467582200","Helicopter Charter & Rental Service","","","203 N 1st St","Garland","TX","75040","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Dallas,%20Texas"
"7. ","Helicopter Marketing Associates","(817) 354-0400","https://www.yellowpages.com/euless-tx/mip/helicopter-marketing-associates-5532788","Helicopter Charter & Rental Service","","","910 N Main St Ste 2","Euless","TX","76039","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Dallas,%20Texas"
"8. ","GoCopter","(214) 908-1800","https://www.yellowpages.com/addison-tx/mip/gocopter-475860937","Helicopter Charter & Rental Service,Aircraft Dealers,Tours-Operators & Promoters","","","4565 Claire Chennault St","Addison","TX","75001","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Dallas,%20Texas"
"9. ","Bell Helicopter Textron Inc","(817) 280-2011","https://www.yellowpages.com/hurst-tx/mip/bell-helicopter-textron-inc-469308953","Helicopter Charter & Rental Service,Aircraft Dealers,Aircraft Equipment, Parts & Supplies","http://www.bellhelicopter.com","","600 E Hurst Blvd","Hurst","TX","76053","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Dallas,%20Texas"
"10. ","Helicopter Exchange","(817) 788-8888","https://www.yellowpages.com/colleyville-tx/mip/helicopter-exchange-475775500","Helicopter Charter & Rental Service,Aircraft Dealers,Aircraft Equipment, Parts & Supplies-Wholesale & Manufacturers","http://www.heli-x.com","","97 Village Ln Ste 250","Colleyville","TX","76034","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Dallas,%20Texas"
"11. ","Helicopter Marketing Associates","(817) 354-0400","https://www.yellowpages.com/colleyville-tx/mip/helicopter-marketing-associates-468420530","Helicopter Charter & Rental Service,Aircraft Dealers,Aircraft Equipment, Parts & Supplies-Wholesale & Manufacturers","http://www.hmahelicopters.net","","5209 Heritage Ave Ste 110","Colleyville","TX","76034","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Dallas,%20Texas"
"12. ","California Helicopter International","(972) 636-9601","https://www.yellowpages.com/fate-tx/mip/california-helicopter-international-7126439","Helicopter Charter & Rental Service,Aircraft Dealers","http://www.californiahelicopter.com","","279 Blackland Rd","Fate","TX","75189","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Dallas,%20Texas"
