"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Maverick Helicopters","(702) 261-0007","https://www.yellowpages.com/las-vegas-nv/mip/maverick-helicopters-467037608","Helicopter Charter & Rental Service","http://www.maverickaviationgroup.com","","6075 Las Vegas Blvd S","Las Vegas","NV","89119","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Las%20Vegas,%20Nevada"
"2. ","Sundance Helicopters","(702) 269-4514","https://www.yellowpages.com/las-vegas-nv/mip/sundance-helicopters-469650057","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","http://www.sundancehelicopters.com","","250 Pilot Rd Ste 280","Las Vegas","NV","89119","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Las%20Vegas,%20Nevada"
"3. ","Las Vegas Helicopters Inc","(702) 736-0013","https://www.yellowpages.com/las-vegas-nv/mip/las-vegas-helicopters-inc-2487961","Helicopter Charter & Rental Service","","","6430 Procyon St","Las Vegas","NV","89118","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Las%20Vegas,%20Nevada"
"4. ","Sundance Helicopters","(702) 736-0606","https://www.yellowpages.com/las-vegas-nv/mip/sundance-helicopters-11091326","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","http://www.sundancehelicopters.com","","5596 Haven St","Las Vegas","NV","89119","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Las%20Vegas,%20Nevada"
"5. ","GC Flight","(702) 629-7776","https://www.yellowpages.com/las-vegas-nv/mip/gc-flight-462630784","Helicopter Charter & Rental Service","http://www.gcflight.com","","2350 S Jones Blvd Ste 101","Las Vegas","NV","89146","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Las%20Vegas,%20Nevada"
"6. ","Las Vegas Charter Private Jet Flights","(702) 872-3229","https://www.yellowpages.com/las-vegas-nv/mip/las-vegas-charter-private-jet-flights-505267215","Helicopter Charter & Rental Service","http://www.lasvegascharterprivatejetflights.com","","922 E Bridger Ave","Las Vegas","NV","89101","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Las%20Vegas,%20Nevada"
"7. ","Helicopter Services of Nevada","(702) 736-0606","https://www.yellowpages.com/las-vegas-nv/mip/helicopter-services-of-nevada-533217340","Helicopter Charter & Rental Service","http://www.sundancehelicopters.com","","5596 Haven St","Las Vegas","NV","89119","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Las%20Vegas,%20Nevada"
"8. ","Sundance Helicopters","(702) 209-2144","https://www.yellowpages.com/las-vegas-nv/mip/sundance-helicopters-526892468","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","","","376 E Warm Springs Rd","Las Vegas","NV","89119","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Las%20Vegas,%20Nevada"
"9. ","Papillon Grand Canyon Helicopters","(702) 736-7243","https://www.yellowpages.com/las-vegas-nv/mip/papillon-grand-canyon-helicopters-469561319","Helicopter Charter & Rental Service","","","3900 Paradise Rd Ste 233","Las Vegas","NV","89169","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Las%20Vegas,%20Nevada"
"10. ","Adventures Vegas - Vegas Sightseeing & Tours","(702) 897-9000","https://www.yellowpages.com/las-vegas-nv/mip/adventures-vegas-vegas-sightseeing-tours-452126383","Helicopter Charter & Rental Service,Tours-Operators & Promoters,Cruises","http://www.adventuresvegas.com","","3656 Las Vegas Blvd S Suite 710","Las Vegas","NV","89109","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Las%20Vegas,%20Nevada"
"11. ","Las Vegas Grand Canyon Tours","(702) 900-3705","https://www.yellowpages.com/las-vegas-nv/mip/las-vegas-grand-canyon-tours-472540771","Helicopter Charter & Rental Service,Tours-Operators & Promoters,Sightseeing Tours","https://plus.google.com/102322747308958269045","","4522 W Diablo Dr Ste D102","Las Vegas","NV","89118","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Las%20Vegas,%20Nevada"
"12. ","NV JETS","(702) 798-7001","https://www.yellowpages.com/las-vegas-nv/mip/nv-jets-456487517","Helicopter Charter & Rental Service,Private Clubs,Aircraft-Charter, Rental & Leasing","http://www.nvjets.com","","","Las Vegas","NV","89119","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Las%20Vegas,%20Nevada"
"13. ","Airwork","(702) 900-7798","https://www.yellowpages.com/north-las-vegas-nv/mip/airwork-480913450","Helicopter Charter & Rental Service,Aircraft Flight Training Schools","","","2722 Perimeter Rd","North Las Vegas","NV","89032","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Las%20Vegas,%20Nevada"
"14. ","Sunshine Helicopters, Inc.","(702) 763-9480","https://www.yellowpages.com/henderson-nv/mip/sunshine-helicopters-inc-482018011","Helicopter Charter & Rental Service,Tours-Operators & Promoters,Aircraft-Charter, Rental & Leasing","http://www.sunshinegrandcanyon.com","","1430 Jet Stream Dr Ste 140","Henderson","NV","89052","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Las%20Vegas,%20Nevada"
"15. ","Maverick Helicopters Inc","(702) 405-4300","https://www.yellowpages.com/henderson-nv/mip/maverick-helicopters-inc-545449577","Helicopter Charter & Rental Service","http://www.maverickhelicopter.com","","1410 Jet Stream Dr","Henderson","NV","89052","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Las%20Vegas,%20Nevada"
