"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Apollo Jets","(310) 893-1771","https://www.yellowpages.com/los-angeles-ca/mip/apollo-jets-465385037","Helicopter Charter & Rental Service,Airlines,Airport Transportation","http://www.apollojets.com","","11620 Wilshire Blvd Ste 230","Los Angeles","CA","90025","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Los%20Angeles,%20California"
"2. ","RYL Jets","(877) 391-6161","https://www.yellowpages.com/los-angeles-ca/mip/ryl-jets-491227808","Helicopter Charter & Rental Service,Aviation Consultants,Aircraft-Charter, Rental & Leasing","http://www.ryljets.com","","10940 Wilshire Blvd Ste Fl.","Los Angeles","CA","90024","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Los%20Angeles,%20California"
"3. ","Helicopter Technology Corp","(310) 523-2750","https://www.yellowpages.com/los-angeles-ca/mip/helicopter-technology-corp-14276914","Helicopter Charter & Rental Service","http://www.helicoptertech.com","","12902 S Broadway","Los Angeles","CA","90061","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Los%20Angeles,%20California"
"4. ","Eljet Aviation Services","(888) 355-3538","https://www.yellowpages.com/los-angeles-ca/mip/eljet-aviation-services-455369349","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing,Transportation Services","http://www.ellejet.com","","110 S Fairfax Ave Ste A11-129","Los Angeles","CA","90036","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Los%20Angeles,%20California"
"5. ","West Hollywood Car Rental","(424) 333-0085","https://www.yellowpages.com/west-hollywood-ca/mip/west-hollywood-car-rental-9707011","Helicopter Charter & Rental Service,Car Rental,Truck Rental","http://www.westhollywoodcarrentals.com","","925 N La Brea Ave","West Hollywood","CA","90038","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Los%20Angeles,%20California"
"6. ","Helicopter Engine Repair Ovrhl","(818) 265-9730","https://www.yellowpages.com/glendale-ca/mip/helicopter-engine-repair-ovrhl-14642800","Helicopter Charter & Rental Service","http://herosinc.com","","627 Ruberta Ave","Glendale","CA","91201","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Los%20Angeles,%20California"
"7. ","Star Helicopters","(310) 355-1959","https://www.yellowpages.com/hawthorne-ca/mip/star-helicopters-455348494","Helicopter Charter & Rental Service,Aircraft Flight Training Schools","","","3670 W 120th St","Hawthorne","CA","90250","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Los%20Angeles,%20California"
"8. ","hollywood helicopter tours","(888) 503-8687","https://www.yellowpages.com/burbank-ca/mip/hollywood-helicopter-tours-461867966","Helicopter Charter & Rental Service,Motion Picture Film Services,Family & Business Entertainers","http://hollywoodhelicoptertours.com","","10750 Sherman Way","Burbank","CA","91505","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Los%20Angeles,%20California"
"9. ","Pacific Helicopter","(818) 559-7290","https://www.yellowpages.com/burbank-ca/mip/pacific-helicopter-1794740","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","","","1530 N Pass Ave","Burbank","CA","91505","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Los%20Angeles,%20California"
"10. ","Holly Copters","(310) 399-9435","https://www.yellowpages.com/santa-monica-ca/mip/holly-copters-1269446","Helicopter Charter & Rental Service","http://www.transexec.com","","2828 Donald Douglas Loop N","Santa Monica","CA","90405","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Los%20Angeles,%20California"
"11. ","Coastal Helicopter","(818) 989-4800","https://www.yellowpages.com/santa-monica-ca/mip/coastal-helicopter-526354574","Helicopter Charter & Rental Service","http://coastalcopters.com","","3000 31st St Ste D","Santa Monica","CA","90405","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Los%20Angeles,%20California"
"12. ","Southland Helicopters","(626) 577-5831","https://www.yellowpages.com/pasadena-ca/mip/southland-helicopters-469970116","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","","","60 N San Marino Ave","Pasadena","CA","91107","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Los%20Angeles,%20California"
"13. ","Prospect Global Resources","(310) 205-0692","https://www.yellowpages.com/beverly-hills-ca/mip/prospect-global-resources-472072192","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","","","9595 Wilshire Blvd","Beverly Hills","CA","90212","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Los%20Angeles,%20California"
"14. ","Global tour And Entertainment","(818) 415-3898","https://www.yellowpages.com/valley-village-ca/mip/global-tour-and-entertainment-23385680","Helicopter Charter & Rental Service,Tours-Operators & Promoters,Riding Academies","","","11948 Burbank Blvd Apt 11","Valley Village","CA","91607","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Los%20Angeles,%20California"
"15. ","Anthelion Helicopters","(562) 424-2684","https://www.yellowpages.com/long-beach-ca/mip/anthelion-helicopters-505377044","Helicopter Charter & Rental Service,Sightseeing Tours,Pilots","http://anthelionhelicopters.com","","3200 Airflite Way","Long Beach","CA","90807","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Los%20Angeles,%20California"
"16. ","Adventure Helicopter Tours","(818) 896-7900","https://www.yellowpages.com/pacoima-ca/mip/adventure-helicopter-tours-13289893","Helicopter Charter & Rental Service","http://www.adventurehelicoptertours.com","","12653 Osborne St","Pacoima","CA","91331","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Los%20Angeles,%20California"
