"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Miami Welcome Center","(305) 741-8331","https://www.yellowpages.com/miami-fl/mip/miami-welcome-center-549447402?lid=1002102905791","Helicopter Charter & Rental Service,Boat Dealers,Sporting Goods","http://www.miamiwelcomecenter.com","","1256 SW 8th Street","Miami","FL","33135","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
"2. ","Opa Locka Helicopter","(305) 588-4354","https://www.yellowpages.com/miami-fl/mip/opa-locka-helicopter-12863522","Helicopter Charter & Rental Service","","","479 NE 210th Circle Ter","Miami","FL","33179","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
"3. ","Professional Helicopter Svc","(305) 552-8555","https://www.yellowpages.com/miami-fl/mip/professional-helicopter-svc-468135255","Helicopter Charter & Rental Service","","","14250 SW 129th St","Miami","FL","33186","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
"4. ","Professional Helicopter Services","(305) 552-8555","https://www.yellowpages.com/miami-fl/mip/professional-helicopter-services-451695308","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","","","14726 SW 53rd Ter","Miami","FL","33185","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
"5. ","Action Helicopters Inc","(305) 573-7911","https://www.yellowpages.com/miami-fl/mip/action-helicopters-inc-20183431","Helicopter Charter & Rental Service","","","2125 Biscayne Blvd Ste 580a","Miami","FL","33137","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
"6. ","Heliport","(305) 463-9921","https://www.yellowpages.com/miami-fl/mip/heliport-472347161","Helicopter Charter & Rental Service","","","11401 NW 12th St","Miami","FL","33172","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
"7. ","Bravo Helicopters","(305) 905-5296","https://www.yellowpages.com/miami-fl/mip/bravo-helicopters-481443870","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","http://flybravohelicopters.com","","14532 SW 129th St","Miami","FL","33186","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
"8. ","Miami Executive Helicopters","(305) 964-7137","https://www.yellowpages.com/miami-fl/mip/miami-executive-helicopters-503853609","Helicopter Charter & Rental Service","","","13704 SW 145th Ct","Miami","FL","33186","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
"9. ","International Helicopter Service","(305) 232-2552","https://www.yellowpages.com/miami-fl/mip/international-helicopter-service-503720103","Helicopter Charter & Rental Service","","","14871 SW 156th St","Miami","FL","33187","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
"10. ","Helicopter Partners Inc","(305) 259-9144","https://www.yellowpages.com/miami-fl/mip/helicopter-partners-inc-457039425","Helicopter Charter & Rental Service,Aircraft Flight Training Schools","","","14150 SW 129th St","Miami","FL","33186","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
"11. ","Miami Flight School","(305) 256-4886","https://www.yellowpages.com/miami-fl/mip/miami-flight-school-464428891","Helicopter Charter & Rental Service,Sightseeing Tours,Aircraft-Charter, Rental & Leasing","","","13337 Sw 88th Ave","Miami","FL","33176","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
"12. ","Rotorcraft Leasing Comapny","(305) 233-8788","https://www.yellowpages.com/miami-fl/mip/rotorcraft-leasing-comapny-451130985","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","http://www.rlcllc.net","","14532 SW 129th St","Miami","FL","33186","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
"13. ","Imagine Lifestyles Luxury Rentals","(305) 432-3205","https://www.yellowpages.com/miami-fl/mip/imagine-lifestyles-luxury-rentals-14690180","Helicopter Charter & Rental Service,Boat Rental & Charter,Limousine Service","http://www.imaginelifestyles.com/miami-florida-exotic-car-rental","","740 NW 25th St","Miami","FL","33127","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
"14. ","Above All Helicopters","(305) 423-5675","https://www.yellowpages.com/nationwide/mip/above-all-helicopters-20738219","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","http://helicoptersovermiami.com","","","","","","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
"15. ","Action Helicopters Inc","(305) 358-4723","https://www.yellowpages.com/nationwide/mip/action-helicopters-inc-13128948","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","","","","","","","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
"16. ","Aero-Med Helicopter Ambulance","(305) 273-2223","https://www.yellowpages.com/nationwide/mip/aero-med-helicopter-ambulance-458034350","Helicopter Charter & Rental Service","http://baptisthealth.net","","","","","","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
"17. ","South Beach Welcome Center","(786) 355-8432","https://www.yellowpages.com/miami-beach-fl/mip/south-beach-welcome-center-549004813?lid=1002104086099","Helicopter Charter & Rental Service,Boat Dealers,Sporting Goods","http://www.southbeachwelcomecenter.com","","420 Lincoln Rd","Miami Beach","FL","33139","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
"18. ","Miami Helicopter Inc","(305) 687-0527","https://www.yellowpages.com/opa-locka-fl/mip/miami-helicopter-inc-505531939","Helicopter Charter & Rental Service","http://www.miamihelicopter.com","","14970 NW 42nd Ave","Opa Locka","FL","33054","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
"19. ","Astrum Helicopters","(212) 380-1481","https://www.yellowpages.com/doral-fl/mip/astrum-helicopters-9828696","Helicopter Charter & Rental Service","http://www.astrumhelicopters.com","","7979 NW 21st St Suite Bze12658","Doral","FL","33122","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
"20. ","Starjets Inc","(305) 535-8066","https://www.yellowpages.com/miami-beach-fl/mip/starjets-inc-8090815","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing,Aircraft-Hangars-Rental & Sales","http://www.starjets.net","","1100 West Ave","Miami Beach","FL","33139","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
"21. ","AAA Plus Limo Service","(786) 207-4424","https://www.yellowpages.com/miami-beach-fl/mip/aaa-plus-limo-service-457396452","Helicopter Charter & Rental Service,Limousine Service,Buses-Charter & Rental","http://www.ralimo.com","","2425 Flamingo Pl","Miami Beach","FL","33140","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
"22. ","Miami VIP Tours","(888) 525-6454","https://www.yellowpages.com/sunny-isles-beach-fl/mip/miami-vip-tours-480295761","Helicopter Charter & Rental Service,Boat Tours,Boat Rental & Charter","http://www.miamiviptours.com","","18660 Collins Ave","Sunny Isles Beach","FL","33160","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
"23. ","TourHelicopter.com","(954) 399-7843","https://www.yellowpages.com/pembroke-pines-fl/mip/tourhelicopter-com-520283834","Helicopter Charter & Rental Service,Tourist Information & Attractions","https://tourhelicopter.com","","603 SW 77th Way","Pembroke Pines","FL","33023","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
"24. ","Breeze Helicopters","(754) 247-2310","https://www.yellowpages.com/pembroke-pines-fl/mip/breeze-helicopters-17031478","Helicopter Charter & Rental Service","https://breezehelicopters.com","","200 SW 77th Way","Pembroke Pines","FL","33023","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
"25. ","Helicopters Inc","(954) 981-7289","https://www.yellowpages.com/pembroke-pines-fl/mip/helicopters-inc-562810097","Helicopter Charter & Rental Service,Aircraft-Charter, Rental & Leasing","","","200 SW 77th Way","Pembroke Pines","FL","33023","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
"26. ","Broward Helicopters","(954) 312-0795","https://www.yellowpages.com/fort-lauderdale-fl/mip/broward-helicopters-473367748","Helicopter Charter & Rental Service","http://bocaratonhelicopters.com","","2442 SW 58th Mnr","Fort Lauderdale","FL","33312","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
"27. ","Molgado Transport, Corp","(786) 399-6364","https://www.yellowpages.com/pembroke-pines-fl/mip/molgado-transport-corp-15026089","Helicopter Charter & Rental Service","","","610 NW 207th Ter","Pembroke Pines","FL","33029","https://www.yellowpages.com/search?search_terms=Helicopter%20rental&geo_location_terms=Miami,%20Florida"
